Disease	GDS IDs
Acanthosis Nigricans	GDS2611
Acne Vulgaris	GDS2478, GDS3215, GDS3218
Acquired Hyperostosis Syndrome	
Acute Disease	GDS1059, GDS1579, GDS2251, GDS2329, GDS2330, GDS2331, GDS2756, GDS3414, GDS3615, GDS794, GDS841, GDS843, GDS858, GDS947, GDS948, GDS949, GDS999
Adenocarcinoma	GDS1321, GDS1637, GDS1649, GDS1650, GDS170, GDS1792, GDS2171, GDS2201, GDS2229, GDS2373, GDS2416, GDS2865, GDS2924, GDS3257, GDS3285, GDS3321, GDS3384, GDS3424, GDS3510, GDS3592, GDS3610
Adenoma	GDS1253, GDS2201, GDS2432, GDS2860, GDS2947, GDS3274, GDS3287, GDS3288, GDS389
Adrenocortical Carcinoma	GDS3537
Aging	GDS1079, GDS1228, GDS1273, GDS1311, GDS1325, GDS1491, GDS1637, GDS167, GDS1673, GDS1691, GDS1803, GDS1854, GDS1995, GDS2055, GDS2056, GDS2082, GDS2136, GDS2231, GDS2446, GDS2542, GDS2612, GDS2640, GDS2654, GDS2658, GDS2681, GDS2823, GDS2868, GDS287, GDS288, GDS2915, GDS2920, GDS2929, GDS2961, GDS2962, GDS3028, GDS3077, GDS3102, GDS3140, GDS3162, GDS3228, GDS3295, GDS3316, GDS337, GDS3392, GDS3492, GDS3495, GDS3538, GDS3607, GDS362, GDS3648, GDS3659, GDS399, GDS509, GDS520, GDS583, GDS584, GDS707, GDS735, GDS770, GDS809
Alcohol Amnestic Disorder	
Alcoholism	GDS2447, GDS2485, GDS3072
Alzheimer Disease	GDS1491, GDS1979, GDS2601, GDS2941, GDS809, GDS810
Amenorrhea	
Anemia	GDS1245, GDS1257, GDS1258, GDS1700, GDS2524, GDS2826, GDS3007, GDS3318, GDS3576, GDS853, GDS996
Anemia, Diamond-Blackfan	GDS3576
Anemia, Dyserythropoietic, Congenital	GDS1245
Anemia, Hemolytic	
Anemia, Hemolytic, Autoimmune	
Anemia, Hemolytic, Congenital	
Anemia, Pernicious	
Anemia, Sickle Cell	GDS1257, GDS1258, GDS2826, GDS3318
Aneurysm	GDS1621, GDS2838, GDS2922, GDS731
Antisocial Personality Disorder	
Anxiety	GDS1406, GDS1921, GDS3598
Anxiety, Separation	
Aortic Aneurysm	GDS1621, GDS2838, GDS2922, GDS731
Aortic Valve Stenosis	GDS3018
Appendicitis	
Arteritis	
Arthritis	GDS1796, GDS2472, GDS2809, GDS2931, GDS3158, GDS3628, GDS386, GDS711
Arthritis, Rheumatoid	GDS2931, GDS3158, GDS3628, GDS386
Articulation Disorders	
Asperger Syndrome	
Asthma	GDS2647, GDS2878, GDS3615, GDS3631, GDS3711
Ataxia	GDS1544, GDS3544, GDS3545
Atherosclerosis	GDS2303, GDS2889, GDS3413, GDS3671, GDS3686, GDS3696, GDS3697, GDS3698
Attention Deficit Disorder	
Attention Dificit Disorder with Hyperactivity	
Autism	
Autistic Disorder	GDS2824
Autoimmune Disease	GDS167, GDS3577, GDS828
Autoimmunity	GDS1275, GDS1394, GDS167, GDS2460, GDS3512, GDS658
Azoospermia	
Basal Ganglia Cerebrovascular Disease	
Binge-Eating Disorder	
Bipolar Disorder	GDS2190, GDS2191, GDS2779, GDS3345
Brain Diseases	
Brain Neoplasm	GDS1096, GDS1380, GDS1730, GDS1813, GDS1815, GDS1816, GDS1975, GDS1976, GDS2728
Breast Neoplasm	GDS1250, GDS1326, GDS1329, GDS1363, GDS1477, GDS1549, GDS1627, GDS1664, GDS170, GDS1761, GDS1873, GDS1925, GDS2045, GDS2046, GDS2250, GDS2323, GDS2324, GDS2367, GDS2415, GDS2443, GDS2617, GDS2618, GDS2635, GDS2721, GDS2739, GDS2744, GDS2745, GDS2770, GDS2787, GDS2788, GDS2789, GDS2810, GDS2827, GDS2856, GDS2861, GDS3096, GDS3097, GDS3105, GDS3116, GDS3138, GDS3139, GDS3283, GDS3285, GDS3315, GDS3324, GDS3388, GDS3484, GDS3638, GDS3716, GDS806, GDS807, GDS817, GDS820, GDS823, GDS825, GDS845, GDS846, GDS847, GDS848, GDS88, GDS881, GDS892, GDS893, GDS992
Bronchitis	GDS2535
Bronchopulmonary Dysplasia	GDS3356
Bursitis	
Canavan Disease	
Carcinoma	GDS1062, GDS1096, GDS1250, GDS1344, GDS1479, GDS1512, GDS1584, GDS1665, GDS1667, GDS170, GDS1714, GDS1792, GDS1989, GDS2006, GDS2045, GDS2046, GDS2086, GDS2087, GDS2088, GDS2200, GDS2213, GDS2297, GDS2298, GDS2373, GDS2415, GDS2416, GDS2418, GDS2520, GDS2635, GDS274, GDS2777, GDS2880, GDS2881, GDS2966, GDS3017, GDS3029, GDS3087, GDS3091, GDS3101, GDS3148, GDS3151, GDS3274, GDS3292, GDS3319, GDS3472, GDS3537, GDS3556, GDS3627, GDS389, GDS505, GDS507
Carcinoma in Situ	GDS1479, GDS1792, GDS1989, GDS2045, GDS2046, GDS2418
Carcinoma, Acinar Cell	
Carcinoma, Adenoid Cystic	
Carcinoma, Basal Cell	
Carcinoma, Bronchogenic	
Carcinoma, Ductal	GDS1250, GDS2045, GDS2046, GDS2415, GDS2635
Carcinoma, Ductal, Breast	GDS1250, GDS2045, GDS2046, GDS2415, GDS2635
Carcinoma, Giant Cell	
Carcinoma, Hepatocellular	GDS1096, GDS2006, GDS2213, GDS274, GDS3087, GDS3091, GDS3148
Carcinoma, Intraductal, Noninfiltrating	
Carcinoma, Large Cell	
Carcinoma, Lewis Lung	
Carcinoma, Non-Small-Cell Lung	GDS2297, GDS2298, GDS2777, GDS3101, GDS3627
Carcinoma, Pancreatic Ductal	
Carcinoma, Renal Cell	GDS1344, GDS2880, GDS2881, GDS3274, GDS505, GDS507
Carcinoma, Skin Appendage	
Carcinoma, Small Cell	GDS3029
Carcinoma, Squamous Cell	GDS1062, GDS1584, GDS1667, GDS1714, GDS2086, GDS2087, GDS2088, GDS2200, GDS2373, GDS2416, GDS2520, GDS3017, GDS3292, GDS3472
Carcinoma, Transitional Cell	GDS1479
Carcinoma, Verrucous	
Cardiomyopathy	GDS2134, GDS2154, GDS2205, GDS2206, GDS2424, GDS3018
Cardiomyopathy, Dilated	GDS2154, GDS2205, GDS2206, GDS2424, GDS3018
Cardiomyopathy, Hypertrophic	GDS2134
Caroli Disease	
Cataract	GDS3636
Catatonia	
Cell Transformation, Neoplastic	GDS1222, GDS1321, GDS1324, GDS1510, GDS1637, GDS1788, GDS1803, GDS1924, GDS1964, GDS1965, GDS1990, GDS2025, GDS2229, GDS2411, GDS2446, GDS2496, GDS2497, GDS2752, GDS2901, GDS2947, GDS2958, GDS3257, GDS337, GDS3455, GDS3456, GDS3592, GDS3604, GDS389
Cellulitis	
Cervicitis	
Charcot-Marie-Tooth Disease	
Child Development Disorder	
Child Development Disorders, Pervasive	
Chlamydophila Infection	GDS3360, GDS3573
Cholecystitis	
Chorea	
Colitis	GDS1227, GDS1330, GDS1615, GDS1871, GDS2642, GDS3268, GDS3323, GDS3385, GDS3512
Compulsive Personality Disorder	
Conjunctivitis	
Coronary Stenosis	
Cryptosporidiosis	GDS2240, GDS3500
Cushing Syndrome	GDS2374
Cystic Fibrosis	GDS1941, GDS2142, GDS2143, GDS2869, GDS2893, GDS3174, GDS3251, GDS3393, GDS493, GDS567, GDS588, GDS858
Cystitis	
Cytomegalovirus Infections	GDS177, GDS2042, GDS2957
Darier Disease	
Deaf-Blind Disorder	
Deafness	GDS2955
Dementia	GDS3459
Demyelinating Disease	GDS2763
Dent Disease	
Dental Caries	GDS1850
Dependent Personality Disorder	
Depersonalization	
Depressive Disorder	GDS2447, GDS3345
Dermatitis	GDS1810, GDS2381, GDS2382, GDS2484, GDS2536, GDS2820, GDS2935, GDS3575
Dermatitis, Atopic	GDS2381, GDS2382
Dermatitis, Contact	GDS2484, GDS3575
Diabetes	GDS10, GDS1056, GDS1393, GDS1443, GDS1444, GDS1456, GDS1533, GDS1541, GDS1767, GDS2132, GDS2177, GDS2178, GDS2179, GDS2289, GDS2335, GDS2605, GDS2742, GDS2790, GDS2791, GDS2945, GDS3104, GDS3153, GDS3347, GDS3656, GDS3681, GDS684, GDS828, GDS887, GDS905, GDS961
Diabetes Mellitus	GDS10, GDS1056, GDS1393, GDS1443, GDS1444, GDS1456, GDS1533, GDS1541, GDS1767, GDS2132, GDS2177, GDS2178, GDS2179, GDS2289, GDS2335, GDS2605, GDS2742, GDS2790, GDS2791, GDS2945, GDS3104, GDS3153, GDS3347, GDS3656, GDS3681, GDS684, GDS828, GDS887, GDS905, GDS961
Diabetic Nephropathies	GDS1891, GDS402, GDS887, GDS961
Diarrhea	GDS2048
Diverticulitis	
Dyslexia	
Elephantiasis	
Elephantiasis, Filarial	
Encephalitis	GDS1726
Encephalitis, Herpes Simplex	
Encephalomyelitis	GDS510
Encephalomyelitis, Venezuelan Equine	
Endocarditis	
Endometriosis	GDS2737, GDS2835, GDS3060, GDS3092
Endometritis	
Enteritis	GDS588
Enterocolitis	
Epididymitis	
Epilepsies, Partial	
Epilepsy	GDS1626
Epilepsy, Absence	
Epilepsy, Complex Partial	
Epilepsy, Partial, Motor	
Epilepsy, Partial, Sensory	
Epilepsy, Post-Traumatic	
Epilepsy, Tonic-Clonic	
Fabry Disease	
Fanconi Anemia	GDS3007
Fatigue Syndrome, Chronic	
Fibrocystic Breast Disease	
Fibromyalgia	
Fibrosarcoma	GDS1209, GDS2007, GDS2008, GDS2009, GDS2736
Fibrosis	GDS1252, GDS1313, GDS1492, GDS1810, GDS1941, GDS2142, GDS2143, GDS2292, GDS2316, GDS2361, GDS2817, GDS2869, GDS2893, GDS3071, GDS3174, GDS3251, GDS3393, GDS3552, GDS387, GDS388, GDS493, GDS567, GDS588, GDS858
Folliculitis	
Gastritis	GDS3346, GDS3434, GDS625
Gastroenteritis	
Gaucher Disease	
Genomic Instability	
Gilbert Disease	
Gingivitis	
Glaucoma	GDS1112, GDS1313, GDS1728, GDS2146
Glaucoma, Open-Angle	GDS1313
Glioma	GDS1813, GDS1815, GDS1816, GDS1962, GDS1975, GDS1976, GDS199, GDS3114
Glomerulonephritis	
Glossitis	
Glycogen Storage Disease	
Glycogen Storage Disease Type I	
Glycogen Storage Disease Type II	
Glycogen Storage Disease Type III	
Glycogen Storage Disease Type IV	
Glycogen Storage Disease Type V	
Glycogen Storage Disease Type VI	
Glycogen Storage Disease Type VII	
Glycosuria	GDS3704
Graft Rejection	GDS1277, GDS1684, GDS1700, GDS3282, GDS437, GDS724, GDS999
Graft vs Host Disease	
Graves Disease	
Hashimoto Disease	
Heart Disease	GDS1080, GDS2772
Heavy Chain Disease	
Helicobacter Infection	GDS2103, GDS625
Hemoglobin SC Disease	
Hemorrhagic Disorder	GDS1320
Hepatic Veno-Occlusive Disease	
Hepatitis	GDS1774, GDS2339, GDS274
Hepatitis C	GDS1774
Hirchsprung Disease	
Histrionic Personality Disorder	
HIV	GDS1397, GDS1449, GDS1453, GDS1580, GDS1646, GDS171, GDS1726, GDS1875, GDS2168, GDS2649, GDS2883, GDS2920, GDS3511, GDS449, GDS708
Hodgkin Disease	GDS3516
Huntington Disease	GDS1236, GDS1331, GDS1332, GDS2169, GDS2391, GDS2887, GDS2912, GDS3515, GDS3620, GDS3621, GDS717
Hypertension	GDS1011, GDS1251, GDS1264, GDS1372, GDS1464, GDS1928, GDS2070, GDS2172, GDS2361, GDS2710, GDS3018, GDS3074, GDS3109, GDS3483, GDS3661, GDS3689, GDS504, GDS574, GDS742, GDS859
Hypertrophy	GDS1264, GDS1473, GDS1474, GDS1691, GDS1865, GDS1928, GDS2258, GDS2304, GDS2308, GDS3117, GDS3694, GDS654, GDS696, GDS742
Hypertrophy, Left Ventricular	GDS1264, GDS1928, GDS2258, GDS2304, GDS2308, GDS654, GDS742
Hypoxia	GDS1209, GDS1379, GDS1617, GDS1772, GDS1779, GDS1807, GDS2018, GDS2160, GDS2161, GDS2162, GDS2536, GDS2631, GDS2758, GDS2759, GDS2760, GDS2761, GDS2902, GDS3114, GDS3137, GDS3483, GDS3524
Hypoxia-Ischemia, Brain	
Ileitis	
Immune System Disease	
Infertility	GDS2026, GDS2695, GDS2696, GDS2697, GDS2923
Infertility, Female	
Infertility, Male	GDS2026, GDS2695, GDS2696, GDS2697, GDS2923
Inflammation	GDS1043, GDS1212, GDS1237, GDS1238, GDS1239, GDS1256, GDS1289, GDS1311, GDS1328, GDS1365, GDS1407, GDS1447, GDS1478, GDS1480, GDS1481, GDS1491, GDS1495, GDS1496, GDS1497, GDS1498, GDS1533, GDS1579, GDS1597, GDS1705, GDS1706, GDS1796, GDS1810, GDS1826, GDS1922, GDS1923, GDS1959, GDS1990, GDS2047, GDS2104, GDS2175, GDS2176, GDS2188, GDS2194, GDS2197, GDS2215, GDS2310, GDS2332, GDS2333, GDS2478, GDS2487, GDS2518, GDS2536, GDS2565, GDS2641, GDS2701, GDS285, GDS2877, GDS2959, GDS3027, GDS3034, GDS3096, GDS3097, GDS3109, GDS3181, GDS3193, GDS3383, GDS3385, GDS3399, GDS3435, GDS3557, GDS3567, GDS3568, GDS3570, GDS3601, GDS3602, GDS3615, GDS3666, GDS3679, GDS3685, GDS3691, GDS3706, GDS412, GDS508, GDS599, GDS625, GDS649, GDS703, GDS735, GDS787, GDS808, GDS828, GDS852, GDS859, GDS883, GDS987
Influenza	GDS2165, GDS3522, GDS3595, GDS3615
Iritis	
Ischemia	GDS1362, GDS1438, GDS1597, GDS2311, GDS3655, GDS808
Keratitis	
Keratoconjunctivitis	
Kidney Neoplasm	GDS1282, GDS1344, GDS2880, GDS2881, GDS2901, GDS3274, GDS3603, GDS505, GDS507
Lafora Disease	
Laryngitis	
Learning Disorders	GDS2082, GDS3478, GDS3479
Legg-Perthes Disease	
Legionnaires' Disease	
Leigh Disease	
Leiomyoma	GDS1476, GDS2245, GDS2246, GDS2737
Leishmaniasis	
Leprosy	GDS358
Leptospirosis	
Leukemia	GDS1059, GDS1064, GDS1067, GDS1074, GDS1215, GDS1221, GDS1235, GDS1237, GDS1254, GDS1316, GDS1324, GDS1388, GDS1593, GDS1596, GDS1616, GDS1761, GDS1803, GDS1872, GDS2242, GDS2251, GDS2295, GDS2342, GDS2411, GDS2493, GDS2494, GDS2501, GDS2643, GDS2676, GDS2706, GDS2729, GDS2794, GDS2819, GDS2970, GDS2980, GDS3057, GDS3308, GDS3312, GDS3329, GDS3343, GDS3471, GDS3487, GDS3518, GDS3558, GDS3606, GDS3717, GDS395, GDS708, GDS838, GDS841, GDS843, GDS88, GDS906
Leukoplakia	
Leukoplakia, Oral	
Lewy Body Disease	
Lung Disease	GDS1239, GDS1255, GDS1841, GDS2047, GDS2054, GDS2604
Lung Neoplasm	GDS1096, GDS1312, GDS1637, GDS1649, GDS1650, GDS170, GDS2297, GDS2298, GDS2373, GDS2496, GDS2497, GDS2617, GDS2618, GDS274, GDS2771, GDS2777, GDS2966, GDS3029, GDS3101, GDS3138, GDS3257, GDS3321, GDS3455, GDS3456, GDS3493, GDS3494, GDS3510, GDS3627
Lupus Erythematosus	GDS2011, GDS2012, GDS2013, GDS2460, GDS514
Lymphadenitis	
Lymphatic Disease	
Lymphatic Metastasis	GDS1062, GDS1210, GDS1618, GDS1965, GDS2902
Lymphoma	GDS1235, GDS1324, GDS1617, GDS1638, GDS1750, GDS1839, GDS1960, GDS2042, GDS2295, GDS2493, GDS2494, GDS2554, GDS2706, GDS2794, GDS3196, GDS3291, GDS3471, GDS3516, GDS3717, GDS988, GDS989
Machado-Joseph Disease	
Macular Degeneration	GDS2307
Malaria	GDS1350, GDS1563, GDS2346, GDS2362, GDS2524, GDS2822, GDS3118, GDS3145, GDS471
Maple Syrup Urine Disease	
Marfan Syndrome	GDS2960, GDS856
Mastitis	
Mastoiditis	
Melanoma	GDS1078, GDS1314, GDS1375, GDS1440, GDS1964, GDS1965, GDS1989, GDS2244, GDS2735, GDS3012, GDS3489, GDS3517
MELAS Syndrome	GDS1065
Meniere Disease	
Meningitis	
Meningitis, Meningococcal	
Meningoencephalitis	
Mental Disorder	GDS2447
Mental Retardation	GDS2824, GDS3287, GDS3288, GDS3519
Mitochondrial Disease	GDS1878, GDS1879, GDS1880, GDS3452, GDS3453, GDS3454, GDS3531, GDS3532, GDS3616, GDS3618, GDS3619
Mitochondrial Encephalomyopathies	GDS1065
Mononucleosis	
Motor Neuron Disease	GDS1295
Moyamoya Disease	
Mucopolysaccharidosis	
Multiple Myeloma	GDS1067, GDS1284, GDS2321, GDS2640, GDS2643, GDS3578, GDS531
Multiple Personality Disorder	
Multiple Sclerosis	GDS2419
Muscle Disorder	
Muscle Disorders, Atrophic	
