GDS ID	Pubmed ID	MeSH Terms
GDS1020	15685253	Adaptation, Psychological/physiology* ¥ Adolescent ¥ Adult ¥ Follow-Up Studies ¥ Gene Expression Profiling* ¥ Genetic Markers/genetics ¥ Humans ¥ Leukocytes, Mononuclear/physiology* ¥ Life Change Events ¥ Middle Aged ¥ Oligonucleotide Array Sequence Analysis ¥ Predictive Value of Tests ¥ Severity of Illness Index ¥ Stress Disorders, Post-Traumatic/blood ¥ Stress Disorders, Post-Traumatic/genetics* ¥ Stress Disorders, Post-Traumatic/psychology ¥ Stress, Psychological/genetics* ¥ Survivors/psychology
GDS1022	16207250	Bacterial Proteins/metabolism ¥ Bacterial Proteins/secretion* ¥ Cell Line ¥ Gene Expression Profiling* ¥ Gene Expression Regulation ¥ Genome* ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Proteins/genetics ¥ Proteins/metabolism* ¥ Pseudomonas aeruginosa/metabolism ¥ Pseudomonas aeruginosa/pathogenicity*
GDS1023	16682618	Animals ¥ Antigens, CD34/metabolism* ¥ Cell Differentiation/physiology* ¥ Cord Blood Stem Cell Transplantation* ¥ Female ¥ Gene Expression Profiling* ¥ Goats* ¥ Green Fluorescent Proteins/genetics ¥ Green Fluorescent Proteins/metabolism ¥ Hematopoietic Stem Cells/cytology* ¥ Hematopoietic Stem Cells/metabolism* ¥ Humans ¥ Liver/physiology ¥ Male ¥ Oligonucleotide Array Sequence Analysis ¥ Pregnancy ¥ RNA/blood ¥ Tissue Distribution ¥ Transplantation Chimera ¥ Transplantation, Heterologous*
GDS1028	15655079	Antigens, Viral/blood ¥ Antigens, Viral/immunology ¥ Gene Expression Regulation*/genetics ¥ Genes, MHC Class II/immunology ¥ Genes, MHC Class II/physiology* ¥ Humans ¥ Lactoferrin/blood ¥ Lactoferrin/genetics ¥ Leukocytes, Mononuclear/chemistry ¥ Microarray Analysis ¥ Polymerase Chain Reaction/methods ¥ Severe Acute Respiratory Syndrome/blood ¥ Severe Acute Respiratory Syndrome/genetics*
GDS1036	16163375	Cells, Cultured ¥ Chemokine CCL2/metabolism ¥ Chemokine CCL5 ¥ Chemokine CXCL10 ¥ Chemokine CXCL11 ¥ Chemokines/analysis ¥ Chemokines, CC/metabolism ¥ Chemokines, CXC/metabolism ¥ Culture Media/chemistry ¥ Cytokines/analysis ¥ Fetus ¥ Gene Expression ¥ Humans ¥ Interferon-gamma/genetics ¥ Interferon-gamma/pharmacology* ¥ Kinetics ¥ Microglia/drug effects* ¥ Microglia/immunology ¥ Models, Genetic ¥ RNA, Messenger/analysis ¥ Recombinant Proteins/pharmacology ¥ Time Factors ¥ Transcription, Genetic/drug effects*
GDS1048	15514893	Cell Line ¥ Cluster Analysis ¥ Databases, Genetic ¥ Family ¥ Gene Expression Profiling* ¥ Genetic Linkage* ¥ Humans ¥ Lymphocytes/metabolism* ¥ Models, Statistical ¥ Oligonucleotide Array Sequence Analysis ¥ Quantitative Trait Loci* ¥ Reverse Transcriptase Polymerase Chain Reaction
GDS1050	15598877	Anticonvulsants/pharmacology ¥ Apoptosis/drug effects ¥ Base Sequence ¥ Cell Cycle/drug effects ¥ DNA Primers ¥ Female ¥ Gene Expression Regulation/drug effects* ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Polycystic Ovary Syndrome/genetics ¥ Polycystic Ovary Syndrome/pathology ¥ Polymerase Chain Reaction ¥ Reference Values ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Theca Cells/cytology ¥ Theca Cells/drug effects ¥ Theca Cells/physiology* ¥ Valproic Acid/pharmacology*
GDS1051	15598877	Anticonvulsants/pharmacology ¥ Apoptosis/drug effects ¥ Base Sequence ¥ Cell Cycle/drug effects ¥ DNA Primers ¥ Female ¥ Gene Expression Regulation/drug effects* ¥ Humans ¥ Oligonucleotide Array Sequence Analysis ¥ Polycystic Ovary Syndrome/genetics ¥ Polycystic Ovary Syndrome/pathology ¥ Polymerase Chain Reaction ¥ Reference Values ¥ Reverse Transcriptase Polymerase Chain Reaction ¥ Theca Cells/cytology ¥ Theca Cells/drug effects ¥ Theca Cells/physiology* ¥ Valproic Acid/pharmacology*
GDS1059	12738660	Acute Disease ¥ Adolescent ¥ Child ¥ Child, Preschool ¥ Female ¥ Gene Expression Profiling* ¥ Humans ¥ Infant ¥ Infant, Newborn ¥ Leukemia, Myeloid/diagnosis ¥ Leukemia, Myeloid/genetics* ¥ Male ¥ Predictive Value of Tests ¥ Prognosis ¥ Translocation, Genetic/genetics
GDS1062	15558013	Adult ¥ Aged ¥ Aged, 80 and over ¥ Carcinoma, Squamous Cell/diagnosis* ¥ Carcinoma, Squamous Cell/genetics ¥ Carcinoma, Squamous Cell/pathology ¥ Down-Regulation/genetics ¥ Female ¥ Gene Expression Profiling* ¥ Gene Expression Regulation, Neoplastic ¥ Humans ¥ Lymphatic Metastasis ¥ Male ¥ Middle Aged ¥ Mouth Neoplasms/diagnosis* ¥ Mouth Neoplasms/genetics ¥ Mouth Neoplasms/pathology ¥ Oligonucleotide Array Sequence Analysis ¥ Prognosis ¥ Receptors, CXCR4/genetics ¥ Up-Regulation/genetics
