% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SORD NUMERIC
@ATTRIBUTE COL14A1 NUMERIC
@ATTRIBUTE PECAM1 NUMERIC
@ATTRIBUTE SLC6A6 NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE PRKCB NUMERIC
@ATTRIBUTE GRB10 NUMERIC
@ATTRIBUTE RELB NUMERIC
@ATTRIBUTE GNA14 NUMERIC
@ATTRIBUTE CCDC50 NUMERIC
@ATTRIBUTE DNAJC3 NUMERIC
@ATTRIBUTE CORO1A NUMERIC
@ATTRIBUTE VTI1A NUMERIC
@ATTRIBUTE TUBB2A NUMERIC
@ATTRIBUTE TNP1 NUMERIC
@ATTRIBUTE CADPS NUMERIC
@ATTRIBUTE PTRF NUMERIC
@ATTRIBUTE LRIG1 NUMERIC
@ATTRIBUTE NEK2 NUMERIC
@ATTRIBUTE UBE2Z NUMERIC
@ATTRIBUTE HNRNPA3 NUMERIC
@ATTRIBUTE ATP2B2 NUMERIC
@ATTRIBUTE CLN8 NUMERIC
@ATTRIBUTE SLC30A5 NUMERIC
@ATTRIBUTE SP100 NUMERIC
@ATTRIBUTE ZFP106 NUMERIC
@ATTRIBUTE FBLN1 NUMERIC
@ATTRIBUTE TCF20 NUMERIC
@ATTRIBUTE TGFB3 NUMERIC
@ATTRIBUTE SEPT2 NUMERIC
@ATTRIBUTE PPARGC1A NUMERIC
@ATTRIBUTE WFS1 NUMERIC
@ATTRIBUTE FBXO3 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE GALT NUMERIC
@ATTRIBUTE HGFAC NUMERIC
@ATTRIBUTE MAPRE2 NUMERIC
@ATTRIBUTE PLA2G10 NUMERIC
@ATTRIBUTE CHERP NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE ANK3 NUMERIC
@ATTRIBUTE SCARB2 NUMERIC
@ATTRIBUTE COL4A2 NUMERIC
@ATTRIBUTE ABLIM1 NUMERIC
@ATTRIBUTE TOLLIP NUMERIC
@ATTRIBUTE CLEC11A NUMERIC
@ATTRIBUTE TGM2 NUMERIC
@ATTRIBUTE TCF4 NUMERIC
@ATTRIBUTE PDE1A NUMERIC
@ATTRIBUTE PITPNA NUMERIC
@ATTRIBUTE PTPN5 NUMERIC
@ATTRIBUTE CCDC96 NUMERIC
@ATTRIBUTE TK2 NUMERIC
@ATTRIBUTE ADCY9 NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ORMDL3 NUMERIC
@ATTRIBUTE CPSF2 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE UHRF1 NUMERIC
@ATTRIBUTE BBS9 NUMERIC
@ATTRIBUTE PAX3 NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE FPR1 NUMERIC
@ATTRIBUTE ALDH3A2 NUMERIC
@ATTRIBUTE PPM1B NUMERIC
@ATTRIBUTE NADK NUMERIC

@DATA
Control,1805.2,274.3,124.5,602.1,1621.6,564,2055,50,1184.7,146.4,224.2,84.7,675.8,165.3,648.2,382.9,1366,2171.8,144.1,463.7,15691.1,728.2,337.6,200.4,1210.4,26.7,1159.2,60.1,10.6,1805.2,1856.2,602.1,197.2,382.9,179.1,1460.3,1953.1,688.2,2895.2,24.6,455,1184.7,498.4,1805.2,95.1,458.8,728.2,1381.3,728.2,989,265.8,1805.2,146.4,146.4,455,728.2,498.4,204.1,146.4,432.6,1381.3,82.7,292.7,337.6,2535.6,2895.2,2164.6,1381.3
Control,2110.6,272.1,148.5,674.8,1160.6,692.7,2050.7,62.2,1062.5,181.7,249.8,222.8,227.9,356.1,1046.2,428.1,1239.3,2074,181.7,331.8,18189,771.6,308.5,305.8,912.1,74.3,762.5,116.2,53.9,2110.6,1165.8,674.8,167.6,428.1,235,1622.7,1470.6,606,3047.2,24.7,692.7,1062.5,719.9,2110.6,43.6,285.1,771.6,1386,771.6,792.6,347.5,2110.6,181.7,20.1,692.7,771.6,719.9,123.3,150.4,450.9,1386,116.2,148.5,308.5,2179.2,3047.2,4550.7,1386
Infected,1765.1,106.5,226.3,1038,2737.3,541.1,4222.3,84.6,1610.3,226.3,1042.1,188.3,667.6,185.8,1044.6,208.4,3405.8,4382.7,254.8,697.1,8888.4,1826.7,659.1,164.5,1947.7,4.2,1214.6,134.8,28,1765.1,3277.5,344.9,226.3,659.1,166.4,1042.1,3946,194,1886.2,9,472.3,1610.3,1038,1765.1,3.6,360.8,1826.7,1758.7,1826.7,1498,178.7,1765.1,176.7,6,472.3,1826.7,415.8,58,176.7,964.4,1758.7,134.8,226.3,659.1,1429.4,1886.2,3171.6,1758.7
Infected,1521.5,141.6,124.9,889.7,2202.2,610,3377.5,14,1835,121.8,1358.1,95.9,411,290.7,749.9,152.5,3277.5,3487.2,223,679.2,9154.3,1438.8,754,223.2,2071.2,9.4,1034.5,185,40.5,1521.5,2527.8,363.1,162.7,754,124.9,1358.1,2858.6,107.9,2170.2,41.7,408.9,1835,889.7,1521.5,6.8,308.7,1438.8,1357,1438.8,1841.6,255.9,1521.5,203.5,13.6,408.9,1438.8,337,20.8,203.5,974.2,1357,185,258.4,754,1523.7,2170.2,3855.3,1357
Control,673.089,674.514,674.494,674.134,673.941,673.997,674.738,674.985,674.652,673.832,674.548,674.778,674.546,674.098,674.999,673.997,674.331,674.368,674.618,674.495,674.331,674.557,674.307,674.594,674.251,674.722,673.089,674.708,0,673.941,674.676,674.579,674.438,0,674.134,673.832,674.552,674.098,673.941,674.68,674.251,674.63,0,674.626,674.442,674.68,674.676,674.764,674.514,0,674.331,674.161,674.858,674.6582,674.516,673.089,674.481,674.368,674.538,674.495,674.652,674.602,674.098,674.53,674.833,0,674.503,674.495
Control,673.112,674.481,674.656,674.256,674.124,674.485,674.871,674.845,674.634,674.281,674.575,674.718,674.594,674.365,674.9,674.485,674.24,674.529,674.574,674.58,674.24,674.444,674.158,674.638,674.41,674.657,673.112,674.676,0,674.124,674.689,674.463,674.368,0,674.431,674.393,674.515,674.365,674.124,674.898,674.547,674.58,0,674.628,674.234,674.613,674.689,674.682,674.481,0,674.24,674.363,674.687,674.766,674.566,673.112,674.342,674.529,674.43,674.724,674.718,674.589,674.365,674.594,674.925,0,674.451,674.385
Control,673.237,674.408,674.616,674.349,673.91,674.114,674.811,674.813,674.412,673.917,674.548,674.717,674.668,674.215,675.012,674.114,674.344,674.423,674.653,674.599,674.344,674.475,674.312,674.621,674.17,674.731,673.237,674.727,674.454,673.91,674.645,674.64,674.276,0,674.349,673.917,674.51,674.215,673.91,674.968,674.606,674.599,0,674.66,674.564,674.651,674.645,674.787,674.408,0,674.344,674.306,674.738,674.728,674.536,673.237,674.572,674.423,674.545,674.632,674.717,674.553,674.215,674.573,674.923,0,674.553,674.421
Control,673.176,674.486,674.47,673.949,673.961,674.208,674.538,674.779,674.628,673.984,674.6,674.735,674.568,674.203,674.945,674.208,674.216,674.428,674.644,674.553,674.216,674.556,674.354,674.61,674.185,674.725,673.176,674.855,674.559,673.961,674.651,674.413,674.258,0,673.949,673.984,674.476,674.203,673.961,674.567,674.39,674.553,0,674.61,674.519,674.63,674.651,674.755,674.486,0,674.216,674.256,674.651,674.863,674.562,673.176,674.549,674.428,674.559,674.648,674.735,674.561,674.203,674.431,674.799,0,674.58,674.412
Control,673.162,674.456,674.515,673.936,673.981,674.261,674.785,674.803,674.642,674.102,674.619,674.697,674.59,674.105,674.882,674.261,674.287,674.364,674.547,674.534,674.287,674.528,674.344,674.584,674.097,674.643,673.162,674.808,674.543,673.981,674.67,674.565,674.32,0,673.936,674.102,674.534,674.105,673.981,674.476,674.57,674.586,0,674.65,674.385,674.597,674.67,674.711,674.456,0,674.287,673.998,674.637,674.802,674.547,673.162,674.483,674.364,674.507,674.678,674.697,674.557,674.105,674.592,674.826,0,674.514,674.463
Control,673.475,674.559,674.477,673.753,674.192,674.37,674.736,674.795,674.693,674.153,674.599,674.731,674.606,674.028,674.896,674.37,674.322,674.509,674.568,674.528,674.322,674.582,674.349,674.474,674.306,674.57,673.475,674.76,0,674.192,674.653,674.664,674.371,0,673.753,674.158,674.501,674.028,674.192,674.37,674.474,674.528,0,674.611,674.444,674.697,674.598,674.677,674.6,0,674.322,674.064,674.645,674.681,674.493,673.475,674.445,674.509,674.581,674.736,674.731,674.491,674.028,674.612,674.688,0,674.523,674.489
