% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE KLF9 NUMERIC
@ATTRIBUTE MKRN1 NUMERIC

@DATA
Control,3621.775,589.663
Control,4700.225,496.65
Control,4270.5,729.275
Control,3748.537,583.112
Infected,3185.412,870.825
Infected,3465.062,672.475
Infected,3308.85,634.75
Infected,2361.738,720.125
Control,870.408,187.049
Control,875.029,386.84
Infected,1016.929,320.463
Infected,1117.225,366.069
Control,1600.2855,1600.4255
Control,1600.1655,1600.4685
Control,1600.4225,1600.9515
Control,1600.8485,1600.7495
Control,1599.8005,1601.0585
Control,1600.9055,1601.0995
Control,1599.1195,1600.7155
Control,1600.5835,1601.0045
Control,1600.2455,1601.0695
Control,1600.4825,1600.8535
Infected,1599.9935,1600.4265
Infected,1600.7835,1600.4905
Infected,1600.2105,1600.3095
Infected,1600.3245,1600.8175
Infected,1599.8795,1600.6585
Infected,1600.3685,1600.9745
Infected,1599.7435,1600.7965
Infected,1599.9095,1600.8565
Infected,1599.4255,1600.0485
Infected,1600.1355,1600.4665
Control,1612.52,1609.357
Control,1612.805,1607.909
Control,1611.876,1608.101
Control,1611.304,1608.976
Control,1612.567,1609.526
Infected,1613.112,1610.094
Infected,1613.031,1610.724
Infected,1613.062,1610.781
Infected,1612.551,1608.868
Infected,1612.917,1610.064
Control,2632.063,381.299
Control,1925.413,407.493
Control,2153.263,303.178
Control,1724.893,455.131
Control,1589.123,453.641
Control,1842.943,538.332
Infected,1805.633,447.996
Infected,2043.753,396.63
Infected,1800.363,362.921
Infected,1946.933,380.376
Infected,1629.673,476.723
Infected,1652.553,456.979
Control,1600.2855,1600.4255
Control,1600.1655,1600.4685
Control,1600.4225,1600.9515
Control,1600.8485,1600.7495
Control,1599.8005,1601.0585
Control,1600.9055,1601.0995
Control,1599.1195,1600.7155
Control,1600.5835,1601.0045
Control,1600.2455,1601.0695
Control,1600.4825,1600.8535
Infected,1599.9935,1600.4265
Infected,1600.7835,1600.4905
Infected,1600.2105,1600.3095
Infected,1600.3245,1600.8175
Infected,1599.8795,1600.6585
Infected,1600.3685,1600.9745
Infected,1599.7435,1600.7965
Infected,1599.9095,1600.8565
Infected,1599.4255,1600.0485
Infected,1600.1355,1600.4665
Control,3066.5685,112.9685
Control,2598.7685,152.7685
Control,2881.4685,123.5685
Infected,4164.3685,234.4685
Infected,4914.0685,232.1685
Infected,3899.5685,134.7685
Control,379.074,663.817
Control,531.375,603.231
Control,72.571,615.852
Control,728.087,733.898
Control,138.643,550.884
Control,405.844,663.555
Control,420.433,584.983
Control,487.763,620.15
Control,362.766,614.64
Control,313.436,460.794
Control,353.58,563.252
Control,263.876,494.673
Control,149.137,470.007
Infected,291.15,460.008
Infected,294.066,510.625
Infected,504.463,504.463
Infected,451.845,507.868
Infected,388.894,627.425
Infected,339.042,634.723
Infected,378.965,515.244
Infected,234.854,649.951
Infected,333.522,527.335
Infected,423.486,596.132
Infected,377.406,560.865
Infected,91.5060000000001,474.322
Infected,344.26,577.419
Infected,351.338,575.868
Infected,334.886,573.835
Infected,404.241,585.982
Control,1086.0815,1023.9815
Control,1111.6815,1048.2815
Infected,904.9815,1010.6815
Infected,947.0815,1040.9815
