% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE RASD2 NUMERIC
@ATTRIBUTE S1PR3 NUMERIC
@ATTRIBUTE B2M NUMERIC
@ATTRIBUTE KCNIP2 NUMERIC
@ATTRIBUTE SERINC2 NUMERIC
@ATTRIBUTE GRB2 NUMERIC
@ATTRIBUTE TRIM47 NUMERIC
@ATTRIBUTE TMEM176B NUMERIC
@ATTRIBUTE CP NUMERIC
@ATTRIBUTE CKLF NUMERIC
@ATTRIBUTE DDAH1 NUMERIC
@ATTRIBUTE DAK NUMERIC
@ATTRIBUTE RNF181 NUMERIC
@ATTRIBUTE SSTR1 NUMERIC
@ATTRIBUTE CPPED1 NUMERIC
@ATTRIBUTE CD53 NUMERIC
@ATTRIBUTE MACF1 NUMERIC
@ATTRIBUTE PLD4 NUMERIC
@ATTRIBUTE FGFRL1 NUMERIC
@ATTRIBUTE TMED4 NUMERIC
@ATTRIBUTE SPATA5 NUMERIC
@ATTRIBUTE GUSB NUMERIC
@ATTRIBUTE CDC23 NUMERIC
@ATTRIBUTE RBMS2 NUMERIC
@ATTRIBUTE PRSS23 NUMERIC
@ATTRIBUTE TNKS2 NUMERIC
@ATTRIBUTE FOXO1 NUMERIC
@ATTRIBUTE ARHGAP1 NUMERIC
@ATTRIBUTE ATP2B3 NUMERIC
@ATTRIBUTE ARHGAP23 NUMERIC
@ATTRIBUTE STK40 NUMERIC
@ATTRIBUTE TXNL1 NUMERIC
@ATTRIBUTE FOXC2 NUMERIC
@ATTRIBUTE TLE4 NUMERIC
@ATTRIBUTE ANKRD28 NUMERIC
@ATTRIBUTE FAHD1 NUMERIC
@ATTRIBUTE S100A10 NUMERIC
@ATTRIBUTE MRPL52 NUMERIC
@ATTRIBUTE RALGPS2 NUMERIC
@ATTRIBUTE HDDC3 NUMERIC
@ATTRIBUTE SLC40A1 NUMERIC
@ATTRIBUTE AGAP3 NUMERIC
@ATTRIBUTE PARP14 NUMERIC
@ATTRIBUTE EZH1 NUMERIC
@ATTRIBUTE ABI2 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE DCAF6 NUMERIC
@ATTRIBUTE SPATA6 NUMERIC
@ATTRIBUTE ESD NUMERIC
@ATTRIBUTE KTELC1 NUMERIC
@ATTRIBUTE ARMC10 NUMERIC
@ATTRIBUTE MAGI3 NUMERIC
@ATTRIBUTE NOP58 NUMERIC
@ATTRIBUTE RBM24 NUMERIC
@ATTRIBUTE CHCHD4 NUMERIC
@ATTRIBUTE SETBP1 NUMERIC
@ATTRIBUTE SYNJ2BP NUMERIC
@ATTRIBUTE TMEM150C NUMERIC
@ATTRIBUTE CDH23 NUMERIC
@ATTRIBUTE PRDM15 NUMERIC
@ATTRIBUTE FAM103A1 NUMERIC
@ATTRIBUTE RPS5 NUMERIC
@ATTRIBUTE MRS2 NUMERIC
@ATTRIBUTE MEX3C NUMERIC
@ATTRIBUTE EEF2 NUMERIC
@ATTRIBUTE DLG1 NUMERIC
@ATTRIBUTE CCDC126 NUMERIC
@ATTRIBUTE NRBF2 NUMERIC
@ATTRIBUTE ZNF503 NUMERIC
@ATTRIBUTE MSL1 NUMERIC
@ATTRIBUTE DTX3L NUMERIC
@ATTRIBUTE ATG10 NUMERIC
@ATTRIBUTE USP38 NUMERIC
@ATTRIBUTE CDCA7 NUMERIC
@ATTRIBUTE SFXN4 NUMERIC
@ATTRIBUTE KY NUMERIC
@ATTRIBUTE GALM NUMERIC
@ATTRIBUTE AZI2 NUMERIC
@ATTRIBUTE ADCY5 NUMERIC
@ATTRIBUTE FAM129B NUMERIC
@ATTRIBUTE PAN3 NUMERIC
@ATTRIBUTE RAB10 NUMERIC
@ATTRIBUTE ZBTB43 NUMERIC
@ATTRIBUTE RPS27A NUMERIC
@ATTRIBUTE ABHD13 NUMERIC
@ATTRIBUTE ZFP36L2 NUMERIC
@ATTRIBUTE SHANK2 NUMERIC
@ATTRIBUTE RNF207 NUMERIC
@ATTRIBUTE PCM1 NUMERIC
@ATTRIBUTE NPHP1 NUMERIC
@ATTRIBUTE ANKRD17 NUMERIC
@ATTRIBUTE THRB NUMERIC
@ATTRIBUTE COL27A1 NUMERIC
@ATTRIBUTE AP1M1 NUMERIC
@ATTRIBUTE DOCK1 NUMERIC
@ATTRIBUTE NOL6 NUMERIC
@ATTRIBUTE LTBR NUMERIC
@ATTRIBUTE CXCL16 NUMERIC
@ATTRIBUTE ENSA NUMERIC
@ATTRIBUTE AMN1 NUMERIC
@ATTRIBUTE CCNY NUMERIC
@ATTRIBUTE GABRG1 NUMERIC
@ATTRIBUTE PRKAR2A NUMERIC
@ATTRIBUTE FAM116A NUMERIC
@ATTRIBUTE ANKRD37 NUMERIC
@ATTRIBUTE ID4 NUMERIC
@ATTRIBUTE CASP3 NUMERIC
@ATTRIBUTE TPM3 NUMERIC
@ATTRIBUTE PRIC285 NUMERIC
@ATTRIBUTE ANGPT2 NUMERIC
@ATTRIBUTE USP9X NUMERIC
@ATTRIBUTE GPC3 NUMERIC
@ATTRIBUTE AS3MT NUMERIC
@ATTRIBUTE RBM39 NUMERIC
@ATTRIBUTE SUDS3 NUMERIC
@ATTRIBUTE RAPH1 NUMERIC
@ATTRIBUTE PROM2 NUMERIC
@ATTRIBUTE PXK NUMERIC
@ATTRIBUTE MPZL2 NUMERIC
@ATTRIBUTE REV3L NUMERIC
@ATTRIBUTE RGS5 NUMERIC
@ATTRIBUTE NSD1 NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE TACR1 NUMERIC
@ATTRIBUTE A1BG NUMERIC
@ATTRIBUTE PURB NUMERIC
@ATTRIBUTE IGFBPL1 NUMERIC
@ATTRIBUTE LRTOMT NUMERIC
@ATTRIBUTE CREBZF NUMERIC
@ATTRIBUTE TNRC6A NUMERIC
@ATTRIBUTE AFF4 NUMERIC
@ATTRIBUTE CREBBP NUMERIC
@ATTRIBUTE EGR4 NUMERIC
@ATTRIBUTE CADM1 NUMERIC
@ATTRIBUTE RPL22 NUMERIC
@ATTRIBUTE CAMK2D NUMERIC
@ATTRIBUTE WIPF3 NUMERIC
@ATTRIBUTE OAF NUMERIC
@ATTRIBUTE SAMD4B NUMERIC
@ATTRIBUTE ZMIZ1 NUMERIC
@ATTRIBUTE ARHGEF7 NUMERIC
@ATTRIBUTE DAZAP2 NUMERIC
@ATTRIBUTE PNPO NUMERIC
@ATTRIBUTE SLC44A1 NUMERIC
@ATTRIBUTE MRPL51 NUMERIC
@ATTRIBUTE FXN NUMERIC
@ATTRIBUTE HDAC2 NUMERIC
@ATTRIBUTE MLLT10 NUMERIC
@ATTRIBUTE DNAJC5 NUMERIC
@ATTRIBUTE MMAA NUMERIC
@ATTRIBUTE HNRNPU NUMERIC
@ATTRIBUTE USP28 NUMERIC
@ATTRIBUTE NUP153 NUMERIC
@ATTRIBUTE ANAPC5 NUMERIC
@ATTRIBUTE CALCRL NUMERIC
@ATTRIBUTE LIMCH1 NUMERIC
@ATTRIBUTE FOXO3 NUMERIC
@ATTRIBUTE SCRT1 NUMERIC
@ATTRIBUTE GJB6 NUMERIC
@ATTRIBUTE PRKAA1 NUMERIC
@ATTRIBUTE MECOM NUMERIC
@ATTRIBUTE TRAF4 NUMERIC
@ATTRIBUTE SFRS18 NUMERIC
@ATTRIBUTE CSNK1G3 NUMERIC
@ATTRIBUTE TEAD2 NUMERIC
@ATTRIBUTE RPL37 NUMERIC
@ATTRIBUTE SPDYA NUMERIC
@ATTRIBUTE FOLR2 NUMERIC
@ATTRIBUTE SIX5 NUMERIC
@ATTRIBUTE EIF4E2 NUMERIC
@ATTRIBUTE ARL8A NUMERIC
@ATTRIBUTE PLBD2 NUMERIC
@ATTRIBUTE SEC63 NUMERIC
@ATTRIBUTE KRT19 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE PIGU NUMERIC

@DATA
Control,188.942,173.039,1120.245,143.7,92.259,171.319,115.503,301.245,681.871,39.27,165.752,6.761,738.593,70.92,146.289,681.871,141.923,394.889,36.634,429.36,200.283,68.361,420.703,1.378,32.736,353.107,233.651,71.872,411.921,606.906,87.076,197.952,118.095,89.242,257.352,45.917,759.028,62.867,46.88,79.272,268.053,595.402,70.92,12.894,15.118,325.376,759.028,26.712,5.491,2.031,242.619,60.522,46.494,197.647,95.159,42.322,146.627,606.906,51.635,15.337,170.83,5.539,53.508,145.39,0.551,59.413,221.48,13.047,285.808,427.735,130.337,159.471,350.998,72.115,23.028,34.407,759.028,308.74,88.503,27.776,60.522,69.824,191.445,1601.802,285.808,302.313,28.481,595.402,747.785,85.887,267.166,35.766,197.647,6.757,61.951,3.725,255.606,702.916,140.69,759.028,317.256,170.473,1417.985,4.386,257.817,243.221,59.468,567.993,2.245,251.315,189.092,52.539,89.129,233.651,217.644,230.076,115.026,21.2,197.647,148.357,6.944,14.357,622.104,309.062,39.218,243.221,1.555,325.376,127.724,48.283,189.092,268.053,606.906,39.011,40.503,312.728,299.223,83.9,759.028,83.778,137.514,611.77,27.6,325.122,325.376,97.982,193.041,249.885,28.481,73.755,40.503,336.365,130.79,24.98,261.609,312.728,595.402,95.644,46.99,218.381,15.473,571.368,19.548,350.998,3.27,46.88,49.375,5.24,550.705,470.187,287.065,329.218,527.012,39.037,38.799,118.337
Control,193.934,148.95,1085.664,127.583,86.101,166.902,118.036,308.31,703.954,43.311,184.666,11.009,812.151,65.252,163.093,703.954,123.218,364.43,27.932,441.679,236.433,72.535,419.555,26.314,57.464,316.078,227.956,60.674,432.35,569.701,99.301,195.981,109.304,103.177,302.425,51.977,713.646,65.791,40.512,72.8,266.569,653.773,47.245,27.609,9.83,315.981,713.646,21.342,2.061,2.067,249.579,77.168,27.833,188.447,95.054,49.358,154.208,569.701,42.344,14.268,169.358,3.032,42.516,135.87,1.017,63.184,234.746,23.399,252.103,448.026,142.914,151.247,339.05,58.636,27.812,25.79,713.646,339.184,101.274,37.997,77.168,70.217,161.702,1756.791,252.103,334.219,27.985,653.773,739.507,75.421,276.684,38.809,188.447,14.325,56.249,11.614,214.55,653.345,150.818,713.646,235.473,196.121,1326.427,8.876,266.666,192.943,66.184,643.895,1.728,278.099,180.458,50.025,94.409,227.956,194.914,237.997,98.855,8.454,188.447,162.332,7.189,13.814,698.621,297.278,25.151,192.943,1.893,315.981,118.766,54.488,180.458,266.569,569.701,23.399,29.653,322.456,301.402,82.172,713.646,82.063,115.397,626.589,35.999,298.455,315.981,126.524,162.196,232.46,18.734,52.512,29.653,334.616,100.033,35.691,250.782,322.456,653.773,88.495,54.077,322.359,25.58,550.244,20.869,339.05,3.009,40.512,42.684,18.333,513.605,455.269,292.024,288.89,562.107,26.618,43.429,96.565
Control,165.188,155.17,995.724,171.962,93.585,147.285,131.978,320.249,703.226,51.277,167.67,2.525,830.998,88.767,172.756,703.226,128.485,406.162,43.221,399.6,204.878,53.541,456.253,5.729,37.398,285.773,184.464,71.248,400.962,562.407,86.255,208.364,141.916,104.32,334.354,58.449,600.409,77.448,65.486,90.668,269.399,554.639,88.767,5.758,18.159,302.684,600.409,24.177,2.641,2.657,251.912,74.021,44.309,230.217,100.808,41.577,147.806,562.407,48.753,17.25,177.493,4.707,47.342,160.433,1.408,46.221,217.999,2.956,276.759,400.338,146.469,169.07,285.415,53.817,20.622,34.283,600.409,382.041,94.299,59.814,74.021,71.125,170.197,1696.7,276.759,290.218,18.409,554.639,722.535,66.78,336.817,66.068,230.217,22.844,52.823,4.674,235.396,628.676,143.537,682.418,241.958,193.177,1404.024,7.39,237.87,179.928,58.489,618.14,3.739,230.764,166.145,64.787,95.364,184.464,206.116,292.073,115.215,11.014,230.217,156.881,2.356,4.195,661.062,306.701,31.32,179.928,1.171,302.684,125.95,71.475,166.145,269.399,562.407,14.317,40.177,320.249,320.218,83.015,682.418,71.198,116.004,618.96,44.69,354.183,302.684,113.933,153.929,212.691,15.573,52.671,40.177,357.047,110.984,39.693,232.293,289.175,554.639,102.328,46.755,237.712,19.755,532.272,14.745,285.415,4.009,65.486,64.302,22.792,495.79,425.708,279.318,365.468,488.131,34.714,48.697,86.766
Control,156.851,171.007,1116.029,135.233,91.004,165.536,125.067,319.074,700.109,51.283,152.304,1.033,828.512,80.525,146.982,700.109,114.535,385.713,34.761,383.134,188.787,73.47,428.038,19.652,55.087,339.269,209.406,77.427,414.675,508.069,100.786,225.7,111.484,100.445,272.585,45.846,622.044,73.576,56.831,63.629,285.745,563.048,80.525,10.327,29.086,348.85,622.044,16.934,4.406,2.631,273.855,63.785,44.605,218.776,103.66,43.269,145.742,508.069,48.744,20.388,171.338,5.901,39.025,142.851,3.048,94.491,233.379,11.793,248.08,432.557,133.217,171.333,314.149,58.469,22.77,38.264,622.044,337.736,114.35,20.423,63.785,62.577,168.211,1574.84,248.08,299.989,16.713,563.048,711.379,80.417,269.61,53.413,218.776,5.771,37.891,20.358,232.508,699.339,120.852,622.044,298.109,198.519,1271.026,12.18,249.235,239.265,52.688,640.573,2.58,238.261,189.694,60.062,83.818,209.406,194.691,255.578,96.36,7.259,218.776,135.176,27.817,1.4,641.855,304.067,35.771,239.265,1.368,348.85,143.49,38.792,189.694,285.745,508.069,24.067,47.445,319.074,290.04,78.851,622.044,97.679,128.69,624.224,26.169,369.14,348.85,117.236,186.504,203.86,16.684,49.112,47.445,343.663,112.06,39.311,225.001,287.338,563.048,104.249,40.258,188.113,19.693,556.433,37.493,314.149,3.459,56.831,58.368,21.222,507.496,407.696,307.199,349.207,527.888,42.292,61.476,96.146
Control,192.003,148.835,1402.766,153.638,94.145,171.303,104.482,291.818,708.325,68.643,177.641,1.41,837.37,70.671,133.475,708.325,96.342,381.737,35.799,449.741,202.711,71.914,409.628,13.385,42.652,300.166,226.646,85.418,451.395,513.679,82.369,197.509,118.129,79.165,316.53,54.733,671.86,70.007,50.492,76.964,328.567,675.793,70.671,15.228,27.665,287.696,671.86,29.929,1.388,2.413,195.14,75.045,46.822,200.951,98.542,61.9,152.215,513.679,48.501,25.091,146.991,5.422,30.042,124.104,2.333,86.318,217.647,17.898,260.769,444.588,163.366,164.572,329.139,51.085,29.691,42.745,671.86,360.89,106.07,47.087,75.045,107.269,171.23,1707.337,260.769,284.635,22.47,675.793,752.622,62.603,252.659,38.201,200.951,2.898,64.824,15.048,266.596,652.419,133.369,671.86,289.924,171.971,1284.238,5.49,252.339,244.492,64.806,601.41,3.874,251.198,194.433,50.462,94.668,226.646,192.464,273.91,114.562,6.095,200.951,163.69,19.099,32.168,611.121,486.695,40.028,244.492,1.336,287.696,135.962,47.087,194.433,328.567,513.679,20.447,51.667,335.095,273.94,75.017,671.86,108.031,108.031,648.344,28.429,371.834,287.696,136.762,234.872,207.043,22.47,65.23,51.667,307.694,128.649,34.04,238.728,335.095,675.793,124.564,68.722,228.7,26.181,557.954,24.486,329.139,4.747,50.492,58.46,14.153,518.634,418.878,256.659,368.294,560.649,32.216,54.842,107.343
Control,180.994,168.663,1206.193,147.177,97.369,161.221,132.352,308.968,665.719,50.387,185.582,2.356,866.547,68.263,153.756,665.719,127.195,347.263,38.989,362.736,181.098,70.142,456.344,15.29,43.439,336.373,230.61,72.69,434.567,548.716,94.34,269.093,120.826,97.444,333.969,43.947,614.029,82.896,50.096,74.173,266.528,746.459,63.966,6.097,22.114,315.085,614.029,28.974,1.082,2.483,231.652,69.477,41.784,213.187,99.267,34.46,153.81,548.716,40.646,24.158,207.185,10.079,50.058,143.28,2.819,114.623,201.501,6.613,212.402,427.877,139.059,168.469,285.934,23.584,24.157,31.601,614.029,343.805,92.071,33.85,69.477,59.776,185.666,1649.144,212.402,316.861,22.526,746.459,757.514,73.18,275.024,50.628,213.187,7.807,44.635,14.185,240.505,661.331,146.005,648.087,300.136,193.174,1319.875,9.528,245.75,210.753,64.844,667.013,5.737,235.51,195.813,60.281,103.376,230.61,197.94,253.122,102.248,16.732,213.187,158.483,14.408,30.032,670.962,300.549,35.211,210.753,9.13,315.085,143.638,45.315,195.813,266.528,548.716,10.528,39.606,308.968,314.762,86.631,648.087,73.79,137.412,630.205,33.206,318.761,315.085,102.365,191.759,232.612,22.526,81.515,39.606,282.95,132.893,30.513,262.918,304.182,746.459,91.856,63.756,223.645,20.209,549.444,35.328,285.934,4.45,50.096,54.133,17.057,489.767,466.218,312.303,347.972,530.047,38.908,58.753,98.401
Infected,201.2,156.993,1338.231,134.813,96.388,170.119,109.246,327.831,718.62,73.008,172.778,4.627,863.222,69.032,150.542,718.62,107.13,410.276,31.598,432.411,220.574,59.247,423.853,17.95,60.826,281.719,203.261,69.805,419.585,571.762,96.806,215.184,137.648,95.668,273.615,62.936,704.142,85.222,57.645,53.085,264.834,669.359,51.081,26.445,22.653,304.361,704.142,25.484,2.497,1.855,215.483,65.363,43.771,182.037,81.85,66.022,146.494,571.762,37.786,16.165,169.339,3.941,36.852,145.733,1.965,68.576,261.642,12.21,233.993,402.705,182.72,154.18,282.185,50.204,16.354,65.339,704.142,348.61,88.252,27.439,65.363,99.029,161.229,1796.014,233.993,286.14,20.122,669.359,731.742,80.664,268.913,36.853,182.037,2.633,65.353,2.419,269.303,682.115,135.445,704.142,241.082,192.051,1481.156,5.28,225.411,233.194,53.256,624.481,2.27,238.272,200.505,56.302,96.248,203.261,208.11,253.034,80.352,6.768,182.037,150.634,11.888,39.062,685.767,471.434,37.3,233.194,5.922,304.361,134.405,36.669,200.505,264.834,571.762,12.21,33.648,327.831,309.952,79.022,704.142,91.736,91.736,625.904,36.194,332.36,304.361,91.306,203.345,209.276,9.809,55.467,33.648,279.803,120.484,25.97,256.369,317.579,669.359,104.98,57.885,239.439,24.565,590.681,33.904,282.185,2.373,57.645,54.887,2.667,503.989,440.872,226.297,323.837,496.491,23.509,40.231,101.68
Infected,158.954,149.95,1421.17,122.029,85.144,156.873,119.492,301.044,742.16,88.591,182.578,7.115,904.928,61.313,132.184,742.16,128.214,393.316,31.721,459.5,227.874,79.469,402.373,11.607,40.115,322.848,226.501,73.481,437.226,566.268,90.813,217.774,116.669,77.586,271.221,51.384,683.613,78.269,49.517,66.403,283.994,553.924,59.142,27.136,17.68,271.736,683.613,23.922,2.268,2.747,228.544,65.643,47.808,191.605,103.779,74.71,144.893,566.268,50.917,17.305,169.357,5.283,41.441,146.738,3.825,49.795,213.776,21.396,242.192,400.464,154.891,163.2,320.329,17.785,36.233,60.123,683.613,337.678,108.376,11.71,65.643,109.111,160.997,1863.948,242.192,303.64,27.093,553.924,683.195,86.233,251.52,38.187,191.605,3.503,43.525,3.673,259.062,621.134,120.842,683.613,250.187,198.556,1401.429,12.83,243.815,204.218,54.27,576.473,2.182,232.396,201.373,47.469,92.814,226.501,222.727,248.616,102.312,6.58,191.605,172.67,14.596,17.367,681.082,513.164,39.27,204.218,1.113,271.736,139.588,62.951,201.373,283.994,566.268,21.396,37.624,323.555,278.594,77.253,683.613,115.705,115.705,619.148,36.48,331.147,271.736,106.697,231.101,188.156,27.093,51.402,37.624,330.848,113.939,11.33,245.772,323.555,553.924,107.311,39.458,244.601,32.654,591.816,48.273,320.329,3.526,49.517,48.56,19.154,523.872,415.517,238.111,273.931,583.811,44.821,39.721,91.86
Infected,216.006,152.079,1221.867,156.464,75.572,173.203,116.791,303.17,740.627,61.927,180.92,10.262,844.78,58.916,132.962,740.627,116.227,412.834,41.409,454.828,204.635,88.057,314.576,13.434,42.166,297.966,229.258,78.74,413.644,556.401,94.355,183.237,133.379,75.79,338.909,62.775,700.124,79.957,51.71,77.813,239.068,612.96,58.916,34.594,28.388,274.535,700.124,19.586,1.129,1.727,190.103,60.341,36.35,193.816,91.109,55.597,153.071,556.401,56.222,9.04,171.959,4.703,44.568,149.803,1.459,58.609,235.937,22.484,235.438,396.069,184.162,169.456,290.339,55.313,34.71,31.746,700.124,335.861,115.368,45.789,60.341,93.585,173.961,1665.929,231.628,249.887,19.088,612.96,713.195,91.041,296.264,37.525,193.816,3.168,33.67,3.195,282.466,579.262,132.982,700.124,276.485,209.497,1402.628,20.276,249.773,235.438,59.872,606.943,1.95,245.961,185.106,50.214,108.309,229.258,209.253,228.687,69.81,3.128,193.816,125.151,20.648,31.967,628.763,429.115,35.763,235.438,7.279,274.535,155.679,63.966,185.106,239.068,556.401,22.484,36.831,308.81,279.828,73.31,700.124,83.548,109.952,730.532,36.82,336.694,274.535,95.383,184.13,191.577,19.088,44.807,36.831,304.235,90.275,28.533,330.605,308.81,612.96,114.256,93.962,232.291,16.97,540.073,30.954,290.339,3.431,51.71,46.556,18.595,504.665,382.156,270.522,344.384,576.557,31.443,60.529,99.587
Infected,179.299,145.543,1304.825,142.852,84.413,149.69,118.84,324.287,680.382,51.34,169.934,2.933,778.118,72.573,142.837,680.382,185.564,401.752,35.738,467.91,228.698,73.356,422.769,19.902,50.997,290.786,197.319,64.304,427.913,609.465,89.551,213.082,127.546,124.415,289.292,44.67,716.974,72.317,51.699,67.258,296.832,627.532,63.125,29.166,24.013,291.013,716.974,21.446,1.004,7.961,210.272,55.654,49.198,203.695,86.995,63.145,162.126,609.465,61.783,17.607,154.075,10.557,39.098,142.46,1.408,87.353,231.869,14.562,265.26,429.332,146.808,166.949,279.588,29.224,22.577,51.602,716.974,303.502,106.369,15.376,55.654,69.828,157.373,1670.681,265.26,303.902,17.391,627.532,715.014,102.27,266.998,56.034,203.695,4.122,61.398,5.546,233.908,685.283,164.75,716.974,293.242,212.847,1432.015,6.657,238.238,183.031,54.17,642.928,1.279,241.933,174.307,49.84,107.395,197.319,214.673,240.913,111.88,8.737,203.695,165.881,34.008,23.826,660.515,309.84,34.622,183.031,1.764,291.013,119.627,45.736,174.307,296.832,609.465,23.203,43.453,324.287,329.479,80.676,716.974,92.735,126.03,676.975,38.5,339.7,291.013,130.364,163.086,234.289,17.391,62.171,43.453,301.973,121.328,30.003,264.09,318.159,627.532,106.655,56.191,223.508,27.172,532.481,19.321,279.588,5.189,51.699,63.691,9.522,515.127,411.23,275.471,330.42,587.599,50.108,52.398,91.896
