% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SF1 NUMERIC
@ATTRIBUTE COL1A1 NUMERIC
@ATTRIBUTE RBBP6 NUMERIC
@ATTRIBUTE TSPAN4 NUMERIC
@ATTRIBUTE ZMYND8 NUMERIC
@ATTRIBUTE RPS6KA2 NUMERIC
@ATTRIBUTE GLI2 NUMERIC
@ATTRIBUTE ZC3H13 NUMERIC
@ATTRIBUTE TSPYL1 NUMERIC
@ATTRIBUTE KLF9 NUMERIC
@ATTRIBUTE G3BP1 NUMERIC
@ATTRIBUTE BCAP29 NUMERIC
@ATTRIBUTE GLMN NUMERIC
@ATTRIBUTE ARNT NUMERIC
@ATTRIBUTE VEZF1 NUMERIC
@ATTRIBUTE TERF2 NUMERIC
@ATTRIBUTE SKP2 NUMERIC
@ATTRIBUTE PPPDE2 NUMERIC
@ATTRIBUTE ELAVL1 NUMERIC
@ATTRIBUTE HN1L NUMERIC
@ATTRIBUTE PDE4D NUMERIC
@ATTRIBUTE H6PD NUMERIC
@ATTRIBUTE GAB1 NUMERIC
@ATTRIBUTE ITSN1 NUMERIC
@ATTRIBUTE PDLIM5 NUMERIC
@ATTRIBUTE EPHB2 NUMERIC
@ATTRIBUTE BPTF NUMERIC
@ATTRIBUTE RCHY1 NUMERIC
@ATTRIBUTE FETUB NUMERIC
@ATTRIBUTE ARID5B NUMERIC
@ATTRIBUTE NOL7 NUMERIC
@ATTRIBUTE NFATC2IP NUMERIC
@ATTRIBUTE CDHR1 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE RIF1 NUMERIC
@ATTRIBUTE B9D1 NUMERIC
@ATTRIBUTE ACACB NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ABCC1 NUMERIC
@ATTRIBUTE IRF1 NUMERIC
@ATTRIBUTE PIK3IP1 NUMERIC
@ATTRIBUTE PLK1 NUMERIC
@ATTRIBUTE RSU1 NUMERIC
@ATTRIBUTE TTLL5 NUMERIC
@ATTRIBUTE PAFAH1B3 NUMERIC
@ATTRIBUTE WHSC1 NUMERIC
@ATTRIBUTE APC NUMERIC
@ATTRIBUTE SLC16A3 NUMERIC
@ATTRIBUTE TBCB NUMERIC
@ATTRIBUTE MYCN NUMERIC
@ATTRIBUTE CLMN NUMERIC
@ATTRIBUTE LIFR NUMERIC
@ATTRIBUTE MRPS11 NUMERIC
@ATTRIBUTE UBE2K NUMERIC
@ATTRIBUTE PLD1 NUMERIC
@ATTRIBUTE NDUFB8 NUMERIC
@ATTRIBUTE MATR3 NUMERIC
@ATTRIBUTE RYR2 NUMERIC
@ATTRIBUTE DGCR14 NUMERIC
@ATTRIBUTE LPIN1 NUMERIC
@ATTRIBUTE SP1 NUMERIC
@ATTRIBUTE MEF2D NUMERIC
@ATTRIBUTE ITGB3 NUMERIC
@ATTRIBUTE TCERG1 NUMERIC
@ATTRIBUTE TRAFD1 NUMERIC
@ATTRIBUTE XAF1 NUMERIC
@ATTRIBUTE PDK3 NUMERIC
@ATTRIBUTE WT1 NUMERIC
@ATTRIBUTE DLG5 NUMERIC
@ATTRIBUTE CARS NUMERIC
@ATTRIBUTE SLC16A1 NUMERIC
@ATTRIBUTE SNTB2 NUMERIC
@ATTRIBUTE PVR NUMERIC
@ATTRIBUTE TYRO3 NUMERIC
@ATTRIBUTE ACACA NUMERIC
@ATTRIBUTE TRAP1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE CACNB2 NUMERIC
@ATTRIBUTE BTF3 NUMERIC
@ATTRIBUTE PASK NUMERIC
@ATTRIBUTE AAK1 NUMERIC
@ATTRIBUTE HIC1 NUMERIC
@ATTRIBUTE PSMD4 NUMERIC
@ATTRIBUTE TPP2 NUMERIC
@ATTRIBUTE CDC42EP4 NUMERIC
@ATTRIBUTE KALRN NUMERIC
@ATTRIBUTE MTMR9 NUMERIC
@ATTRIBUTE CARD10 NUMERIC
@ATTRIBUTE HCCS NUMERIC
@ATTRIBUTE ESR1 NUMERIC
@ATTRIBUTE MCM3AP NUMERIC
@ATTRIBUTE ASAP2 NUMERIC
@ATTRIBUTE RPLP1 NUMERIC
@ATTRIBUTE EBP NUMERIC
@ATTRIBUTE ARMC6 NUMERIC
@ATTRIBUTE RPLP2 NUMERIC
@ATTRIBUTE MDN1 NUMERIC
@ATTRIBUTE PATZ1 NUMERIC
@ATTRIBUTE SKIL NUMERIC
@ATTRIBUTE SLCO3A1 NUMERIC
@ATTRIBUTE OSBPL3 NUMERIC
@ATTRIBUTE RGS12 NUMERIC
@ATTRIBUTE GTPBP10 NUMERIC
@ATTRIBUTE GBX2 NUMERIC
@ATTRIBUTE PRLR NUMERIC
@ATTRIBUTE GNL1 NUMERIC
@ATTRIBUTE ERCC1 NUMERIC
@ATTRIBUTE SRPK2 NUMERIC
@ATTRIBUTE INPP5F NUMERIC
@ATTRIBUTE KDM5D NUMERIC
@ATTRIBUTE TTBK2 NUMERIC
@ATTRIBUTE AMD1 NUMERIC
@ATTRIBUTE ESR2 NUMERIC
@ATTRIBUTE RPS6KA4 NUMERIC
@ATTRIBUTE PTPRM NUMERIC
@ATTRIBUTE FNBP1 NUMERIC
@ATTRIBUTE ANKRD26 NUMERIC
@ATTRIBUTE UBR2 NUMERIC
@ATTRIBUTE RSL1D1 NUMERIC
@ATTRIBUTE BMP10 NUMERIC
@ATTRIBUTE SLC4A8 NUMERIC
@ATTRIBUTE VPS13A NUMERIC
@ATTRIBUTE PSKH1 NUMERIC
@ATTRIBUTE EEF1D NUMERIC
@ATTRIBUTE EIF2S1 NUMERIC
@ATTRIBUTE FAM65B NUMERIC
@ATTRIBUTE HSPH1 NUMERIC
@ATTRIBUTE RAB3B NUMERIC
@ATTRIBUTE MCM6 NUMERIC
@ATTRIBUTE ELOVL6 NUMERIC
@ATTRIBUTE DUSP1 NUMERIC
@ATTRIBUTE ZDHHC18 NUMERIC
@ATTRIBUTE C1QBP NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE SLC25A13 NUMERIC

@DATA
Control,60.41,3239.87,672.27,299.976,333.662,151.231,33.506,1391.79,4666.96,2084.44,2115.66,958.726,56.305,9206.24,15.562,462.038,2084.44,94.831,87.281,470.454,1005.68,40.149,1419.42,70.325,891.208,807.358,93.924,410.879,28.491,571.846,12027.2,410.879,305.074,1391.79,250.015,182.866,114.37,299.976,13147.5,18.89,14.866,14.537,465.411,1825.78,13.294,657.843,2347.24,2115.66,4326.14,470.454,429.164,620.513,662.003,2339.48,470.454,18.519,1955.11,3157.59,4924.23,606.061,90.271,12027.2,3239.87,226.256,13147.5,641.023,1964.11,293.316,6.16,2347.24,2084.44,1054.34,4981.43,662.003,294.535,78.958,180.697,373.847,1299.45,481.714,365.875,4203.44,1203.73,365.875,509.619,1825.78,3239.87,84.213,1901.5,578.082,507.249,1695.61,81.094,3852.12,182.866,763.574,1460.54,507.249,757.1,71.646,807.358,636.718,509.619,18.622,773.291,2339.48,1901.5,179.7,1025.5,981.328,131.8,27.366,9206.24,1740.79,27.092,606.061,1057.85,353.697,2595.78,27.092,2441.42,120.574,8.901,255.443,27.366,1141.86,1324.18,18.519,142.434,353.697,22.768,139.773,1112.17,429.164,792.24
Control,46.999,3344.09,665.223,308.219,272.132,194.131,19.101,1438.03,4587.05,2051.73,2019.51,975.751,56.86,9858.76,17.158,507.115,2051.73,97.331,90.872,328.69,826.125,49.268,1281.96,66.21,937.194,767.047,90.249,368.78,35.116,620.034,12890.6,368.78,328.908,1438.03,274.964,220.896,98.462,332.128,14249.8,18.559,8.882,2.712,328.908,1763.79,18.808,737.231,2169.47,2019.51,5207.97,507.115,471.411,618.937,597.161,2063.57,328.69,18.21,1985.52,3192.1,4797.19,499.08,56.892,12890.6,3344.09,148.826,14249.8,495.616,1860.95,335.243,7.699,2169.47,2051.73,1309.25,4894.44,597.161,304.244,68.086,175.725,270.569,1471.31,486.668,401.871,3821.25,1131.44,401.871,483.06,1763.79,3344.09,66.21,1805.43,666.685,407.587,1860.95,131.667,4160.83,220.896,712.689,1645.71,407.587,734.538,60.507,767.047,657.532,483.06,4.264,862.592,2063.57,1805.43,175.788,1286.66,976.166,155.915,19.636,9858.76,1574.09,10.623,499.08,1202.84,346.956,2328.8,8.899,2685.11,100.711,3.578,221.567,19.636,1137.75,1306.84,18.21,180.189,346.956,13.194,163.024,1131.52,471.411,712.689
Control,45.265,3070.53,934.397,274.044,295.065,60.711,9.413,876.944,5509.42,2565.71,2707.54,920.142,19.096,8301.88,21.863,664.173,2565.71,100.112,28.419,433.957,1058.51,83.346,1136.01,60.711,1024.64,792.623,60.711,292.046,38.665,696.428,10764.1,292.046,310.627,1097.96,272.786,259.572,154.591,292.604,10362.7,18.16,10.679,5.194,310.627,2088.9,5.699,821.774,2878.61,2707.54,4038.32,664.173,401.618,380.969,647.95,2235.85,417.534,22.235,2159.16,3656.5,5045.77,528.625,86.648,10764.1,3487.71,216.746,10362.7,497.243,2043.48,285.929,9.761,2878.61,2565.71,1747.73,5098.97,647.95,433.957,65.865,171.726,366.646,1574.4,612.639,386.082,3087.82,672.893,386.082,557.624,2088.9,3070.53,81.705,1957.64,614.186,488.065,2043.48,98.02,3103.64,259.572,707.353,622.124,488.065,875.024,73.493,792.623,501.871,557.624,19.601,677.766,2235.85,1957.64,260.526,1510.02,1413.54,77.025,22.235,8301.88,1699.47,15.262,528.625,941.123,397.091,3038.93,4.488,2872.32,62.151,2.595,266.493,22.235,1254.6,1097.96,19.534,175.245,397.091,9.843,162.426,1168.68,401.618,707.353
Infected,127.784,3772.11,806.741,274.095,236.564,195.84,49.566,359.976,4550.61,1567.65,1688.29,850.288,41.777,8420.82,22.093,533.777,1453.47,77.109,63.431,322.551,746.667,63.659,1782.41,72.487,1189.7,755.55,108.511,177.349,14.17,502.106,12499.2,27.881,248.852,929.59,957.024,231.295,117.676,358.702,14698.9,28.031,11.684,9.688,259.153,1492.44,52.795,850.274,1887.7,1688.29,5283.63,533.777,291.899,822.512,655.593,1977.7,328.41,20.075,2351.85,2232.01,4225.37,408.815,56.733,12499.2,3772.11,194.792,14698.9,818.504,1843.13,134.62,7.648,1887.7,1567.65,1429.83,5405.25,655.593,300.584,70.316,177.349,359.092,1636.88,478.57,516.816,4015.71,1017.78,516.816,599.111,1492.44,3772.11,81.146,2056.13,777.956,402.84,1843.13,200.01,4083.66,231.295,698.568,1742.55,402.84,750.083,55.79,755.55,818.233,599.111,2.05,818.504,1977.7,2056.13,149.809,1567.65,598.85,112.299,32.79,8420.82,1345.09,15.18,408.815,822.512,471.606,2073.28,11.382,702.666,151.563,2.229,341.748,32.79,878.408,929.59,25.573,199.337,471.606,9.1,190.276,1609.91,291.899,698.568
Infected,113.068,3215.18,832.949,251.355,139.282,157.312,44.579,397.789,4795.57,1780.21,2018.89,953.319,33.584,8266.45,27.226,502.781,1780.21,79.859,53.685,374.656,911.643,45.979,1571.53,102.935,1040.36,550.915,131.743,168.473,35.529,528.506,10888.1,23.732,304.692,915.041,982.864,218.598,156.632,346.447,11035.1,17.788,20.761,2.97,304.692,1569.29,43.598,888.705,2555.32,2018.89,4587.4,502.781,318.147,699.586,717.813,2558.6,372.507,21.76,2504.58,2505.56,3674.84,417.067,87.375,10888.1,3215.18,203.44,11035.1,689.364,1432.54,138.199,15.332,2555.32,1780.21,1469.52,5172.33,717.813,374.656,84.518,168.473,445.007,1769.33,574.579,526.452,3235.33,835.207,526.452,723.335,1569.29,3215.18,102.935,1968.64,778.375,413.413,1432.54,130.721,4049.43,218.598,693.198,1599.07,413.413,635.943,69.662,550.915,712.495,723.335,41.207,689.364,2558.6,1968.64,144.185,1454.84,769.359,126.631,21.76,8266.45,1122.94,24.517,417.067,699.586,498.963,2054.62,24.517,931.764,141.398,23.732,484.545,21.76,842.719,915.041,25.769,185.24,498.963,20.219,163.381,1628.33,318.147,693.198
Infected,97.704,3178.38,832.587,374.675,196.537,211.729,31.575,460.877,4455.89,1580.6,1703.29,978.131,24.741,8491.13,17.684,563.228,1482.59,93.999,61.759,338.932,1092.54,58.694,1605.86,61.89,1044.52,649.698,135.527,229.344,55.863,546.592,11526.7,24.703,324.39,864.03,813.167,231.862,143.487,374.675,11593.5,14.566,10.565,11.464,324.39,1471.97,19.71,876.237,2427.83,1703.29,5065.5,563.228,276.057,673.057,747.872,2184.19,391.378,38.386,2343.06,2282.04,3509.17,363.536,102.293,11526.7,3178.38,166.818,11593.5,670.184,1482.43,156.957,7.778,2427.83,1482.59,1543.63,4872.81,747.872,338.932,65.869,229.344,364.068,1792.32,550.596,484.573,3162.67,976.4,484.573,665.686,1471.97,3178.38,82.806,2089.56,796.311,424.767,1482.43,147.407,4052,231.862,588.251,1738.59,424.767,775.761,51.686,649.698,702.195,665.686,15.702,670.184,2184.19,2089.56,126.564,1413.93,632.864,117.734,9.899,8491.13,1227.78,24.319,363.536,740.853,491.408,2032.91,24.319,931.378,125.617,3.887,411.226,9.899,788.095,864.03,38.386,209.283,491.408,14.172,130.935,1382.29,276.057,588.251
Control,550.1965,550.2475,550.2005,550.4555,550.8035,550.2005,550.4915,550.5775,549.6255,550.5185,550.1385,550.6755,550.5215,549.9015,550.6505,550.7485,550.5395,550.6075,551.1755,550.3885,550.4115,550.3335,550.2795,549.3005,550.1135,550.6245,550.2055,550.6045,550.7155,550.3165,550.4815,550.4745,550.5065,550.5515,550.2005,551.4015,550.3795,550.4815,550.3105,551.3075,549.9585,550.4775,550.4095,550.6245,550.3655,550.4265,550.4595,550.8175,549.9295,550.3195,550.3645,550.2005,550.5055,550.3785,550.9635,550.6315,550.4915,550.4145,550.4555,550.2915,549.7535,550.4685,550.3195,550.3265,550.3845,550.5435,550.2665,550.8705,550.6605,550.6965,550.1385,550.4035,550.2955,550.0495,550.1795,550.0495,549.9085,550.3225,550.4765,550.4235,550.5645,550.5665,550.0435,550.4825,550.5105,550.5665,550.5315,550.5305,549.7535,550.2955,550.3885,550.4545,550.7005,550.2375,550.4805,550.8115,550.4545,550.5055,551.6385,550.5735,550.1695,550.4555,550.6975,549.8055,550.5315,550.4915,550.4765,550.0765,550.4765,550.5585,550.0485,550.9795,550.4455,550.5475,550.9655,549.9085,550.5645,550.5055,550.2695,550.6965,550.3805,550.2915,550.4885,550.3325,549.3005,550.5075,550.5855,550.2455,550.6215,550.2055,550.9995,550.5145,550.7165,550.5385,550.2385
Control,550.1475,550.2895,550.1395,550.4575,550.7715,550.1395,550.5515,550.5775,549.5745,550.4995,549.8375,550.7835,550.5385,549.9195,550.5045,550.7925,550.5785,550.5435,551.3155,550.4275,550.3615,550.3285,550.2115,549.2505,550.1885,550.4645,550.2385,550.4155,550.6125,550.2955,550.4545,550.4995,550.5615,550.5745,550.1395,551.2795,550.3555,550.4855,550.2955,551.1165,550.0145,550.3945,550.3565,550.3895,550.2925,550.4655,550.5275,550.8435,549.9355,550.4255,550.7115,550.1395,550.5495,550.3315,550.1775,550.5715,550.5515,550.4195,550.4955,550.3315,549.7655,550.5075,550.3675,550.0385,550.3555,550.6615,550.2555,550.7485,550.5915,550.6955,549.8375,550.3425,550.3425,550.0775,550.1695,550.0275,549.9055,550.3265,550.4525,550.4225,550.5315,550.5375,549.9775,550.4255,550.4105,550.5375,550.5695,550.5355,549.7655,550.3425,550.4275,550.4095,550.6815,550.2165,550.4715,550.7705,550.4095,550.4745,550.8565,550.6715,550.1205,550.4955,550.6795,549.3675,550.6955,550.5545,550.4525,550.0745,550.4575,550.5775,550.1265,551.0845,550.3075,550.6075,550.6615,549.9055,550.5315,550.4745,550.2765,550.6955,550.2705,550.3315,550.4685,550.3415,549.2505,550.4665,550.5045,550.2215,550.6035,550.2395,550.8925,550.4905,550.7035,550.5315,550.2295
Control,550.1835,550.2625,550.1515,550.4835,550.8325,550.1515,550.5565,550.5575,549.6405,550.4765,549.9655,550.7885,550.5445,549.9765,550.6255,550.6455,550.4675,550.6415,551.0035,550.3095,550.3565,550.3015,550.2505,549.2355,550.1745,550.6145,550.2785,550.4175,550.7005,550.3555,550.4055,550.5225,550.5065,550.5925,550.1515,551.1485,550.4215,550.4205,550.5225,551.3845,550.0665,550.4905,550.4065,550.3915,550.3115,550.4345,550.4495,550.8715,550.0465,550.3265,550.6145,550.1515,550.5335,550.3655,550.5085,550.6425,550.5565,550.3635,550.4475,550.2965,549.8125,550.3835,550.2815,550.1955,550.3105,550.4745,550.2365,550.7715,550.7415,550.5865,549.9655,550.0765,550.2945,550.0205,550.1455,550.0425,550.0715,550.3235,550.4625,550.5265,550.5035,550.5335,550.0255,550.4155,550.3865,550.5335,550.4675,550.4505,549.8125,550.2945,550.3095,550.5015,550.7095,550.2575,550.4475,550.6785,550.5015,550.4575,550.4665,550.5775,550.1965,550.4475,550.9185,550.0475,550.6625,550.5525,550.4625,549.9545,550.4015,550.4765,550.1405,551.2655,550.5565,550.5695,550.5125,550.0715,550.5035,550.4575,550.2135,550.6965,550.3905,550.2965,550.4745,550.2475,549.2355,550.5585,550.6555,550.2445,550.6805,550.3055,550.6355,550.4865,550.8885,550.5035,550.2395
Control,550.3585,550.3985,550.1855,550.4855,550.8525,550.1855,550.5205,550.7075,549.8295,550.4445,549.8475,550.9445,550.4895,550.0045,550.4475,550.7045,550.5315,550.6665,551.1075,550.4765,550.4465,550.4275,550.4085,549.3855,550.1485,550.6455,550.2935,549.9095,550.7915,550.4685,550.2715,550.5325,550.6615,550.5515,550.1855,551.0885,550.5165,550.6365,550.4925,551.3455,549.7145,550.4375,550.4825,550.0965,550.5225,550.4295,550.6125,550.7415,549.6415,550.4675,550.5165,550.1855,550.5495,550.4545,549.9445,550.5305,550.5205,549.9775,550.5225,550.4625,549.8515,550.5635,550.4395,549.9925,550.5395,550.6805,550.4485,550.7295,550.8995,550.5405,549.8475,550.6535,550.5575,550.1865,550.2755,550.2335,550.1965,550.4195,550.6745,550.4695,550.5805,550.5555,550.0095,550.5305,550.5455,550.5555,550.5315,550.6585,549.8515,550.5575,550.4765,550.3525,550.8985,550.1215,550.5315,550.5715,550.3525,550.2775,550.2715,550.8505,550.1855,550.5225,550.4025,549.7795,550.5945,550.5045,550.6745,550.1755,550.6285,550.6485,550.1225,550.9945,550.4685,550.6005,551.4205,550.2265,550.6675,550.6775,550.3735,550.5945,550.3285,550.4295,550.5765,550.4625,549.3855,550.5875,550.4735,550.5065,550.5405,550.4065,550.9515,550.5115,550.4015,550.6675,550.2775
