% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3660,GDS1450,GDS1209}
@ATTRIBUTE SIP1 NUMERIC
@ATTRIBUTE ESM1 NUMERIC
@ATTRIBUTE PEX13 NUMERIC
@ATTRIBUTE CRK NUMERIC
@ATTRIBUTE TAF7 NUMERIC
@ATTRIBUTE ABI2 NUMERIC
@ATTRIBUTE E2F3 NUMERIC
@ATTRIBUTE CLPX NUMERIC
@ATTRIBUTE NOP56 NUMERIC
@ATTRIBUTE ARF4 NUMERIC
@ATTRIBUTE ATRX NUMERIC
@ATTRIBUTE EID1 NUMERIC
@ATTRIBUTE NSL1 NUMERIC
@ATTRIBUTE GGPS1 NUMERIC
@ATTRIBUTE ABI1 NUMERIC
@ATTRIBUTE DAG1 NUMERIC

@DATA
Control,9.165,3.088,8.288,12.097,9.85,11.472,11.472,6.792,10.36,8.908,9.882,11.938,11.472,9.638,11.394,12.271
Control,10.009,3.035,8.913,11.566,8.995,11.376,11.376,6.84,10.367,9.126,10.92,11.208,11.376,9.145,11.502,12.095
Control,10.047,3.067,8.538,11.617,8.996,11.502,11.502,6.415,10.142,8.72,10.348,11.608,11.502,9.041,11.485,12.116
Control,9.731,3.067,8.791,11.532,9.064,11.239,11.239,7.003,10.121,8.791,11.105,11.443,11.239,9.336,11.338,12.101
Control,10.204,3.076,8.816,11.535,8.83,11.364,11.364,7.238,10.688,8.739,10.688,11.831,11.364,9.034,11.513,12.251
Control,9.871,3.075,9.074,11.623,8.938,11.417,11.417,7.23,10.578,9.074,11.066,11.551,11.417,9.278,11.542,12.07
Control,12.105,3.464,9.006,12.854,9.566,10.448,10.448,5.133,9.633,9.167,10.368,12.205,10.739,9.663,11.013,12.89
Control,12.108,3.408,9.32,12.862,9.707,10.11,10.11,5.335,9.786,9.324,10.433,12.72,10.851,9.334,11.032,12.985
Control,12.16,3.467,8.927,12.607,9.478,10.081,10.081,5.287,9.925,9.493,10.356,12.527,10.495,9.63,11.019,12.849
Control,11.699,3.419,9.297,13.06,10.009,10.637,10.637,5.59,10.083,10.265,12.691,13.437,10.715,9.416,11.141,13.559
Control,11.606,3.431,8.191,13.082,9.471,10.88,10.88,4.749,10.143,10.265,11.696,13.646,10.88,9.792,11.237,13.45
Control,11.491,3.402,6.73,13.445,9.725,11.152,11.152,4.722,10.611,10.436,12.641,13.954,11.152,10.079,11.93,13.97
GDS3660,10.31,3.074,8.846,11.413,9.057,11.208,11.208,6.423,10.15,8.846,10.72,11.893,11.208,9.188,11.229,11.97
GDS3660,10.468,3.168,7.905,10.264,8.712,10.333,10.333,5.189,10.158,8.234,10.2,10.993,10.468,8.06,10.539,12.034
GDS3660,10.214,3.154,8.823,11.548,8.813,11.272,11.272,4.805,10.485,9.338,10.851,12.463,11.272,9.342,11.304,12.333
GDS3660,10.275,3.19,8.685,11.524,8.92,11.147,11.147,5.659,10.092,9.27,10.58,12.226,11.147,9.015,11.078,12.153
GDS3660,10.053,3.173,8.726,11.658,8.728,11.365,11.365,5.808,10.585,9.115,10.952,12.661,11.365,8.943,11.699,12.433
GDS3660,9.829,3.121,8.672,11.554,8.653,11.308,11.308,6.281,10.045,8.992,10.587,12.276,11.308,9.296,11.615,12.219
GDS3660,12.404,3.355,9.3,12.954,9.934,10.367,10.367,4.689,9.439,9.593,10.526,12.666,10.981,9.713,11.668,13.271
GDS3660,11.926,3.438,8.934,12.589,9.63,10.107,10.107,5.897,9.845,9.468,10.325,12.181,10.686,9.211,10.699,12.834
GDS3660,12.13,3.455,9.198,12.706,9.576,10.206,10.206,4.779,9.769,9.44,11.633,12.803,10.643,9.995,11.49,13.079
GDS3660,11.26,3.404,9.635,13.397,9.53,11.189,11.189,4.809,10.53,10.057,11.486,13.644,11.189,9.985,11.636,13.599
GDS3660,11.534,3.494,7.747,12.825,9.45,10.367,10.367,4.711,10.221,10.228,11.779,13.819,10.685,9.283,10.227,13.475
GDS3660,11.434,3.396,9.406,13.078,9.359,10.962,10.962,5.847,10.622,10.301,11.611,13.605,10.962,9.462,11.279,13.549
Control,118.5675,333.7675,449.8325,333.7675,653.3675,457.1325,15.2674999999999,753.6675,415.7325,432.2325,245.7675,587.7675,1956.5675,178.8325,622.6675,118.5675
Control,506.2675,603.7675,430.8325,603.7675,986.4675,509.0325,190.5325,680.3675,436.4325,431.1325,532.8675,575.2675,1412.8675,41.2325000000001,794.1675,506.2675
GDS1450,214.9325,1693.5675,536.2325,1693.5675,453.1325,576.1325,756.6675,1398.8675,190.2325,503.2325,258.4325,129.5325,3796.5675,496.3325,209.9325,214.9325
GDS1450,159.0325,1294.0675,435.4325,1294.0675,457.2325,598.8325,227.9675,1890.2675,280.9325,521.1325,201.5325,14.4675,2728.7675,511.7325,6.26749999999993,159.0325
Control,160.0325,830.6325,447.9325,1863.7675,165.5325,156.1325,500.4325,637.1325,165.5325,237.2675,501.3675,383.6325,461.5325,1863.7675,501.3675,160.0325
Control,270.2325,676.9325,4.36749999999995,2591.1675,250.8325,209.2675,440.9325,440.9325,31.0675,373.1675,754.7675,352.4325,492.1325,2591.1675,754.7675,270.2325
Control,57.8674999999999,729.5325,158.3325,2815.2675,311.5325,218.4325,99.1325000000001,99.1325000000001,311.5325,1277.7675,463.7675,57.8674999999999,658.3325,2815.2675,463.7675,356.4325
