% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3309,GDS3257,GDS3101,GDS3054,GDS2966,GDS2491,GDS2490,GDS2489,GDS1312}
@ATTRIBUTE TFAP2A NUMERIC
@ATTRIBUTE MKI67 NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE SFTPB NUMERIC
@ATTRIBUTE HIST2H4B NUMERIC
@ATTRIBUTE TIMP3 NUMERIC
@ATTRIBUTE TRAPPC10 NUMERIC
@ATTRIBUTE TNFRSF25 NUMERIC

@DATA
Control,261.041,682.792,299.673,344.882,744.551,299.673,744.551,682.792
Control,209.178,616.543,217.887,241.452,717.377,217.887,717.377,616.543
Control,125.596,742.72,125.596,300.616,742.72,125.596,623.458,742.72
Control,141.824,921.654,162.179,392.938,921.654,162.179,842.257,921.654
Control,292.665,612.573,188.533,419.034,832.487,292.665,832.487,612.573
Control,292.904,567.449,292.904,234.317,567.449,292.904,438.218,567.449
Control,408.7,860.447,260.741,93.226,860.447,408.7,395.804,860.447
Control,285.427,657.749,285.427,182.896,657.749,235.006,263.843,657.749
GDS3309,455.956,910.091,455.956,276.262,910.091,455.956,608.123,910.091
GDS3309,292.176,781.585,292.176,288.221,781.585,292.176,779.696,781.585
GDS3309,268.324,808.007,296.375,217.192,808.007,296.375,684.3,808.007
GDS3309,204.281,805.733,204.281,227.523,805.733,204.281,741.35,805.733
GDS3309,356.498,449.311,372.528,232.551,449.311,372.528,307.119,449.311
GDS3309,634.362,1143.28,455.021,170.629,1143.28,634.362,428.909,1143.28
GDS3309,430.082,483.696,462.454,302.212,513.426,462.454,513.426,483.696
Control,431.169,433.121,430.121,435.215,430.121,430.121,435.537,433.121
Control,431.494,432.968,430.511,435.386,430.511,430.511,435.496,432.968
Control,431.166,432.99,430.633,435.551,430.633,430.633,435.278,432.99
Control,431.618,432.148,431.455,435.824,431.455,431.455,435.47,432.148
Control,430.784,432.501,430.33,435.421,430.33,430.33,435.558,432.501
Control,431.446,432.986,430.333,435.319,430.333,430.333,435.445,432.986
Control,431.503,433.421,430.318,435.692,430.318,430.318,435.416,433.421
Control,432.06,432.922,430.525,435.407,430.525,430.525,435.457,432.922
Control,430.998,433.086,430.111,435.041,430.111,430.111,435.572,433.086
Control,431.718,432.913,431.018,435.697,431.018,431.018,434.803,432.913
Control,430.932,432.488,430.066,435.541,430.066,430.066,435.564,432.488
Control,431.848,434.307,430.033,435.174,430.033,430.033,435.182,434.307
Control,432.731,433.028,430.536,434.764,430.536,430.536,435.515,433.028
