% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE MMP11 NUMERIC
@ATTRIBUTE MYO10 NUMERIC
@ATTRIBUTE RHEB NUMERIC
@ATTRIBUTE OBSL1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE MLLT4 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE N4BP2L1 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE FLT1 NUMERIC
@ATTRIBUTE RPS14 NUMERIC
@ATTRIBUTE WWC1 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE GSN NUMERIC
@ATTRIBUTE HIST1H2BC NUMERIC
@ATTRIBUTE SIPA1L3 NUMERIC
@ATTRIBUTE DCAF7 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE MEG3 NUMERIC

@DATA
Control,17188.7,32014.7,52395.1,22467.7,55073,24110.2,55073,47912.1,129397,32014.7,41085.5,52395.1,41085.5,1986.19,129397,4206.55,129397,47912.1,150891,78101.6,17188.7
Control,17695.9,34564.1,61232.5,22477.1,53316.4,23788.6,53316.4,46289.7,128127,34564.1,41647.2,61232.5,41647.2,2540.45,128127,4930.43,128127,46289.7,159533,84868.7,17695.9
Control,6134.43,19571.4,40211.6,17883.5,56016.2,17883.5,56016.2,33453.5,114720,19571.4,29965.6,40211.6,29965.6,3200.82,114720,4724.77,114720,33453.5,182008,62027.9,15482.7
Control,6824.06,20886.2,34531.7,16429.2,66158.2,16429.2,66158.2,34465.9,135737,20886.2,30529.1,34531.7,30529.1,2402.54,135737,3620.77,135737,34465.9,183391,64617.9,14009.2
Control,12758.2,30295.2,66526.1,7117.88,60515.8,30295.2,60515.8,1566.9,133193,30295.2,5596.07,66526.1,7219.24,10755.1,133193,2865.56,133193,1401.5,187983,100617,19186.3
Control,12843.5,30374.8,69499.6,6923.79,54816.9,30374.8,54816.9,1473.56,130453,30374.8,4725.46,69499.6,7862.31,11379.9,130453,3096.98,130453,1543.25,187403,100413,15960.4
Infected,17784,29271.9,63616.3,13483.3,49550.8,29271.9,49550.8,23598.1,123481,29271.9,19963.5,63616.3,19963.5,2603.61,123481,3958.3,123481,23598.1,141362,90867.5,17784
Infected,18189.7,31740.1,69052,16831.6,45420.7,31740.1,45420.7,21144,117131,31740.1,20762.2,69052,20762.2,2090.64,117131,4297.73,117131,21144,139918,100427,18189.7
Infected,6580.36,20013.8,38341,14931,55216.1,14931,55216.1,35507.5,122239,20013.8,30347.6,38341,30347.6,2397.95,122239,3929.29,122239,35507.5,153733,61094,14179.1
Infected,6155.81,20087.9,34873.3,17090.7,50251.2,17090.7,50251.2,32725.9,116755,20087.9,25993,34873.3,25993,2334.51,116755,4532.76,116755,32725.9,150052,61440.8,14546.6
Infected,12472.2,37948.9,65628.3,6924.86,56967.6,37948.9,56967.6,2005.22,131314,37948.9,4168.35,65628.3,5920.58,13538.2,131314,3064.56,131314,2033.18,187919,100762,18962.4
Infected,12269.1,36707.1,64910,6454.22,58515.3,36707.1,58515.3,2220.3,135472,36707.1,3773.06,64910,6864.15,12168.1,135472,3712.36,135472,2220.3,217043,104906,18007
Control,34121.1565,33890.7745,34258.8995,34219.1985,33895.0505,34121.1565,33919.5425,29230.2275,34107.7045,34258.8995,34231.2705,34170.9175,34174.3145,34164.2765,34237.4445,34174.3145,34174.3145,34215.1375,34130.8565,33937.1585,34277.8905
Control,34157.9855,33956.3285,34267.4355,34227.8185,34017.5535,34157.9855,33960.4295,28979.4555,34053.8075,34267.4355,34164.2265,34161.9395,34161.9395,34199.9315,34231.7275,34161.9395,34161.9395,34200.8255,34148.4005,33952.6485,34278.8305
Control,34174.4305,33907.9925,34264.3525,34222.2805,34057.4655,34121.6435,33907.9925,28432.9605,34100.7335,34261.6485,34210.9415,34146.8325,34151.2765,34114.3375,34121.6435,34151.2765,34121.6435,34215.6355,33426.1705,33794.3815,34278.6955
Control,34141.4785,33980.3845,34258.7805,34225.3065,34006.4235,34141.4785,34009.6575,28465.4045,34051.9935,34258.7805,34188.8525,34160.4005,34160.4005,34197.0555,34233.0415,34160.4005,34160.4005,34217.3565,34153.5275,33856.9315,34275.0725
Control,34037.8355,33860.3925,34262.4035,34224.0175,34015.9765,34037.8355,33896.5775,28661.7125,33983.2255,34262.4035,34201.6155,34139.5195,34171.9835,34151.4085,34150.5445,34171.9835,34150.5445,34206.0175,34094.4345,33843.0625,34278.9345
Control,34114.6635,33863.5575,34266.7165,34241.5035,34049.5025,34087.0805,33863.5575,28249.4725,33954.9935,34266.7165,34170.1515,34158.9145,34185.5625,34135.5725,34087.0805,34185.5625,34087.0805,34194.0425,34000.7685,33679.9555,34278.3545
Control,34028.4525,33456.9225,34258.8255,34239.5415,34038.8525,34028.4525,33456.9225,27232.3125,33860.4515,34258.8255,34218.1615,34168.8215,34168.8215,34116.8275,34065.4665,34168.8215,34065.4665,34234.8695,33803.9905,33860.4515,34276.6595
