% Title: Huntington, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS1236,GDS2887,GDS3515,GDS717}
@ATTRIBUTE RALA NUMERIC
@ATTRIBUTE CBX5 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE SCT NUMERIC
@ATTRIBUTE GLG1 NUMERIC
@ATTRIBUTE NFIB NUMERIC
@ATTRIBUTE CDKN1A NUMERIC
@ATTRIBUTE GLUL NUMERIC
@ATTRIBUTE WT1 NUMERIC
@ATTRIBUTE MAPK8IP1 NUMERIC
@ATTRIBUTE SRPRB NUMERIC
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE IVD NUMERIC
@ATTRIBUTE IMMT NUMERIC
@ATTRIBUTE MAP3K8 NUMERIC
@ATTRIBUTE LMNB1 NUMERIC

@DATA
Control,93.8,630.4,502.2,882.8,502.2,2070.8,285.9,2318.1,502.2,998.3,2070.8,893.8,327.8,147.4,489.8,2318.1
Control,106.3,666.8,603.3,1000.7,603.3,2754.5,345.3,2565.1,603.3,1194,2754.5,1000.7,237.1,92.5,798.3,2565.1
Control,63.4,621.5,452.8,974.8,452.8,2266.8,370.1,2297.8,452.8,1267.2,2266.8,1008.1,470.8,118.7,725,2297.8
Control,90.8,515.4,610.6,836.8,610.6,2087.6,300,2695.7,610.6,1057.9,2087.6,836.8,347.6,148.5,689.8,2695.7
GDS1236,77.8,782.8,736.8,694.2,736.8,1459.4,241.5,2061.7,736.8,624.7,1459.4,694.2,408.2,204.8,1130,2061.7
GDS1236,85.2,757.4,670.7,798.2,670.7,1514.7,353.2,2402.9,670.7,665.2,1514.7,798.2,513.8,180.8,1277.9,2402.9
GDS1236,103.3,750.6,741.2,669.5,741.2,1613.8,209.7,2488.3,741.2,559.4,1613.8,669.5,423.3,218.7,1388.9,2488.3
GDS1236,111.6,741.2,844.3,785.8,844.3,1318.2,191.1,2793.8,844.3,739.3,1318.2,785.8,509.6,167.9,1464.7,2793.8
Control,719.9725,724.5805,720.1425,726.4455,724.4655,722.1755,724.4655,723.6635,723.3445,725.6775,719.9725,724.5105,720.1425,724.2635,720.1425,724.3495
Control,719.9765,724.9485,720.1365,726.3395,724.5035,721.9815,724.5035,723.8815,723.3765,726.0245,719.9765,724.6225,720.1365,724.1835,720.1365,724.6895
