% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS1313,GDS1810,GDS2316,GDS2361,GDS3251}
@ATTRIBUTE SSB NUMERIC

@DATA
Control,7.215
Control,6.927
GDS1313,7.068
GDS1313,6.656
Control,5.0245
Control,5.0445
Control,4.8855
Control,4.7035
Control,5.1275
Control,4.8075
GDS1810,4.7765
GDS1810,4.8855
GDS1810,5.0605
Control,7.0335
Control,6.6645
Control,7.0175
Control,6.9115
Control,6.6885
Control,6.9555
Control,5.8055
Control,6.9515
Control,7.0245
GDS2316,6.9245
GDS2316,6.9605
GDS2316,7.3065
GDS2316,6.9975
GDS2316,6.8375
GDS2316,7.1365
GDS2316,7.3025
GDS2316,7.1435
GDS2316,7.2965
GDS2316,6.4825
GDS2316,7.2585
GDS2316,7.4805
Control,23.8474999999999
Control,26.1525000000001
Control,9.85250000000008
Control,30.6525000000001
Control,73.7525000000001
GDS2361,96.5474999999999
GDS2361,38.8474999999999
GDS2361,56.8474999999999
GDS2361,24.9474999999999
GDS2361,81.0525000000001
Control,155.152
Control,104.384
Control,33.898
Control,59.7610000000001
Control,11.176
GDS3251,1532.396
GDS3251,1291.836
GDS3251,1091.356
GDS3251,197.864
GDS3251,25.1709999999999
