% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE BOP1 NUMERIC
@ATTRIBUTE MIA3 NUMERIC
@ATTRIBUTE RPS6KA2 NUMERIC
@ATTRIBUTE ITGB1 NUMERIC
@ATTRIBUTE CBX1 NUMERIC
@ATTRIBUTE FKBP5 NUMERIC
@ATTRIBUTE HLA-DOA NUMERIC
@ATTRIBUTE KCNC4 NUMERIC
@ATTRIBUTE SOX9 NUMERIC
@ATTRIBUTE MOBKL1B NUMERIC
@ATTRIBUTE TAGLN2 NUMERIC
@ATTRIBUTE KIAA0368 NUMERIC
@ATTRIBUTE PTK6 NUMERIC
@ATTRIBUTE ABAT NUMERIC
@ATTRIBUTE MMP16 NUMERIC
@ATTRIBUTE FSCN1 NUMERIC
@ATTRIBUTE RAB5B NUMERIC
@ATTRIBUTE SIRPA NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE OTUD4 NUMERIC
@ATTRIBUTE ZNF320 NUMERIC
@ATTRIBUTE MTR NUMERIC
@ATTRIBUTE DNAH14 NUMERIC
@ATTRIBUTE IL6ST NUMERIC
@ATTRIBUTE AHDC1 NUMERIC
@ATTRIBUTE PCDHGA12 NUMERIC
@ATTRIBUTE PTP4A1 NUMERIC

@DATA
Control,11.37,13.03,-0.2,14.05,13.03,8.09,6.42,7.19,5.12,1.38,11.37,1.8,11.08,-0.2,2.12,-0.2,5.41,10.15,0.8,11.89,6.19,3.96,4.38,5.88,-0.2,8.81,14.91
Control,11.51,13.21,2.88,13.94,13.21,7.94,6.56,7.4,5,3.1,11.51,1.3,10.92,0.3,0.3,0.3,5.58,9.78,0.3,12.05,5.97,4.75,4,7.19,0.3,8.59,14.85
Infected,11.1,12.96,3.1,14.48,12.96,7.63,7.49,7.69,4.85,0.1,11.1,2.42,10.65,0.1,0.1,0.1,5.26,9.42,1.68,12.27,6.3,5.59,5.68,7.68,3.42,8.99,14.48
Infected,10.96,13.27,0,14.52,13.27,7.54,7.61,7.67,4.75,0,10.96,3.7,10.73,0,2.32,0,6,9.1,0,12.07,6.52,5.61,4,7.8,0,9.09,14.29
Control,4.18,3.423,3.113,2.495,3.113,5.418,3.212,4.284,3.518,4.473,3.423,4.284,5.18,3.212,3.255,3.423,3.255,3.255,4.473,3.096,4.702,3.096,3.113,3.126,5.255,4.284,3.096
Control,4.162,3.153,2.899,2.337,2.899,5.396,3.049,4.355,3.339,4.365,3.153,4.355,5.418,3.049,2.964,3.153,2.964,2.964,4.304,2.822,4.495,2.833,2.899,2.862,5.109,4.355,2.833
Control,4.091,2.949,2.78,2.176,2.78,5.217,2.78,4.171,3.255,4.236,2.949,4.171,5.314,2.78,2.866,2.949,2.866,2.866,4.208,2.699,4.507,2.77,2.78,2.749,4.914,4.171,2.77
Control,4.418,3.423,3.304,3.14,3.304,5.274,3.344,3.968,3.589,4.45,3.423,3.968,5.074,3.344,3.349,3.423,3.349,3.349,4.495,3.381,4.826,3.334,3.304,3.329,4.855,3.968,3.334
Control,4.075,3.162,2.906,2.79,2.906,5.484,3.153,3.937,3.157,4.418,3.162,3.937,5.651,3.153,3.109,3.162,3.109,3.109,4.226,3.049,4.702,3.037,2.906,3.016,4.884,3.937,3.037
Control,3.922,3.135,2.949,2.808,2.949,5.418,3.058,3.847,3.208,4.294,3.135,3.847,5.53,3.058,3.109,3.135,3.109,3.109,4.226,2.984,4.601,2.972,2.949,3.012,4.601,3.847,2.972
Infected,4.226,3.113,3.012,2.304,2.88,5.162,2.844,4.638,3.391,4.869,3.113,5.255,5.162,2.844,2.854,3.113,2.854,2.854,4.651,2.822,4.638,2.884,3.012,2.866,4.638,5.255,2.884
Infected,3.968,2.68,2.709,2.12,2.495,5.314,2.509,4.855,3.245,4.676,2.68,5.255,5.418,2.509,2.61,2.68,2.61,2.61,4.495,2.524,4.565,2.538,2.709,2.544,4.565,5.274,2.538
Infected,4.199,2.941,2.818,2.224,2.699,5.255,2.719,4.601,3.222,4.811,2.941,5.314,4.945,2.719,2.746,2.941,2.746,2.746,4.589,2.693,4.626,2.629,2.818,2.638,4.626,5.314,2.629
Infected,4.008,3.087,2.996,2.49,2.797,5.44,2.844,3.876,3.109,4.826,3.087,3.876,5.092,2.844,2.739,3.087,2.739,2.739,4.783,2.96,4.811,2.756,2.996,2.79,4.811,3.876,2.756
Infected,3.818,2.686,2.635,2.142,2.442,5.577,2.504,3.929,2.815,4.742,2.686,3.929,5.651,2.504,2.448,2.686,2.448,2.448,4.553,2.36,4.826,2.316,2.635,2.47,4.826,3.929,2.316
Infected,3.777,2.68,2.442,2.07,2.375,5.294,2.304,4.626,2.512,4.541,2.68,4.314,5.577,2.304,2.36,2.68,2.36,2.36,4.553,2.556,4.797,3.14,2.442,2.381,4.797,4.626,3.906
Control,2472.805,1957.798,9051.275,9051.275,149.825,938.715,1057.445,1442.295,3730.055,149.825,2173.956,2472.805,1594.042,988.155,2472.805,831.935,2179.114,3730.055,2969.435,1280.055,988.155,405.285,1548.225,12095.175,938.955,1915.145,1750.279
Control,2196.075,2014.416,10323.175,10323.175,570.075,826.135,1227.154,1262.172,4069.535,570.075,2155.626,2196.075,1683.947,938.695,2196.075,806.375,2175.913,4069.535,2584.645,1539.735,938.695,166.825,1585.593,13924.975,565.365,1953.723,1698.779
Infected,695.695,2051.747,7407.215,7407.215,508.445,1107.905,1429.958,1656.831,3425.395,508.445,2163.062,695.695,1803.452,629.445,695.695,1203.235,2189.508,3425.395,4452.255,2260.295,629.445,940.685,1457.795,12065.375,1357.259,2014.98,1901.683
Infected,931.615,2033.411,8040.675,8040.675,136.745,1153.295,1477.502,1667.542,4022.915,136.745,2163.94,931.615,1835.238,931.615,827.945,921.935,2191.422,4022.915,4695.685,4022.915,931.615,972.715,1427.303,14128.775,1328.408,2058.888,1894.659
