Node: MMP16, Parent: HNF4A
Node: ITPR2, Parent: NR4A3
Node: TLL2, Parent: SNHG3
Node: SNHG3, Parent: SNTB1
Node: AVPR1B, Parent: FOLH1
Node: MFN1, Parent: MMP16
Node: MFN1, Parent: HNF4A
Node: TAF15, Parent: SNTB1
Node: TAF15, Parent: ICT1
Node: TAF15, Parent: TNFAIP6
Node: LPAL2, Parent: CDC25C
Node: LPAL2, Parent: MDM1
Node: LPAL2, Parent: PIN4
Node: LPAL2, Parent: TNFAIP6
Node: AKAP8, Parent: PON1
Node: UBA7, Parent: FOLH1
Node: UBA7, Parent: EIF1
Node: UBA7, Parent: NR4A2
Node: OSGEP, Parent: MFN1
Node: OSGEP, Parent: ADAM10
Node: ANKRD26, Parent: MSR1
Node: ANKRD26, Parent: P2RY2
Node: WSB2, Parent: HNF4A
Node: GSTTP1, Parent: ACTL6B
Node: GSTTP1, Parent: CLGN
Node: FABP7, Parent: HNF4A
Node: FABP7, Parent: C16orf7
Node: FABP7, Parent: ACTL6B
Node: SEC23IP, Parent: OSGEP
Node: SEC23IP, Parent: ADH6
Node: SEC23IP, Parent: PON1
Node: SEC23IP, Parent: SNTB1
Node: SEC23IP, Parent: SYP
Node: SEC23IP, Parent: TAF1
Node: SEC23IP, Parent: FLNB
Node: SEC23IP, Parent: EIF1
Node: SEC23IP, Parent: TBCD
Node: FOLH1, Parent: RIMS2
Node: HNF4A, Parent: FOLH1
Node: NRP2, Parent: CDC25C
Node: NRP2, Parent: XRCC4
Node: NRP2, Parent: IFI16
Node: NRP2, Parent: P2RY2
Node: NRP2, Parent: TNFSF8
Node: NRP2, Parent: NR4A2
Node: NRP2, Parent: NR4A3
Node: STAB1, Parent: MMP16
Node: STAB1, Parent: MAT2A
Node: STAB1, Parent: AQP7
Node: STAB1, Parent: SCAND2
Node: STAB1, Parent: SEC22B
Node: STAB1, Parent: CA2
Node: PGCP, Parent: ADH6
Node: PGCP, Parent: SEC63
Node: IKZF1, Parent: IL13
Node: IKZF1, Parent: GLDC
Node: IKZF1, Parent: PIN4
Node: IKZF1, Parent: AVL9
Node: IKZF1, Parent: WHSC2
Node: TGFB3, Parent: AXL
Node: TGFB3, Parent: ALOX5
Node: TGFB3, Parent: ADAM10
Node: TGFB3, Parent: ICOSLG
Node: TGFB3, Parent: TBCD
Node: TGFB3, Parent: CHD3
Node: TGFB3, Parent: TNFAIP6
Node: ADH6, Parent: FLNB
Node: ADH6, Parent: ITGB5
Node: FZD9, Parent: FOSL1
Node: FZD9, Parent: CRYZ
Node: FZD9, Parent: EIF1
Node: FZD9, Parent: AQP7
Node: FZD9, Parent: TNFRSF9
Node: FZD9, Parent: TNF
Node: PSMD11, Parent: HNF4A
Node: RBPMS, Parent: MAPK11
Node: RBPMS, Parent: MDM1
Node: RBPMS, Parent: SYT2
Node: RBPMS, Parent: PBXIP1
Node: RBPMS, Parent: ADAM10
Node: RBPMS, Parent: WHSC2
Node: DAP3, Parent: ELOVL6
Node: CSHL1, Parent: HNF4A
Node: IL13, Parent: SNHG3
Node: IL13, Parent: TAF15
Node: IL13, Parent: P2RY2
Node: IL13, Parent: PIN4
Node: IL13, Parent: AVL9
Node: PON1, Parent: PIN4
Node: CDC25C, Parent: CHD3
Node: SGCE, Parent: ELOVL6
Node: SGCE, Parent: SEC63
Node: SGCE, Parent: ADAM10
Node: SGCE, Parent: CA2
Node: SGCE, Parent: SLC4A7
Node: SGCE, Parent: NR4A3
Node: C16orf7, Parent: AVPR1B
Node: C16orf7, Parent: PON1
Node: C16orf7, Parent: RIMS2
Node: C16orf7, Parent: CRYZ
Node: C16orf7, Parent: AZIN1
Node: C16orf7, Parent: PIN4
Node: C16orf7, Parent: CHD3
Node: GLDC, Parent: AVL9
Node: GLDC, Parent: WHSC2
Node: GLDC, Parent: NR4A2
Node: ACTL6B, Parent: RHEB
Node: XRCC4, Parent: MSR1
Node: XRCC4, Parent: ALOX5
Node: XRCC4, Parent: TBCD
Node: XRCC4, Parent: NR4A3
Node: AXL, Parent: SNTB1
Node: AXL, Parent: ELOVL6
Node: AXL, Parent: AEBP1
Node: AXL, Parent: APC2
Node: AXL, Parent: PPIG
Node: AXL, Parent: CHD3
Node: MSR1, Parent: TLL2
Node: ELOVL6, Parent: RIMS2
Node: CYB5A, Parent: UBA7
Node: CYB5A, Parent: FOLH1
Node: CYB5A, Parent: AEBP1
Node: CYB5A, Parent: ALOX5
Node: CYB5A, Parent: PCSK2
Node: CYB5A, Parent: ICT1
Node: SYP, Parent: TAF1
Node: SEC63, Parent: SNHG3
Node: SEC63, Parent: MXD4
Node: SEC63, Parent: SETD1A
Node: FOSL1, Parent: SILV
Node: FOSL1, Parent: APC2
Node: FOSL1, Parent: ICT1
Node: FOSL1, Parent: CHD3
Node: RIMS2, Parent: SNTB1
Node: MAT2A, Parent: PBXIP1
Node: MAT2A, Parent: NR4A2
Node: MAT2A, Parent: TNFAIP6
Node: MAPK11, Parent: HNF4A
Node: MAPK11, Parent: CFLAR
Node: MAPK11, Parent: PIN4
Node: MAPK11, Parent: WHSC2
Node: TAF1, Parent: MMP16
Node: MDM1, Parent: AZIN1
Node: MDM1, Parent: AQP7
Node: MDM1, Parent: SILV
Node: MDM1, Parent: MICB
Node: FLNB, Parent: FOLH1
Node: FLNB, Parent: PSMD11
Node: FLNB, Parent: GALK1
Node: FLNB, Parent: ICOSLG
Node: IL4R, Parent: MMP16
Node: IL4R, Parent: AVPR1B
Node: IL4R, Parent: PSMD11
Node: IL4R, Parent: EIF1
Node: IL4R, Parent: P2RY2
Node: IL4R, Parent: TNFSF8
Node: PAK2, Parent: ANKRD26
Node: PAK2, Parent: ADH6
Node: PAK2, Parent: PON1
Node: PAK2, Parent: PIN4
Node: CRYZ, Parent: SILV
Node: CRYZ, Parent: SCAND2
Node: CRYZ, Parent: PIN4
Node: CRYZ, Parent: TNFRSF9
Node: CRYZ, Parent: NR4A2
Node: SYT2, Parent: AVPR1B
Node: SYT2, Parent: EIF1
Node: SYT2, Parent: ADAM10
Node: SYT2, Parent: WDR61
Node: EIF1, Parent: MFN1
Node: EIF1, Parent: GSTTP1
Node: EIF1, Parent: SEC63
Node: EIF1, Parent: APC2
Node: EIF1, Parent: TNFAIP6
Node: GALK1, Parent: NRP2
Node: GALK1, Parent: GLDC
Node: GALK1, Parent: MSR1
Node: GALK1, Parent: MAPK11
Node: GALK1, Parent: SH3GLB1
Node: GALK1, Parent: ICT1
Node: GALK1, Parent: SETD1A
Node: AZIN1, Parent: TLL2
Node: AZIN1, Parent: SILV
Node: AZIN1, Parent: TNFRSF9
Node: IFI16, Parent: ANKRD26
Node: IFI16, Parent: WSB2
Node: IFI16, Parent: TNFSF8
Node: IFI16, Parent: PIN4
Node: IFI16, Parent: AVL9
Node: IFI16, Parent: CA2
Node: IFI16, Parent: TNFRSF9
Node: AQP7, Parent: SNHG3
Node: AQP7, Parent: OSGEP
Node: CLGN, Parent: TLL2
Node: CLGN, Parent: ANKRD26
Node: CLGN, Parent: P2RY2
Node: CLGN, Parent: PIN4
Node: CLGN, Parent: TNFAIP6
Node: CLGN, Parent: RHEB
Node: SILV, Parent: FOLH1
Node: SILV, Parent: SEC22B
Node: SILV, Parent: PIN4
Node: SCAND2, Parent: HNF4A
Node: SCAND2, Parent: TGFB3
Node: SCAND2, Parent: PTGER3
Node: SCAND2, Parent: MYH3
Node: SCAND2, Parent: ICOSLG
Node: SCAND2, Parent: ITGB5
Node: SCAND2, Parent: TNFAIP6
Node: PTGER3, Parent: MMP16
Node: PTGER3, Parent: STAB1
Node: PTGER3, Parent: FZD9
Node: PTGER3, Parent: XRCC4
Node: PTGER3, Parent: NR4A2
Node: PTGER3, Parent: NR4A3
Node: MYH3, Parent: PSMD11
Node: MYH3, Parent: SYP
Node: P2RY2, Parent: PON1
Node: P2RY2, Parent: PIN4
Node: AEBP1, Parent: AVPR1B
Node: AEBP1, Parent: SEC63
Node: AEBP1, Parent: PBXIP1
Node: AEBP1, Parent: SEC22B
Node: AEBP1, Parent: ITGB5
Node: ALOX5, Parent: TLL2
Node: ALOX5, Parent: PIN4
Node: PBXIP1, Parent: MMP16
Node: PBXIP1, Parent: ITPR2
Node: PBXIP1, Parent: TAF15
Node: PBXIP1, Parent: NR4A3
Node: ADAM10, Parent: MMP16
Node: ADAM10, Parent: AVPR1B
Node: ADAM10, Parent: SILV
Node: ADAM10, Parent: APC2
Node: ICOSLG, Parent: TLL2
Node: ICOSLG, Parent: SNHG3
Node: ICOSLG, Parent: FZD9
Node: ICOSLG, Parent: RHEB
Node: SEC22B, Parent: MFN1
Node: SEC22B, Parent: IKZF1
Node: SEC22B, Parent: MXD4
Node: SEC22B, Parent: RHEB
Node: ACOT7, Parent: ITPR2
Node: ACOT7, Parent: SNHG3
Node: ACOT7, Parent: SEC23IP
Node: ACOT7, Parent: PON1
Node: ACOT7, Parent: PIN4
Node: ACOT7, Parent: TNFAIP6
Node: SH3GLB1, Parent: TAF15
Node: SH3GLB1, Parent: HNF4A
Node: SH3GLB1, Parent: MAPK11
Node: SH3GLB1, Parent: NR4A2
Node: ITGB5, Parent: SNHG3
Node: ITGB5, Parent: TAF15
Node: ITGB5, Parent: WHSC2
Node: TNFSF8, Parent: UBA7
Node: TNFSF8, Parent: WDR61
Node: TNFSF8, Parent: NR4A3
Node: WDR61, Parent: TLL2
Node: WDR61, Parent: AKAP8
Node: WDR61, Parent: ANKRD26
Node: WDR61, Parent: TAF1
Node: APC2, Parent: CSHL1
Node: APC2, Parent: PAK2
Node: APC2, Parent: CFLAR
Node: PPIG, Parent: MMP16
Node: PPIG, Parent: GSTTP1
Node: PPIG, Parent: SGCE
Node: PPIG, Parent: GLDC
Node: PPIG, Parent: FOSL1
Node: PPIG, Parent: RIMS2
Node: CFLAR, Parent: SNHG3
Node: CFLAR, Parent: AQP7
Node: PIN4, Parent: MMP16
Node: PIN4, Parent: FOLH1
Node: TBCD, Parent: DAP3
Node: TBCD, Parent: ACTL6B
Node: TBCD, Parent: IL4R
Node: TBCD, Parent: ICT1
Node: AVL9, Parent: RIMS2
Node: AVL9, Parent: TAF1
Node: AVL9, Parent: NR4A3
Node: WHSC2, Parent: MMP16
Node: WHSC2, Parent: SNHG3
Node: WHSC2, Parent: TAF15
Node: WHSC2, Parent: C16orf7
Node: WHSC2, Parent: CA2
Node: WHSC2, Parent: MXD4
Node: PCSK2, Parent: GSTTP1
Node: PCSK2, Parent: PAK2
Node: PCSK2, Parent: ICT1
Node: CA2, Parent: CSHL1
