"Source","Target","Bidirectional?","Type color","Data name (edge)","Concept","Ontology","Color","Data name (node)","Shared terms","Parent-child SNPs"
"Alcohol Dependence","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","n","#ff8888ff","Alcohol Dependence","Alcohol Dependence","N/A","#ff0000ff","Alcohol Dependence","",""
"Alcohol Dependence","BIOSYNTHETIC_PROCESS","n","#ff8888ff","Alcohol Dependence","NEGATIVE_REGULATION_OF_CELL_PROLIFERATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_RNA_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","BIOSYNTHETIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","BRAIN_DEVELOPMENT","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_RNA_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ORGANIC_ACID_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","BRAIN_DEVELOPMENT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","n","#ff8888ff","Alcohol Dependence","ORGANIC_ACID_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","n","#ff8888ff","Alcohol Dependence","CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT","n","#ff8888ff","Alcohol Dependence","CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","IMMUNE_RESPONSE","n","#ff8888ff","Alcohol Dependence","NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","n","#ff8888ff","Alcohol Dependence","IMMUNE_RESPONSE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","POSITIVE_REGULATION_OF_CELLULAR_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RESPONSE_TO_ENDOGENOUS_STIMULUS","n","#ff8888ff","Alcohol Dependence","AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_CELL_CYCLE","n","#ff8888ff","Alcohol Dependence","RESPONSE_TO_ENDOGENOUS_STIMULUS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","TRANSCRIPTION_DNA_DEPENDENT","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_CELL_CYCLE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","n","#ff8888ff","Alcohol Dependence","TRANSCRIPTION_DNA_DEPENDENT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","INTERPHASE","n","#ff8888ff","Alcohol Dependence","NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ACTIN_FILAMENT_BASED_PROCESS","n","#ff8888ff","Alcohol Dependence","INTERPHASE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELL_CYCLE_GO_0007049","n","#ff8888ff","Alcohol Dependence","ACTIN_FILAMENT_BASED_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","n","#ff8888ff","Alcohol Dependence","CELL_CYCLE_GO_0007049","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","TRANSCRIPTION","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RNA_BIOSYNTHETIC_PROCESS","n","#ff8888ff","Alcohol Dependence","TRANSCRIPTION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NEGATIVE_REGULATION_OF_CELLULAR_PROCESS","n","#ff8888ff","Alcohol Dependence","RNA_BIOSYNTHETIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","INTRACELLULAR_PROTEIN_TRANSPORT","n","#ff8888ff","Alcohol Dependence","NEGATIVE_REGULATION_OF_CELLULAR_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","INTERPHASE_OF_MITOTIC_CELL_CYCLE","n","#ff8888ff","Alcohol Dependence","INTRACELLULAR_PROTEIN_TRANSPORT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ESTABLISHMENT_OF_PROTEIN_LOCALIZATION","n","#ff8888ff","Alcohol Dependence","INTERPHASE_OF_MITOTIC_CELL_CYCLE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CHEMICAL_HOMEOSTASIS","n","#ff8888ff","Alcohol Dependence","ESTABLISHMENT_OF_PROTEIN_LOCALIZATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_DEVELOPMENTAL_PROCESS","n","#ff8888ff","Alcohol Dependence","CHEMICAL_HOMEOSTASIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_CELL_PROLIFERATION","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_DEVELOPMENTAL_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","PHOSPHORYLATION","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_CELL_PROLIFERATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT","n","#ff8888ff","Alcohol Dependence","PHOSPHORYLATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","MITOTIC_CELL_CYCLE","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_TRANSCRIPTIONDNA_DEPENDENT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ESTABLISHMENT_OF_CELLULAR_LOCALIZATION","n","#ff8888ff","Alcohol Dependence","MITOTIC_CELL_CYCLE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","ESTABLISHMENT_OF_CELLULAR_LOCALIZATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_GENE_EXPRESSION","n","#ff8888ff","Alcohol Dependence","NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_GENE_EXPRESSION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_COMPONENT_ASSEMBLY","n","#ff8888ff","Alcohol Dependence","NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_RESPONSE_TO_STIMULUS","n","#ff8888ff","Alcohol Dependence","CELLULAR_COMPONENT_ASSEMBLY","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH","n","#ff8888ff","Alcohol Dependence","CELLULAR_RESPONSE_TO_STIMULUS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NERVOUS_SYSTEM_DEVELOPMENT","n","#ff8888ff","Alcohol Dependence","NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","APOPTOSIS_GO","n","#ff8888ff","Alcohol Dependence","NERVOUS_SYSTEM_DEVELOPMENT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","PROTEIN_LOCALIZATION","n","#ff8888ff","Alcohol Dependence","APOPTOSIS_GO","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE","n","#ff8888ff","Alcohol Dependence","PROTEIN_LOCALIZATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ESTABLISHMENT_OF_LOCALIZATION","n","#ff8888ff","Alcohol Dependence","G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","MACROMOLECULAR_COMPLEX_ASSEMBLY","n","#ff8888ff","Alcohol Dependence","ESTABLISHMENT_OF_LOCALIZATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","BIOPOLYMER_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","MACROMOLECULAR_COMPLEX_ASSEMBLY","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELL_PROLIFERATION_GO_0008283","n","#ff8888ff","Alcohol Dependence","BIOPOLYMER_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_BIOSYNTHETIC_PROCESS","n","#ff8888ff","Alcohol Dependence","CELL_PROLIFERATION_GO_0008283","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","ANTI_APOPTOSIS","n","#ff8888ff","Alcohol Dependence","CELLULAR_BIOSYNTHETIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RESPONSE_TO_STRESS","n","#ff8888ff","Alcohol Dependence","ANTI_APOPTOSIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","BIOPOLYMER_MODIFICATION","n","#ff8888ff","Alcohol Dependence","RESPONSE_TO_STRESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_BIOLOGICAL_QUALITY","n","#ff8888ff","Alcohol Dependence","BIOPOLYMER_MODIFICATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CATABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_BIOLOGICAL_QUALITY","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","IMMUNE_SYSTEM_PROCESS","n","#ff8888ff","Alcohol Dependence","CATABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_CATABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","IMMUNE_SYSTEM_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","HOMEOSTATIC_PROCESS","n","#ff8888ff","Alcohol Dependence","CELLULAR_CATABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","SECRETION_BY_CELL","n","#ff8888ff","Alcohol Dependence","HOMEOSTATIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS","n","#ff8888ff","Alcohol Dependence","SECRETION_BY_CELL","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","PROTEIN_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","SECRETION","n","#ff8888ff","Alcohol Dependence","PROTEIN_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","MACROMOLECULE_LOCALIZATION","n","#ff8888ff","Alcohol Dependence","SECRETION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","PROTEIN_TRANSPORT","n","#ff8888ff","Alcohol Dependence","MACROMOLECULE_LOCALIZATION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NEGATIVE_REGULATION_OF_APOPTOSIS","n","#ff8888ff","Alcohol Dependence","PROTEIN_TRANSPORT","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELL_CYCLE_PROCESS","n","#ff8888ff","Alcohol Dependence","NEGATIVE_REGULATION_OF_APOPTOSIS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","NUCLEOTIDE_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","CELL_CYCLE_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","MACROMOLECULE_BIOSYNTHETIC_PROCESS","n","#ff8888ff","Alcohol Dependence","NUCLEOTIDE_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","REGULATION_OF_TRANSCRIPTION","n","#ff8888ff","Alcohol Dependence","MACROMOLECULE_BIOSYNTHETIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CELLULAR_MACROMOLECULE_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","REGULATION_OF_TRANSCRIPTION","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","RESPONSE_TO_NUTRIENT_LEVELS","n","#ff8888ff","Alcohol Dependence","CELLULAR_MACROMOLECULE_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","CARBOXYLIC_ACID_METABOLIC_PROCESS","n","#ff8888ff","Alcohol Dependence","RESPONSE_TO_NUTRIENT_LEVELS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
"Alcohol Dependence","INDUCTION_OF_APOPTOSIS_BY_INTRACELLULAR_SIGNALS","n","#ff8888ff","Alcohol Dependence","CARBOXYLIC_ACID_METABOLIC_PROCESS","GO (Biological Processes)","#ccffffff","Alcohol Dependence","",""
