Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
SEXUAL_REPRODUCTION	0.7344827586206898	0	JAG2,PRKAG1,PPAP2B		1	0.055898250679653254
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9954022988505747	0	BTG2,IL6,CUL2,FTH1		1	0.03816389728176905
ANATOMICAL_STRUCTURE_DEVELOPMENT	0.9597701149425287	0	MSX1,JAG2,RPL10A,NPTN,SLIT1,SFTPB,RTN1,PHGDH,SLIT3,SHC3,MAPT,TAGLN,LYN,BPNT1,IL18,ALAS2,MRPL40,EIF2B1,CYR61,KRT1		1	0.06643829150079658
NEURON_DEVELOPMENT	0.6126436781609196	0	MAPT,SLIT1		1	0.0586511057062846
BIOSYNTHETIC_PROCESS	0.9781609195402299	0	IL18,ALAS2,RPL6,PCYT2,IL6,EIF2B1,LCAT,GATM,MAGT1		1	0.03816389728176905
ORGAN_MORPHOGENESIS	0.5235632183908046	0	MSX1,IL18,SFTPB		1	0.10277370949539888
REGULATION_OF_CELL_GROWTH	0.6229885057471264	0	CDKN1A,ENO1		1	0.055898250679653254
REGULATION_OF_RNA_METABOLIC_PROCESS	0.843103448275862	0	RPL6,FOXK2,ENO1		1	0.03816389728176905
TRANSPORT	0.9235632183908047	0	BAT1,KCNK3,LCAT,CRYAB,LRPAP1,AGXT,TCN2,SLC28A2,YKT6,CLNS1A,SCG5		1	0.05146933766061709
BRAIN_DEVELOPMENT	0.9022988505747125	0	PHGDH,SLIT1		1	0.03816389728176905
IMMUNE_EFFECTOR_PROCESS	0.5839080459770115	0	RSAD2,KRT1		1	0.05916306298468098
SYSTEM_DEVELOPMENT	0.9390804597701149	0	MSX1,JAG2,SLIT1,NPTN,SFTPB,RTN1,PHGDH,SLIT3,SHC3,MAPT,TAGLN,LYN,BPNT1,IL18,ALAS2,EIF2B1,KRT1		1	0.0586511057062846
NEGATIVE_REGULATION_OF_GROWTH	0.6229885057471264	0	CDKN1A,ENO1		1	0.055898250679653254
ORGANIC_ACID_METABOLIC_PROCESS	0.8586206896551726	0	CROT,BCKDHB,SLC6A6,AGXT,GATM,DDAH1		1	0.045506128548940664
NEGATIVE_REGULATION_OF_TRANSCRIPTION	0.6821839080459771	0	PHB,ENO1		1	0.05146933766061709
REGULATION_OF_GROWTH	0.6229885057471264	0	CDKN1A,ENO1		1	0.055898250679653254
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.9942528735632183	0	ARPC4,CDC42BPA,RHOJ,MAPT,YKT6,RND3		1	0.03816389728176905
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.9477011494252874	0	SLIT1,PHGDH,SLIT3,EIF2B1,SHC3		1	0.03816389728176905
RESPONSE_TO_CHEMICAL_STIMULUS	0.7844827586206895	0	LYN,ENPP1,PTAFR,DUSP1,CXCL14,EIF2B1		1	0.05916306298468098
NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT	0.7793103448275862	0	BAT1,SLC28A2		1	0.03816389728176905
IMMUNE_RESPONSE	0.9896551724137932	0	IL18,RSAD2,PTAFR,FTH1,FCGR2B,KRT1,MADCAM1,IL6		1	0.03816389728176905
POSITIVE_REGULATION_OF_CELLULAR_PROCESS	0.9505747126436782	0	LYN,IL18,NPTN,IL6,ASNS,MAPT,PPM1A,CDKN1A,CUL2,PPP2R1A		1	0.04577523634639154
RESPONSE_TO_WOUNDING	0.628735632183908	0	PTAFR,KRT1		1	0.055898250679653254
MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	0.6344827586206896	0	CROT,AGXT		1	0.055898250679653254
AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS	0.8229885057471265	0	BCKDHB,SLC6A6,GATM,DDAH1		1	0.045506128548940664
LIPID_METABOLIC_PROCESS	0.6908045977011495	0	CROT,LCAT,PCYT2,APOBEC1		1	0.06643829150079658
REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.625287356321839	0	LYN,MAPT,IL6		1	0.06672604970602296
RESPONSE_TO_ENDOGENOUS_STIMULUS	0.7620689655172413	0	LYN,BTG2,EIF2B1		1	0.04577523634639154
REGULATION_OF_SIGNAL_TRANSDUCTION	0.6902298850574713	0	LYN,CDC42BPA,PPM1A		1	0.05916306298468098
