Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
KEGG_PURINE_METABOLISM	0.9804597701149425	0	POLR1B,ATIC,ENPP1,POLR3A,DCK,PRIM2,AMPD3		1	0.024616109988714288
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.5448275862068965	0	PRKCD,LYN,GRB2		1	0.0832389200729487
KEGG_ERBB_SIGNALING_PATHWAY	0.5718390804597702	0	GRB2,CDKN1A,SHC3		1	0.07389631458600392
KEGG_CALCIUM_SIGNALING_PATHWAY	0.7310344827586207	0	PTAFR,P2RX4,PTGER3,PHKG1		1	0.06017271330574605
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.5436781609195402	0	ACAT1,BCKDHB		1	0.06371228467667228
KEGG_GLUTATHIONE_METABOLISM	0.996551724137931	0	GSR,GSTA4,MGST2,GSTO1		1	0.02188098665663493
KEGG_LONG_TERM_DEPRESSION	0.8063218390804597	0	LYN,PPP2R1A		1	0.024616109988714288
KEGG_PROSTATE_CANCER	0.4540229885057471	0	GRB2,CDKN1A		1	0.8388784149095185
KEGG_GLIOMA	0.5718390804597702	0	GRB2,CDKN1A,SHC3		1	0.07389631458600392
KEGG_LEISHMANIA_INFECTION	0.6155172413793104	0	IFNGR1,C3		1	0.06017271330574605
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.0	0	PRKCD,ARPC4,LYN,PPAP2B,FCGR2B		1	0.02188098665663493
KEGG_RNA_DEGRADATION	0.6431034482758621	0	HSPA9,ENO1		1	0.051576611404925185
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.5775862068965518	0	MADCAM1,IL6		1	0.06017271330574605
KEGG_TIGHT_JUNCTION	0.8413793103448276	0	PRKCD,PPP2R1A,MYH2		1	0.024616109988714288
KEGG_HISTIDINE_METABOLISM	0.4844827586206897	0	HAL,MAOA		1	0.8199654813156142
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.9568965517241379	0	PGK1,ENO1		1	0.01719220380164173
KEGG_PYRIMIDINE_METABOLISM	0.921264367816092	0	DUT,DPYD,POLR1B,POLR3A,DCK,PRIM2		1	0.030086356652873028
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.7436781609195402	0	MAOA,GATM		1	0.0340978708732561
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.5718390804597702	0	PRKCD,GRB2,SHC3		1	0.07389631458600392
KEGG_AXON_GUIDANCE	0.5465517241379311	0	SLIT1,UNC5B,SLIT3		1	0.0832389200729487
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.0	0	GSTA4,MGST2,GSTO1		1	0.02188098665663493
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.9034482758620689	0	GATM,ALAS2,PHGDH,MAOA,AGXT		1	0.024616109988714288
KEGG_GLYCEROLIPID_METABOLISM	0.7287356321839081	0	AKR1B1,PPAP2B		1	0.03493899482269125
KEGG_PARKINSONS_DISEASE	0.6902298850574713	0	UQCRFS1,COX7B,PARK7,NDUFV3		1	0.06371228467667228
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.7580459770114942	0	ASNS,AGXT		1	0.03120066615853499
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.9919540229885058	0	ARPC4,TUBA1B		1	0.01719220380164173
KEGG_LYSOSOME	0.48678160919540236	0	LAMP2,LAPTM4A		1	0.0832389200729487
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.3931034482758621	0	LCAT,PCYT2,PPAP2B		1	0.8553121391316759
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.6155172413793104	0	IFNGR1,GRB2,SHC3		1	0.06595855112360625
KEGG_PROTEASOME	0.5770114942528736	0	PSMA5,PSMB8		1	0.06017271330574605
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.43160919540229886	0	IFNGR1,IL6,GRB2		1	0.8467783278243394
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.8442528735632184	0	IL33,IL18,POLR3A,IL6		1	0.03120066615853499
KEGG_SPHINGOLIPID_METABOLISM	0.7908045977011494	0	B4GALT6,PPAP2B		1	0.024616109988714288
KEGG_ECM_RECEPTOR_INTERACTION	0.5775862068965518	0	RELN,FN1		1	0.06017271330574605
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.7954022988505746	0	PRKAG1,ACSL6		1	0.024616109988714288
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.6833333333333332	0	MADCAM1,PECAM1		1	0.047408804422709006
KEGG_ALZHEIMERS_DISEASE	0.6752873563218391	0	MAPT,UQCRFS1,COX7B,NDUFV3		1	0.06371228467667228
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.6982758620689655	0	C3,FCGR2B		1	0.0470099322701141
KEGG_SPLICEOSOME	1.0	0	BAT1,DDX42		1	0.01719220380164173
