Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9356321839080459	0	NOX4,COL4A3,MFN2,NDN,SST,KLF4,SFTPD,PTHLH,CGRRF1,CDKN1C,BTG1,OPRM1,NOTCH2,ACVRL1,SPEG,ETS1,EIF2AK2,PLG,BTG2,KRT4,FABP3,PTEN,MXI1,GNRH1,CDKN2B,NF1,IL6,IGFBP6,CUL2,APC,BTG3,POU1F1,NPM1,CTBP1,PAWR,SSTR5,NUP62,CXCL1,MXD4,SSTR4,ING4,FTH1,FRK,BRCA2,HGS,SCG2,KLF10,MDM2,SSTR3,GLMN,NF2,NME1,FABP6,AIF1,SSTR2,IL1A,TGFB2,VHL,NME2,FABP7,ADRA1A,SSTR1,TNFRSF8,CGREF1,IL1B,ATPIF1,UMOD		1	0.149
BRAIN_DEVELOPMENT	0.9896551724137932	0	FOXG1,POU6F1,PHGDH,ALX1,SHH,NDUFS4,NNAT,UBE3A,SLIT1,PPT1,NF1,EGR2,ROBO2,CDK5R1,CNTN4		1	0.026
NEGATIVE_REGULATION_OF_GROWTH	0.7091954022988506	0	KLK8,APBB1,SMAD3,ACVR1B,CDKN1B,RB1,ING4,PPT1,APBB2,SMAD4,CDKN1A,PPP1R9B,PTCH1,DLC1,INHBA,TP53,ENO1,TGFB1		1	0.199
CELLULAR_CATION_HOMEOSTASIS	0.8965517241379312	0	PTPRC,CCL3,CACNA1A,XCL1,ATP1A4,CALCA,CCR2,AVPR1B,EDNRA,ATP7A,BDKRB1,ATP1A3,SOD1,CCR3,CASR,RGN,MT2A,CD24,ATP2C1,BDKRB2,BCL2,SLC40A1,KNG1,STC1,P2RY4,CXCL13,CHRNA7,GALR2,CCL2,CCL11,MCHR1,CALCB,CCR1,GLP1R,CD52,CP,AVPR1A,CD55,CCKBR,ATP1A1,FTH1,CCKAR,GNA15,CXCR4,CLCN3,ATP1A2,CCR5,THY1,APP,CACNA1C,OPRL1,ATP7B,TAC1,C3AR1,CCL5,PPT1,CALR,HFE,LCK,MYC,F2RL1,C5AR1,HPX		1	0.173
ION_HOMEOSTASIS	0.8954022988505747	0	P2RY2,PTPRC,CCL3,CACNA1A,XCL1,ATP1A4,CALCA,CCR2,AVPR1B,EDNRA,ATP7A,BDKRB1,ATP1A3,SOD1,BAX,CCR3,CASR,RGN,NPPB,MT2A,CD24,ATP2C1,SLC9A1,BDKRB2,BCL2,SLC40A1,KNG1,P2RY4,STC1,SLC4A1,NDUFS1,CXCL13,CHRNA7,GALR2,CCL2,GRK1,CCL11,MCHR1,CCR1,CALCB,GLP1R,CD52,CP,AVPR1A,BAK1,CD55,CCKBR,CHRNA1,ATP1A1,FTH1,CCKAR,GNA15,CXCR4,GLRA1,CLCN3,ATP1A2,CCR5,THY1,APP,CACNA1C,OPRL1,ATP7B,TAC1,C3AR1,CCL5,PPT1,CALR,HFE,RHAG,LCK,MYC,NPR1,F2RL1,C5AR1,HPX,BCL2L1		1	0.196
RESPONSE_TO_RADIATION	0.8103448275862069	0	COPS3,IL12B,SAG,SMC1A,RHO,GRM6,FEN1,POLD1,DYNLRB1,UNC119,REV1,GPX1,NF1,OPN1SW,ERCC8,BRCC3,GRK1,CCL11,IVL,PDC,MAPK8		1	0.138
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.9666666666666667	0	DYNC1I1,CCL3,ARPC4,ADRA2A,NEFL,KRT20,SOD1,KIF2C,NEXN,KRT19,ATP2C1,PAFAH1B1,FGD4,CRK,MARK1,APBA1,NF1,CDC42BPB,PLD2,ANK3,TTN,APC,MAPRE1,CDC42,ARHGAP10,WASL,RASA1,SNAP29,CDC42BPA,TMED10,FLNB,NF2,EVL,LIMK1,RHOJ,SMC3,PDPK1,PYY,DBN1,MYO9B,ANLN,PLA2G1B,MYH11,STX5,TUBGCP6,KIF11,PACSIN2,DMD,SMC1A,MYH10,MAPT,DLG1,RAC1,STMN1,BCAR1,NLGN1,DYNLL1,TUBG1,MYH6,SNAP23,TNNT2,MYO1E,ARF6,CXCL1,MYH7,CAPG,MRAS,ACTA1,OPA1,ROCK1,RHOA,EZR,PEX1,YKT6,ABI2,DES,RACGAP1,THY1,MYH9,APOE,MYL6B,RND3,GHSR,PAK1,SPTA1		1	0.104
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.9471264367816092	0	FOXG1,EIF2B5,POU3F3,HPCAL4,POU6F1,MOG,SHH,NDUFS4,NNAT,PSPN,SH3GL2,GSTP1,SLIT1,TAGLN3,ACCN1,PTEN,DCLK1,NF1,SH3GL1,CDK5R1,ALDH5A1,CNTN4,SNCA,PTS,PCP4,NCKAP1,PHGDH,CNTN6,ALX1,SLIT3,EIF2B1,SH3GL3,GRIK1,PTPRZ1,ADORA2A,UBE3A,PAX6,ARNT2,EIF2B2,BTD,ATN1,PPT1,EGR2,EIF2B4,NPTX1,ROBO2,MAL,SHC3,MBP,NEUROG3,UGT8,EIF2B3,ALDH3A2,S100B		1	0.121
TRANSLATIONAL_INITIATION	0.8183908045977011	0	HSPB1,EIF2B5,EIF3B,RPS3A,EIF2B2,EIF2B4,EIF3D,EIF2B1,EIF4H,EIF2AK3,EIF2B3,EIF2C1,EIF4A2,EIF5,PAIP1		1	0.099
IMMUNE_RESPONSE	0.9344827586206897	0	CCR2,IL1R2,OPRD1,VTN,CCL4,RGS1,LCP2,CX3CL1,IL18,IL15,DEFB1,OPRK1,CCL2,POU2F2,VIPR1,TRAF2,CCL20,RSAD2,CCR1,C1QBP,PTAFR,FCGRT,MS4A2,AQP9,DMBT1,CMKLR1,FTH1,IL2RA,CADM1,CD74,IGSF6,CCR5,CRHR1,FCGR2B,IFITM3,TGFB2,BST1,CD86,IL6ST,LY86,C5AR1,PTGER4,KRT1,TGFB1,PTPRC,IL10,MADCAM1,IL7,BNIP3L,APOA1,GBP2,SFTPD,IL12B,CD40LG,CTSC,CTSS,BCL2,DPP4,TCF12,CXCL13,BCAR1,ETS1,ST6GAL1,IL6,IRF8,APOA2,TNFSF13,CTLA4,TNFRSF4,CD28,HRH2,CEBPG,CXCR4,NCR1,APOA4,ZEB1,IL7R,CCBP2,CD79B,IL4,LAT,THY1,RAG1,MBL2,CCL5,TLR7,MR1,MBP,CEBPB,IL2,FYN		1	0.16
