Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
KEGG_VIBRIO_CHOLERAE_INFECTION	0.8505747126436781	0	SEC61A1,PDIA4,ARF1,SLC12A2,ATP6V0A1,PLCG1,TJP1,MUC2,ACTG1,ATP6V1F,ATP6V1G3,ATP6V1A,ACTB,PLCG2,ATP6V1C1,TJP2,GNAS,ATP6V1B2,ATP6V1D,PRKCB,SEC61B,PRKCA,KCNQ1,PRKACA,ATP6AP1,CFTR,PRKCG,PRKACB,ADCY3,ATP6V0C		1	0.134
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.4666666666666666	0	RASSF5,MAP2K1,MAPK3,EGFR,RXRG,HRAS,PLCG1,KRAS,BAD,MAP2K2,ARAF,PLCG2,PIK3R1,RXRA,AKT3,PIK3CB,GRB2,TP53,RAF1,RXRB,MAPK1,RARB,PIK3CD,PRKCB,PIK3R3,PRKCA,EGF,PIK3R2,RB1,ERBB2,AKT2,NRAS,CDK4,SOS1,PRKCG,CCND1,PDPK1,AKT1,TGFA		1	0.904
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.4735632183908046	0	MAPK3,CCL3,IRF3,IL12B,CTSK,CCL4,MAP3K8,MAP2K6,STAT1,CD14,MAPK10,RAC1,TLR4,PIK3R3,LBP,IFNA1,PIK3R2,IL6,NFKBIA,MAPK12,IFNAR1,MAP2K1,JUN,TBK1,IRF7,TNF,MAP2K2,PIK3R1,AKT3,PIK3CB,MAPK14,CD40,PIK3CD,MAPK1,IFNB1,MAPK9,SPP1,CD80,AKT2,NFKB1,CCL5,TLR7,CD86,FOS,AKT1,IL1B,CXCL10,MAPK8		1	0.92
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.539080459770115	0	MAP2K1,PRKCD,MAPK3,PLA2G2A,MS4A2,HRAS,PLCG1,PLA2G1B,KRAS,IL3,SYK,TNF,VAV2,PRKCE,PLA2G4A,MAP2K2,IL13,MAP2K6,LYN,PLCG2,PIK3R1,AKT3,PIK3CB,GRB2,IL4,MAPK14,LCP2,MAPK10,LAT,PLA2G2C,RAF1,RAC1,PIK3CD,MAPK1,IL5,PRKCB,PLA2G5,PIK3R3,PRKCA,MAPK9,PIK3R2,INPP5D,AKT2,NRAS,SOS1,PLA2G6,PDK1,FCER1A,AKT1,MAPK12,VAV1,FYN,MAPK8		1	0.804
KEGG_ERBB_SIGNALING_PATHWAY	0.4402298850574712	0	PAK2,EIF4EBP1,MAP2K1,MAPK3,GSK3B,EGFR,JUN,HRAS,PLCG1,HBEGF,KRAS,ERBB4,BAD,PTK2,STAT5B,AREG,PAK3,MAP2K2,ARAF,PLCG2,CAMK2D,PIK3R1,PIK3CB,AKT3,GRB2,ERBB3,STAT5A,MAPK10,RAF1,CAMK2A,MTOR,MAPK1,PIK3CD,CDKN1B,PRKCB,PIK3R3,PRKCA,CRK,EGF,SHC2,MAPK9,PIK3R2,ERBB2,AKT2,NRAS,SOS1,SRC,CAMK2B,PAK1,CDKN1A,PRKCG,RPS6KB1,NRG1,MYC,SHC3,AKT1,CAMK2G,TGFA,MAPK8,NRG2		1	0.971
KEGG_CALCIUM_SIGNALING_PATHWAY	0.5623709331774791	0	VDAC1,HTR7,P2RX2,PHKA1,ITPKA,CACNA1A,PLCG1,PLCB1,GNA11,ITPR1,CHRM2,AVPR1B,EDNRA,P2RX7,HTR6,CHRM1,ITPKB,LHCGR,BDKRB1,PTGER1,PLCG2,P2RX1,DRD5,CACNA1H,ATP2B1,PLCB2,SLC25A5,ITPR2,PLCD1,EDNRB,BDKRB2,HTR5A,CAMK2A,PRKCB,PRKCA,NOS2,SLC25A4,CACNA1G,PRKACA,HTR2A,GRPR,CHRNA7,CALM3,CHP,ADCY4,ADRA1D,GRM1,CAMK2B,GRIN1,TACR3,NOS3,PTK2B,HTR2B,TRHR,PRKACB,ADCY3,CAMK2G,AVPR1A,CHRM3,TACR2,ADRA1B,HRH2,MYLK2,PTAFR,PDGFRB,ATP2B3,SLC8A1,ATP2A3,CACNA1E,PPP3R1,EGFR,P2RX6,HTR2C,CCKBR,PTGFR,ERBB4,ADCY2,CALM1,PDE1B,ADRB3,GNA15,CCKAR,ATP2B2,CD38,TACR1,GRIN2A,ADCY8,ATP2A2,P2RX5,SLC8A2,CACNA1D,CAMK2D,CHRM5,RYR2,ERBB3,TRPC1,CALM2,ADORA2A,OXTR,GRM5,PPP3CA,GNAS,TNNC2,NOS1,PLN,TBXA2R,ATP2A1,CACNA1C,P2RX4,ITPR3,SLC8A3,CAMK4,ERBB2,PTGER3,ADRB1,ADORA2B,PHKG1,PLCB3,PPP3CB,ATP2B4,GRIN2C,PDGFRA,BST1,HRH1,ADRA1A,PLCD4,CACNA1B,PRKCG,PPP3R2,HTR4,P2RX3,GNAL,F2R,PHKG2,ADRB2,PLCB4,PDE1C,CACNA1S,GRIN2D		1	0.927
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.6413793103448274	0	ACAA2,BCAT2,HMGCS2,HIBADH,AUH,PCCA,IVD,ECHS1,HADH,BCKDHA,ALDH6A1,ACAT1,HADHB,HSD17B10,ALDH7A1,HMGCS1,ABAT,ACADSB,EHHADH,BCKDHB,HMGCL,ACADS,ACAT2,PCCB,BCAT1,ALDH2,ALDH3A2,ACADM,HADHA		1	0.406
KEGG_GLUTATHIONE_METABOLISM	0.9988505747126437	0	MGST3,IDH2,GSR,GPX7,GPX3,OPLAH,GSTA4,GSS,MGST2,GPX6,GPX2,ODC1,GSTA3,ANPEP,GSTT1,GCLM,GSTM2,MGST1,GSTP1,GPX5,GSTA2,GSTO1,GPX1,GSTM1,GGT5,GSTT2,GCLC,GGT1,GSTK1,GPX4,IDH1,GSTA5,GSTM5,G6PD		1	0.027
KEGG_PROSTATE_CANCER	0.5264367816091954	0	PDGFRB,MAP2K1,MAPK3,GSK3B,FOXO1,EGFR,HRAS,KRAS,INSRR,CREB1,BAD,HSP90B1,CDK2,IGF1,FGFR2,MAP2K2,ARAF,PDGFA,SRD5A2,PIK3R1,PIK3CB,AKT3,GRB2,MDM2,AR,TP53,BCL2,RAF1,FGFR1,MTOR,GSTP1,MAPK1,PIK3CD,CDKN1B,PIK3R3,PDGFB,EGF,PIK3R2,RB1,ERBB2,AKT2,NFKB1,PTEN,NRAS,IGF1R,SOS1,PDGFRA,HSP90AA1,CDKN1A,NFKBIA,CCND1,CCNE1,HSP90AB1,PDPK1,AKT1,TGFA		1	0.839
KEGG_LEISHMANIA_INFECTION	0.5494252873563218	0	IL10,MAPK3,JUN,IFNGR1,ITGB1,JAK1,TNF,IL12B,TGFB3,STAT1,IL4,MAPK14,C3,MAPK1,TLR4,PRKCB,PTPN6,NOS2,IFNG,NFKB1,IL1A,TGFB2,CYBA,NFKBIA,PTGS2,FOS,MAPK12,IL1B,JAK2,ITGAM,TGFB1		1	0.68
