Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.9005555555555557	0	HK2,HEXB		1	0.0020
KEGG_VIBRIO_CHOLERAE_INFECTION	0.7605555555555555	0	ATP6V0E2,ATP6V1B2,ADCY9,ATP6V1E1		1	0.053
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.6966666666666667	0	MAP2K1,PIK3R3		1	0.045
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.9666666666666666	0	TLR2,CTSK,CD14,IL12A,PIK3R3,MAP2K1,IFNA4,CASP8,CCL5,FOS		1	0.0080
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.7305555555555555	0	MAP2K1,FCER1G,GAB2,PIK3R3,PLA2G2F		1	0.097
KEGG_ERBB_SIGNALING_PATHWAY	0.9672222222222223	0	MAP2K1,HBEGF,CDKN1B,PIK3R3,EREG,CDKN1A		1	0.0020
KEGG_CALCIUM_SIGNALING_PATHWAY	0.858888888888889	0	LTB4R2,ATP2B1,GNA15,PPP3CA,ADCY9,F2R		1	0.021
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.8416666666666666	0	ACAA2,BCAT2,ALDH2		1	0.0080
KEGG_GLUTATHIONE_METABOLISM	0.891111111111111	0	RRM2,IDH2,GCLM,GSTO1,GPX1,RRM1		1	0.01
KEGG_PROSTATE_CANCER	0.9877777777777778	0	MAP2K1,CDKN1B,PIK3R3,HSP90AA1,CDKN1A,HSP90AB1		1	0.0
KEGG_LEISHMANIA_INFECTION	0.9716666666666667	0	TLR2,HLA-DMB,IFNGR1,IL12A,FCGR2A,IFNGR2,FOS,NCF2		1	0.0030
KEGG_NOTCH_SIGNALING_PATHWAY	0.6655555555555555	0	HDAC1,KAT2B,MFNG		1	0.098
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.8883333333333333	0	PIK3R3,ACTN1,NCF2,CYBB,MMP2		1	0.0080
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.913888888888889	0	PIK3R3,MAP2K1,HCK,GAB2,ARPC5L,FCGR2A		1	0.0060
KEGG_DILATED_CARDIOMYOPATHY	0.8772222222222223	0	ITGB7,ADCY9,ITGA5		1	0.0040
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.7988888888888889	0	PFKFB3,HK2		1	0.014
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.9238888888888889	0	ITGB7,ITGA5,ACTN1		1	0.0030
KEGG_ASTHMA	0.7411111111111112	0	HLA-DMB,FCER1G		1	0.033
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.9122222222222224	0	ALDH2,GLUL		1	0.0020
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.7722222222222223	0	PIK3R3,MAP2K1,MAPK7		1	0.035
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.9338888888888889	0	NAMPT,PNP		1	0.0
KEGG_PRION_DISEASES	0.9422222222222222	0	MAP2K1,CCL5,PRNP,STIP1		1	0.0020
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.9688888888888889	0	BUB1,CDC25C,MAP2K1,CDC25B,PIK3R3,ADCY9,CCNA2,HSP90AA1,CCNB2,HSP90AB1		1	0.0070
KEGG_PARKINSONS_DISEASE	0.9166666666666666	0	NDUFC2,NDUFA9,NDUFB7		1	0.0030
KEGG_OTHER_GLYCAN_DEGRADATION	0.6422222222222222	0	NEU1,HEXB		1	0.08
KEGG_BASE_EXCISION_REPAIR	0.46444444444444444	0	POLE2,FEN1		1	0.132
KEGG_ECM_RECEPTOR_INTERACTION	0.9505555555555556	0	THBS1,ITGB7,CD44,CD36,ITGA5		1	0.0020
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.8511111111111112	0	TNFRSF1B,ACSL1,PRKCQ,TNFRSF1A,CD36		1	0.017
KEGG_LONG_TERM_POTENTIATION	0.7511111111111111	0	MAP2K1,PPP1CB,PPP3CA		1	0.044
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.9733333333333334	0	HLA-DMB,SNRPD1,ACTN1,H3F3B,H2AFY2,FCGR2A		1	0.0010
KEGG_SPLICEOSOME	0.8138888888888889	0	SF3A3,SNRPD1,HSPA1L,HSPA6		1	0.027
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.9333333333333333	0	CD3D,RASGRP1,PIK3R3,MAP2K1,CD8B,PRKCQ,CD8A,CD3G,PPP3CA,FOS		1	0.013
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.9811111111111113	0	IL1R2,CSF3R,CCR1,CCR10,TNFRSF17,OSM,IFNGR1,IL12A,VEGFA,IFNGR2,TNFRSF1B,IFNA4,CSF2RA,TNFRSF1A,CXCR5,CCL5,TNFRSF10B		1	0.0040
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.9055555555555556	0	THBS1,ID3,SMAD7,ID1		1	0.0040
KEGG_RENAL_CELL_CARCINOMA	0.953888888888889	0	MAP2K1,HIF1A,VEGFA,PIK3R3		1	0.0020
