Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
CELL_SUBSTRATE_ADHESION	0.8377777777777776	0	ITGB1BP1,PKD2,ACTN1		1	0.004140753689701619
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9633333333333334	0	COL4A3,OSM,KLF4,BTG1,SPEG,S100A11,IFITM1,FTH1,EREG		1	0.0031802430390432215
REGULATION_OF_DEFENSE_RESPONSE	0.8466666666666667	0	IL12A,EREG,AHSG,CRTAM,TNFRSF1A		1	0.00863822771415794
NEURON_DEVELOPMENT	0.7255555555555556	0	OPHN1,PPT1		1	0.013518434912186746
PIGMENT_BIOSYNTHETIC_PROCESS	0.6505555555555556	0	ALAS1,TSPO		1	0.02403115980630404
POSITIVE_REGULATION_OF_BINDING	0.7061111111111111	0	NOD2,PRKCQ		1	0.015040678843475002
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.4288888888888889	0	CDC25C,HERC5,CKS1B		1	0.06435577143974461
RESPONSE_TO_BACTERIUM	0.3944444444444444	0	IL12A,NOD2		1	0.26412093177882473
BIOSYNTHETIC_PROCESS	0.9944444444444445	0	LDLR,ALAS1,FDPS,GCNT3,EREG,HSPB1,FDXR,TSPO,TYMS,CD81,GCLM,PTGES3,HSP90AA1,GUK1,ALG5,DYRK2,RARS,HSP90AB1,LTA4H,PGS1,ETF1		1	0.0
REGULATION_OF_CELL_GROWTH	0.9249999999999999	0	BCL6,CDKN1B,PPT1,CDA,CDKN1A,SERTAD3		1	0.0035844608458748834
CHROMOSOME_CONDENSATION	0.6872222222222222	0	DFFB,TOP2A,SMC4		1	0.025441944312345772
BRAIN_DEVELOPMENT	0.7794444444444445	0	GPR56,PPT1,EGR2		1	0.012744749674221807
RESPONSE_TO_DRUG	0.6027777777777777	0	GCLM,LIPE		1	0.028063705646971644
RECEPTOR_MEDIATED_ENDOCYTOSIS	0.47222222222222215	0	PPT1,PICALM		1	0.038948362540021896
POLYSACCHARIDE_METABOLIC_PROCESS	0.685	0	DYRK2,GAA		1	0.018666186829161123
ENDOSOME_TRANSPORT	0.6472222222222223	0	SQSTM1,GOSR1,RHOB		1	0.03431489793149106
POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.9327777777777778	0	NOD2,CASP8,TNFRSF1A,HMOX1,TNFRSF10B,F2R,ZDHHC13		1	0.0035844608458748834
IMMUNE_EFFECTOR_PROCESS	0.5938888888888889	0	IL12A,FCN1,CRTAM		1	0.03945124694326796
NEGATIVE_REGULATION_OF_GROWTH	0.913888888888889	0	BCL6,CDKN1B,PPT1,CDA,CDKN1A,PTCH1,SERTAD3		1	0.004140753689701619
SYSTEM_DEVELOPMENT	0.9922222222222222	0	KLF4,ITGB1BP2,MEF2D,EREG,GAA,FABP5,GPR56,PPT1,COL4A3,BTG1,PCDHB13,AHSG,SPEG,IRX4,EGR2,MAP4K1,APBA2,OPHN1,IKZF3,MAFB,RHOB,EBP,CD3D,KALRN,CD9,HBEGF,HCK,PKD2,NINJ1,PTCH1,VEGFA		1	0.0015980721271192187
CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	0.7427777777777778	0	GAA,SQSTM1,ZFP36,GNS		1	0.02348187615358852
REGULATION_OF_ANGIOGENESIS	0.8388888888888889	0	COL4A3,BTG1,RHOB		1	0.004140753689701619
ION_HOMEOSTASIS	0.9833333333333333	0	P2RY2,CCR1,CD55,FTH1,GNA15,CLCN3,KCNMB3,C3AR1,CCL5,PPT1,C5AR1		1	0.0015980721271192187
CELL_RECOGNITION	0.7372222222222222	0	OPCML,CRTAM,VCAN		1	0.020168182994659656
