Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
SEXUAL_REPRODUCTION	0.6194241686942417	0	PPAP2A,PTTG1,ABCB9		1	0.0020
ANATOMICAL_STRUCTURE_DEVELOPMENT	0.7043795620437956	0	GHRHR,ETS1,CELSR1,KLF10,PCDH1,UTP3,KRT14,P2RX5,SPN,CACNA1H,CST6,FRZB,NFE2L1,COL9A2,MYL6B		1	0.0040
RESPONSE_TO_OTHER_ORGANISM	0.5667072181670721	0	SPN,RSAD2		1	0.0080
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.6686942416869425	0	CCND2,CKS2,CCND1,CDKN3		1	0.0
TRANSPORT	0.7479724249797244	0	VDAC1,AKR1C4,SLC7A7,SLC25A14,TSPO,NUP160,PICALM,SCNN1A,ABCB7,NNT,PEA15,MYL6B		1	0.0010
NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	0.5891119221411192	0	GABBR1,SFN		1	0.0080
SYSTEM_DEVELOPMENT	0.7115774533657744	0	GHRHR,ETS1,CELSR1,KLF10,PCDH1,UTP3,KRT14,P2RX5,CACNA1H,FRZB,COL9A2,MYL6B		1	0.0010
CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	0.6441605839416058	0	UBE2C,CDC23,ZFP36		1	0.0020
SKELETAL_MUSCLE_DEVELOPMENT	0.5880981346309813	0	MYL6B,CACNA1H		1	0.0080
CHROMOSOME_SEGREGATION	0.6299675587996756	0	CDC23,NDC80		1	0.0020
ORGANIC_ACID_METABOLIC_PROCESS	0.5702554744525548	0	BBOX1,SLC7A7,FAH		1	0.0090
SISTER_CHROMATID_SEGREGATION	0.6299675587996756	0	CDC23,NDC80		1	0.0020
POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	0.6935320356853205	0	PPAP2A,CCND2,GHRHR,BBC3,CCND1,TGFA		1	0.0
MITOTIC_CELL_CYCLE_CHECKPOINT	0.644566098945661	0	BUB1,MAD2L1,TTK		1	0.0020
POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	0.6117193836171938	0	PPAP2A,CCND2,CCND1,TGFA		1	0.0030
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.7521289537712895	0	KIF23,TTK,FLNB,EZR,MYL6B,RND3		1	0.0
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.7160381184103812	0	UTP3,CELSR1		1	0.0
MICROTUBULE_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.5792781832927818	0	KIF23,TTK		1	0.0080
PROTEIN_CATABOLIC_PROCESS	0.5738037307380373	0	UBE2C,CDC23		1	0.0080
POSITIVE_REGULATION_OF_PHOSPHORYLATION	0.6272303325223033	0	CCND2,CCND1		1	0.0020
CHROMOSOME_ORGANIZATION_AND_BIOGENESIS	0.6872465531224654	0	NDC80,CDC23,ASF1A		1	0.0
REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION	0.6272303325223033	0	CCND2,CCND1		1	0.0020
POSITIVE_REGULATION_OF_CELLULAR_PROCESS	0.7688564476885644	0	UBE2C,IL15,TTK,SPN,CCND2,CCND1,ETS1,BIK,BBC3,SFN,TGFA,CFLAR,TCF4,BST2,CASP4,PTK2B		1	0.0
AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS	0.5702554744525548	0	BBOX1,SLC7A7,FAH		1	0.0090
REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.6451743714517437	0	SPN,CCND2,CCND1		1	0.0020
RESPONSE_TO_ENDOGENOUS_STIMULUS	0.6628142741281428	0	ASF1A,SFN		1	0.0
