Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
SEXUAL_REPRODUCTION	0.6194241686942417	0	PPAP2A,PTTG1,ABCB9		1	0.0049767441860465115
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.5046634225466342	0	ETS1,KLF10,CDKN3		1	0.04526923076923077
ANATOMICAL_STRUCTURE_DEVELOPMENT	0.7043795620437956	0	GHRHR,ETS1,CELSR1,KLF10,PCDH1,UTP3,KRT14,P2RX5,SPN,CACNA1H,CST6,FRZB,NFE2L1,COL9A2,MYL6B		1	0.009010526315789474
RESPONSE_TO_OTHER_ORGANISM	0.5667072181670721	0	SPN,RSAD2		1	0.014758620689655172
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.6686942416869425	0	CCND2,CKS2,CCND1,CDKN3		1	0.0
TRANSPORT	0.7479724249797244	0	VDAC1,AKR1C4,SLC7A7,SLC25A14,TSPO,NUP160,PICALM,SCNN1A,ABCB7,NNT,PEA15,MYL6B		1	0.003689655172413793
POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.5408556366585564	0	BST2,CFLAR		1	0.022526315789473682
NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY	0.5891119221411192	0	GABBR1,SFN		1	0.014758620689655172
SYSTEM_DEVELOPMENT	0.7115774533657744	0	GHRHR,ETS1,CELSR1,KLF10,PCDH1,UTP3,KRT14,P2RX5,CACNA1H,FRZB,COL9A2,MYL6B		1	0.003689655172413793
CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	0.6441605839416058	0	UBE2C,CDC23,ZFP36		1	0.0049767441860465115
SKELETAL_MUSCLE_DEVELOPMENT	0.5880981346309813	0	MYL6B,CACNA1H		1	0.014758620689655172
CHROMOSOME_SEGREGATION	0.6299675587996756	0	CDC23,NDC80		1	0.0049767441860465115
ORGANIC_ACID_METABOLIC_PROCESS	0.5702554744525548	0	BBOX1,SLC7A7,FAH		1	0.015285714285714284
SISTER_CHROMATID_SEGREGATION	0.6299675587996756	0	CDC23,NDC80		1	0.0049767441860465115
POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	0.6935320356853205	0	PPAP2A,CCND2,GHRHR,BBC3,CCND1,TGFA		1	0.0
MITOTIC_CELL_CYCLE_CHECKPOINT	0.644566098945661	0	BUB1,MAD2L1,TTK		1	0.0049767441860465115
POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	0.6117193836171938	0	PPAP2A,CCND2,CCND1,TGFA		1	0.006903225806451613
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.7521289537712895	0	KIF23,TTK,FLNB,EZR,MYL6B,RND3		1	0.0
G_PROTEIN_SIGNALING_COUPLED_TO_IP3_SECOND_MESSENGERPHOSPHOLIPASE_C_ACTIVATING	0.5252433090024331	0	PPAP2A,HOMER1		1	0.024633093525179856
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.7160381184103812	0	UTP3,CELSR1		1	0.0
MICROTUBULE_CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.5792781832927818	0	KIF23,TTK		1	0.014758620689655172
PROTEIN_CATABOLIC_PROCESS	0.5738037307380373	0	UBE2C,CDC23		1	0.014758620689655172
POSITIVE_REGULATION_OF_PHOSPHORYLATION	0.6272303325223033	0	CCND2,CCND1		1	0.0049767441860465115
CHROMOSOME_ORGANIZATION_AND_BIOGENESIS	0.6872465531224654	0	NDC80,CDC23,ASF1A		1	0.0
RESPONSE_TO_CHEMICAL_STIMULUS	0.5117599351175993	0	SPN,PDLIM1,HSPE1		1	0.03543046357615894
REGULATION_OF_PROTEIN_AMINO_ACID_PHOSPHORYLATION	0.6272303325223033	0	CCND2,CCND1		1	0.0049767441860465115
POSITIVE_REGULATION_OF_CELLULAR_PROCESS	0.7688564476885644	0	UBE2C,IL15,TTK,SPN,CCND2,CCND1,ETS1,BIK,BBC3,SFN,TGFA,CFLAR,TCF4,BST2,CASP4,PTK2B		1	0.0
AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS	0.5702554744525548	0	BBOX1,SLC7A7,FAH		1	0.015285714285714284
LIPID_METABOLIC_PROCESS	0.5544403892944039	0	PIGF,PPAP2A,AKR1C4,TSPO		1	0.028041379310344828
REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.6451743714517437	0	SPN,CCND2,CCND1		1	0.0049767441860465115
RESPONSE_TO_ENDOGENOUS_STIMULUS	0.6628142741281428	0	ASF1A,SFN		1	0.0
REGULATION_OF_SIGNAL_TRANSDUCTION	0.5542376317923763	0	FRZB,BST2,TNFAIP3,CFLAR,TGFA		1	0.03543046357615894
REGULATION_OF_CELL_CYCLE	0.7458434712084347	0	BUB1,UBE2C,CKS2,CDC23,MAD2L1,TTK,CCND2,CCND1,CDKN3,TGFA		1	0.003689655172413793
AMINO_ACID_METABOLIC_PROCESS	0.5694444444444444	0	SLC7A7,FAH		1	0.014758620689655172
NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.6711273317112734	0	PIM1,PEA15,MCL1,CFLAR		1	0.0
INTERPHASE	0.591139497161395	0	CDC23,CDKN3		1	0.014758620689655172
POSITIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS	0.6272303325223033	0	CCND2,CCND1		1	0.0049767441860465115
CELLULAR_PROTEIN_CATABOLIC_PROCESS	0.5738037307380373	0	UBE2C,CDC23		1	0.014758620689655172
ACTIN_FILAMENT_BASED_PROCESS	0.7160381184103812	0	EZR,FLNB,MYL6B,RND3		1	0.0
CELL_CYCLE_GO_0007049	0.7355028386050284	0	UBE2C,KIF23,NDC80,CKS2,CDC23,MAD2L1,TTK,CCND2,CCND1,BUB1,CDKN3,TGFA		1	0.003689655172413793
POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.7114760746147607	0	CASP4,ETS1,BIK,BBC3,SFN,CFLAR		1	0.0
PROTEIN_AMINO_ACID_PHOSPHORYLATION	0.7523317112733172	0	PIM1,MAPK6,CCND2,CCND1,MAPK3,PTK2B		1	0.0
REGULATION_OF_TRANSPORT	0.4830697485806975	0	PEA15,TSPO		1	0.04845283018867924
DNA_PACKAGING	0.625506893755069	0	HAT1,ASF1A		1	0.006903225806451613
NEGATIVE_REGULATION_OF_CELLULAR_PROCESS	0.6648418491484185	0	SPN,GRLF1,ETS1,TNFAIP3,CDKN3,CFLAR,PIM1,FRZB,KLF10,PEA15,MCL1		1	0.01296969696969697
MITOCHONDRION_ORGANIZATION_AND_BIOGENESIS	0.6769059205190592	0	TSPO,BBC3,DNM1L,SFN		1	0.0
ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	0.5715733982157339	0	SLC25A14,SDHA,NNT		1	0.015285714285714284
INTERPHASE_OF_MITOTIC_CELL_CYCLE	0.591139497161395	0	CDC23,CDKN3		1	0.014758620689655172
REGULATION_OF_DEVELOPMENTAL_PROCESS	0.7604420113544201	0	ETS1,BIK,BBC3,SFN,CFLAR,PIM1,PEA15,CASP4,MCL1		1	0.0
INTRACELLULAR_TRANSPORT	0.49168694241686944	0	NUP160,TSPO,MYL6B		1	0.04845283018867924
GAMETE_GENERATION	0.6194241686942417	0	PPAP2A,PTTG1,ABCB9		1	0.0049767441860465115
DNA_METABOLIC_PROCESS	0.6486212489862125	0	ASF1A,DUT		1	0.0
REGULATION_OF_CELL_PROLIFERATION	0.5932684509326845	0	IL15,TTK,KLF10,ETS1,PTK2B,CDKN3,TGFA		1	0.03181081081081081
PHOSPHORYLATION	0.7523317112733172	0	PIM1,MAPK6,CCND2,CCND1,MAPK3,PTK2B		1	0.0
SECOND_MESSENGER_MEDIATED_SIGNALING	0.5154095701540957	0	PPAP2A,HOMER1,GABBR1,GHRHR		1	0.04168831168831169
MITOTIC_CELL_CYCLE	0.6852189781021898	0	BUB1,UBE2C,KIF23,NDC80,CDC23,MAD2L1,TTK,CDKN3,TGFA		1	0.003689655172413793
ESTABLISHMENT_OF_CELLULAR_LOCALIZATION	0.580190592051906	0	NUP160,CDC23,TSPO,MYL6B		1	0.019753846153846153
NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	0.6460867802108679	0	NFKB2,KLF9,KLF10,TSC22D3,NR2E3,NFATC4,PTTG1,VEZF1,GRLF1,BRD8,TYMS,HSF2,TCF4,ZFP36,ASF1A,NFE2L1,DUT		1	0.025801418439716315
SPINDLE_ORGANIZATION_AND_BIOGENESIS	0.5792781832927818	0	KIF23,TTK		1	0.014758620689655172
PROTEIN_KINASE_CASCADE	0.5242295214922952	0	BST2,TNFAIP3,STAT5B,TGFA,CFLAR		1	0.042800000000000005
ANATOMICAL_STRUCTURE_MORPHOGENESIS	0.6057380373073804	0	SPN,NFE2L1,CELSR1,CST6		1	0.011145833333333334
BIOPOLYMER_CATABOLIC_PROCESS	0.6441605839416058	0	UBE2C,CDC23,ZFP36		1	0.0049767441860465115
REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS	0.6451743714517437	0	SPN,CCND2,CCND1		1	0.0049767441860465115
CELLULAR_COMPONENT_ASSEMBLY	0.6934306569343066	0	PICALM,SEPT9,ASF1A,SLC7A7,PTK2B,SLC9A3R2		1	0.0
RESPONSE_TO_BIOTIC_STIMULUS	0.5267639902676399	0	RSAD2,HSPE1,SPN		1	0.024633093525179856
REGULATION_OF_TRANSFERASE_ACTIVITY	0.6863341443633414	0	PPAP2A,CKS2,CCND2,CCND1,CDKN3,SFN,TGFA		1	0.0
POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.6451743714517437	0	SPN,CCND2,CCND1		1	0.0049767441860465115
STEROID_METABOLIC_PROCESS	0.5608272506082725	0	TSPO,AKR1C4		1	0.015285714285714284
EMBRYONIC_DEVELOPMENT	0.5395377128953771	0	SMAD1,CELSR1		1	0.022526315789473682
REGULATION_OF_PHOSPHORYLATION	0.6272303325223033	0	CCND2,CCND1		1	0.0049767441860465115
PROTEIN_COMPLEX_ASSEMBLY	0.6334144363341444	0	PICALM,SLC7A7,PTK2B,SEPT9,SLC9A3R2		1	0.006903225806451613
POSITIVE_REGULATION_OF_CELL_PROLIFERATION	0.6003649635036495	0	IL15,PTK2B,TTK,TGFA		1	0.014758620689655172
APOPTOTIC_MITOCHONDRIAL_CHANGES	0.6746755879967559	0	DNM1L,SFN,BBC3		1	0.0
TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.4858069748580698	0	PTK2B,TGFA		1	0.047707006369426756
SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	0.6379764801297649	0	RRAS,RASGRP1		1	0.0049767441860465115
NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	0.6711273317112734	0	PEA15,MCL1,PIM1,CFLAR		1	0.0
NERVOUS_SYSTEM_DEVELOPMENT	0.6742700729927007	0	P2RX5,PCDH1,UTP3,CELSR1		1	0.0
RESPONSE_TO_DNA_DAMAGE_STIMULUS	0.6628142741281428	0	ASF1A,SFN		1	0.0
NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	0.5202757502027575	0	FRZB,TNFAIP3		1	0.02712676056338028
APOPTOSIS_GO	0.7562854825628548	0	TSPO,DNM1L,BIK,BBC3,SFN,CFLAR,PIM1,VDAC1,PEA15,CASP4,PTK2B,MCL1		1	0.0
STRIATED_MUSCLE_DEVELOPMENT	0.5880981346309813	0	MYL6B,CACNA1H		1	0.014758620689655172
INTRACELLULAR_SIGNALING_CASCADE	0.7292173560421735	0	PPAP2A,GHRHR,DNM1L,TNFAIP3,BIK,BBC3,SFN,TGFA,CFLAR,RRAS,RASGRP1,BST2,GABBR1,VDAC1,FER,MCL1,STAT5B,HOMER1		1	0.006903225806451613
ESTABLISHMENT_OF_LOCALIZATION	0.7784874290348743	0	CDC23,VDAC1,AKR1C4,SLC7A7,SLC25A14,TSPO,NUP160,PICALM,SCNN1A,ABCB7,NNT,PEA15,MYL6B		1	0.0
MACROMOLECULAR_COMPLEX_ASSEMBLY	0.6934306569343066	0	PICALM,SEPT9,ASF1A,SLC7A7,PTK2B,SLC9A3R2		1	0.0
M_PHASE_OF_MITOTIC_CELL_CYCLE	0.6818734793187348	0	BUB1,UBE2C,TTK,NDC80,CDC23,MAD2L1,TGFA		1	0.0
MICROTUBULE_BASED_PROCESS	0.5792781832927818	0	KIF23,TTK		1	0.014758620689655172
BIOPOLYMER_METABOLIC_PROCESS	0.7451338199513381	0	CDC23,NFKB2,MPDU1,KLF9,PTTG1,HAT1,BRD8,PIM1,NFE2L1,DUT,PIGF,MAPK6,MAPK3,KLF10,TSC22D3,NR2E3,UBE2C,PPP2R5C,NFATC4,VEZF1,CCND2,CCND1,HSF2,TCF4,ZFP36,ASF1A,ISG15,PTK2B		1	0.006903225806451613
CELL_PROLIFERATION_GO_0008283	0.7814274128142741	0	IL15,CKS2,TTK,NUDC,USP8,TSPO,ETS1,CDKN3,SFN,TGFA,PIM1,KLF10,BST2,BUB1,PTK2B,IL6R		1	0.0
NEUROLOGICAL_SYSTEM_PROCESS	0.5119626926196269	0	NR2E3,HOMER1		1	0.03181081081081081
REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.5272708840227088	0	BST2,TNFAIP3,CFLAR		1	0.024633093525179856
ANTI_APOPTOSIS	0.5156123276561233	0	PEA15,MCL1,CFLAR		1	0.03181081081081081
CELLULAR_LIPID_METABOLIC_PROCESS	0.5544403892944039	0	PIGF,PPAP2A,AKR1C4,TSPO		1	0.028041379310344828
RESPONSE_TO_STRESS	0.6138483373884833	0	NFATC4,CLDN3,SFN,PDLIM1,ASF1A,NFE2L1,PTK2B,CYBB,HSPE1		1	0.028041379310344828
MEMBRANE_ORGANIZATION_AND_BIOGENESIS	0.5863746958637469	0	PICALM,CACNA1H,DNM1L		1	0.014758620689655172
POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.6272303325223033	0	CCND2,CCND1		1	0.0049767441860465115
BIOPOLYMER_MODIFICATION	0.7145174371451744	0	UBE2C,PPP2R5C,PIGF,MAPK6,CCND2,HAT1,CCND1,MAPK3,MPDU1,PIM1,ISG15,PTK2B		1	0.003689655172413793
REGULATION_OF_BIOLOGICAL_QUALITY	0.6644363341443633	0	ETS1,CD52		1	0.0
CATABOLIC_PROCESS	0.6245944849959448	0	UBE2C,CDC23,ZFP36,FAH,NNT,SDHA		1	0.01296969696969697
CELLULAR_CATABOLIC_PROCESS	0.6245944849959448	0	UBE2C,CDC23,ZFP36,FAH,NNT,SDHA		1	0.01296969696969697
HOMEOSTATIC_PROCESS	0.6644363341443633	0	CD52,ETS1		1	0.0
POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	0.5378142741281428	0	BST2,TGFA,CFLAR		1	0.023955223880597013
