Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9954022988505747	0	BTG2,IL6,CUL2,FTH1		1	0.03836065573770492
BIOSYNTHETIC_PROCESS	0.9781609195402299	0	IL18,ALAS2,RPL6,PCYT2,IL6,EIF2B1,LCAT,GATM,MAGT1		1	0.03836065573770492
REGULATION_OF_RNA_METABOLIC_PROCESS	0.843103448275862	0	RPL6,FOXK2,ENO1		1	0.03836065573770492
BRAIN_DEVELOPMENT	0.9022988505747125	0	PHGDH,SLIT1		1	0.03836065573770492
ORGANIC_ACID_METABOLIC_PROCESS	0.8586206896551726	0	CROT,BCKDHB,SLC6A6,AGXT,GATM,DDAH1		1	0.04574074074074074
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.9942528735632183	0	ARPC4,CDC42BPA,RHOJ,MAPT,YKT6,RND3		1	0.03836065573770492
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.9477011494252874	0	SLIT1,PHGDH,SLIT3,EIF2B1,SHC3		1	0.03836065573770492
NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT	0.7793103448275862	0	BAT1,SLC28A2		1	0.03836065573770492
IMMUNE_RESPONSE	0.9896551724137932	0	IL18,RSAD2,PTAFR,FTH1,FCGR2B,KRT1,MADCAM1,IL6		1	0.03836065573770492
POSITIVE_REGULATION_OF_CELLULAR_PROCESS	0.9505747126436782	0	LYN,IL18,NPTN,IL6,ASNS,MAPT,PPM1A,CDKN1A,CUL2,PPP2R1A		1	0.046011235955056184
AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS	0.8229885057471265	0	BCKDHB,SLC6A6,GATM,DDAH1		1	0.04574074074074074
RESPONSE_TO_ENDOGENOUS_STIMULUS	0.7620689655172413	0	LYN,BTG2,EIF2B1		1	0.046011235955056184
REGULATION_OF_CELL_CYCLE	0.979310344827586	0	PIN1,CUL2,ASNS		1	0.03836065573770492
TRANSCRIPTION_DNA_DEPENDENT	0.8465517241379311	0	RPL6,FOXK2,ENO1,PTGER3		1	0.03836065573770492
NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.9350574712643678	0	TPT1,HSPA9,CRYAB,ASNS,IL6		1	0.03836065573770492
INTERPHASE	0.828735632183908	0	CDKN1A,CUL2		1	0.03836065573770492
ACTIN_FILAMENT_BASED_PROCESS	1.0	0	ARPC4,CDC42BPA,RND3,RHOJ		1	0.03836065573770492
CELL_CYCLE_GO_0007049	0.9655172413793105	0	ASNS,PIN1,CDKN1A,CUL2		1	0.03836065573770492
POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.9252873563218391	0	MAPT,NPTN,CDKN1A,CUL2,PPP2R1A		1	0.03836065573770492
REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS	0.8580459770114942	0	PHB,RPL6,FOXK2,ENO1		1	0.03836065573770492
TRANSCRIPTION	0.8626436781609196	0	PHB,RPL6,FOXK2,ENO1,PTGER3		1	0.03836065573770492
RNA_BIOSYNTHETIC_PROCESS	0.8465517241379311	0	RPL6,FOXK2,ENO1,PRIM2,PTGER3		1	0.04265625
NEGATIVE_REGULATION_OF_CELLULAR_PROCESS	0.9988505747126437	0	PHB,HSPA9,FTH1,IL6,BTG2,TPT1,ENO1,CRYAB,ASNS,CDKN1A,CUL2		1	0.03836065573770492
