Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
CELL_SUBSTRATE_ADHESION	0.8377777777777776	0	ITGB1BP1,PKD2,ACTN1		1	0.014931174089068827
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9633333333333334	0	COL4A3,OSM,KLF4,BTG1,SPEG,S100A11,IFITM1,FTH1,EREG		1	0.01146766169154229
REGULATION_OF_DEFENSE_RESPONSE	0.8466666666666667	0	IL12A,EREG,AHSG,CRTAM,TNFRSF1A		1	0.03114864864864865
NEURON_DEVELOPMENT	0.7255555555555556	0	OPHN1,PPT1		1	0.048746223564954685
BIOSYNTHETIC_PROCESS	0.9944444444444445	0	LDLR,ALAS1,FDPS,GCNT3,EREG,HSPB1,FDXR,TSPO,TYMS,CD81,GCLM,PTGES3,HSP90AA1,GUK1,ALG5,DYRK2,RARS,HSP90AB1,LTA4H,PGS1,ETF1		1	0.0
REGULATION_OF_CELL_GROWTH	0.9249999999999999	0	BCL6,CDKN1B,PPT1,CDA,CDKN1A,SERTAD3		1	0.012925233644859813
BRAIN_DEVELOPMENT	0.7794444444444445	0	GPR56,PPT1,EGR2		1	0.04595638629283489
POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.9327777777777778	0	NOD2,CASP8,TNFRSF1A,HMOX1,TNFRSF10B,F2R,ZDHHC13		1	0.012925233644859813
NEGATIVE_REGULATION_OF_GROWTH	0.913888888888889	0	BCL6,CDKN1B,PPT1,CDA,CDKN1A,PTCH1,SERTAD3		1	0.014931174089068827
SYSTEM_DEVELOPMENT	0.9922222222222222	0	KLF4,ITGB1BP2,MEF2D,EREG,GAA,FABP5,GPR56,PPT1,COL4A3,BTG1,PCDHB13,AHSG,SPEG,IRX4,EGR2,MAP4K1,APBA2,OPHN1,IKZF3,MAFB,RHOB,EBP,CD3D,KALRN,CD9,HBEGF,HCK,PKD2,NINJ1,PTCH1,VEGFA		1	0.0057625
REGULATION_OF_ANGIOGENESIS	0.8388888888888889	0	COL4A3,BTG1,RHOB		1	0.014931174089068827
ION_HOMEOSTASIS	0.9833333333333333	0	P2RY2,CCR1,CD55,FTH1,GNA15,CLCN3,KCNMB3,C3AR1,CCL5,PPT1,C5AR1		1	0.0057625
CHROMOSOME_SEGREGATION	0.8355555555555556	0	REC8,SMC4,TOP2A,ZWINT		1	0.02721180555555556
ORGANIC_ACID_METABOLIC_PROCESS	0.9800000000000001	0	LTA4H,SLC7A5,GCLM,PTGES3,TNFRSF1A,RARS,AKR1C3		1	0.0
AMINE_TRANSPORT	0.921111111111111	0	SLC7A5,SLC3A2,SLC1A4,AQP9		1	0.00903921568627451
RESPONSE_TO_HYPOXIA	0.9222222222222223	0	HIF1A,VEGFA		1	0.0
PEPTIDYL_TYROSINE_PHOSPHORYLATION	0.8127777777777778	0	IL12A,ABI2,F2R,CD81		1	0.03976677316293929
MITOTIC_CELL_CYCLE_CHECKPOINT	0.8694444444444445	0	BUB1,CCNA2,CHFR,ZWINT,TTK		1	0.023554744525547445
REGULATION_OF_GROWTH	0.913888888888889	0	CDA,SERTAD3,BCL6,CDKN1B,PPT1,CDKN1A,PTCH1		1	0.014931174089068827
NITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	0.8888888888888888	0	HSP90AA1,HSP90AB1		1	0.00815929203539823
G_PROTEIN_SIGNALING_COUPLED_TO_IP3_SECOND_MESSENGERPHOSPHOLIPASE_C_ACTIVATING	0.978888888888889	0	P2RY2,GNA15,C5AR1		1	0.0
