Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.6936334144363342	0	CDC25A,PKMYT1,CDC25C,CDK5R2,CHEK1,MNAT1,CCND2,DIRAS3,CCNE2,CDKN2D,CCNT2,PTEN,CKS2,CDKN2B,CDC37,CCND3,GTF2H1,HEXIM1,CDKN1C,CCND1,CDK5R1,CDC6,CDKN2C,CKS1B,APC,CDKN3,CCNG1,GADD45A,CCNT1,CDK7,CDKN2A		1	0.075
POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.7260746147607462	0	VAPA,TLR6,FKBP1A,MAP3K3,GJA1,TICAM1,SECTM1,TNFSF10,SLC20A1,CASP1,FASLG,RIPK1,TRIM38,RHOA,UBE2N,RELA,PPP5C,LTBR,CASP8,RPL17,TNFRSF1A,TRAF3IP2,EEF1D,HMOX1,ATP2C1,TRADD,BST2,LGALS9,TRIM13,CD40,MYD88,PLK2,LITAF,BCL10,FADD,RHOC,PPM1A,LGALS1,TRAF5,REL,TNFRSF10B,HTR2B,ZDHHC17,ECM1,IKBKE,BIRC2,MALT1,F2R,FLNA,RIPK2,TSPAN6,CFLAR,NUP62,TRAF6		1	0.033
IMMUNE_EFFECTOR_PROCESS	0.6863341443633414	0	PTPRC,IL12A,BCL2,BNIP3,MAP3K7,TARBP2,APOBEC3G,BNIP3L,FCN1,CEBPG,APOA1,MBL2,C2,IL12B,CADM1,NCR1,TRAF2,APOBEC3F,CD40LG,RSAD2,CD74,CRTAM,FCN2,MALT1,IL4,KRT1,TRAF6,TGFB1		1	0.084
CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	0.7208029197080292	0	UHRF2,SMG5,SMURF1,FBXL4,GNPDA1,NEDD8,PFKFB1,ALDOA,UBE2C,ANAPC5,GUSB,BTRC,ARIH1,GAA,EDEM1,ANAPC10,PYGB,SMG6,UBE2K,PARK2,SMURF2,ALDOB,UBE2B,CDC20,RNASE3,UBE4B,FBXO7,VCP,PSMC5,UBR5,KIAA0368,SQSTM1,ISG20,SMG7,RNF11,UBE2D2,PABPC4,RNASE2,CDC23,ABCE1,ZFP36,UBB,USP33,AMFR,MGAM,GSPT1,UBE2D1,AUH,UBE2E1,PSMD14,UPF2,UBE2G1,PFKM,ECD,POP1,SIAH2,CPA2,UBE2D3,UFD1L,UBE2G2,RNASEH2A,RNASEH1,PPP1R8,PFKL,GNS,RNASE6,GAPDHS,UBE3A,CHIT1,UBE2A,FZR1,UBE2I,UBE4A,TREH,PGD,UBE2H,UBE2L3,TKTL1,SMG1,TSG101		1	0.068
CHROMOSOME_SEGREGATION	0.681265206812652	0	ESPL1,SMC4,PSEN2,CHMP1A,TOP2A,ZWINT,RIOK3,PDS5B,PAM,CDC23,SRPK1,NCAPH,SMC1A,PSEN1,CENPE,KIF25,NDC80,DDX11,CENPF,ZW10,BRCA1,PMF1		1	0.081
RESPONSE_TO_HYPOXIA	0.6873479318734794	0	HIF1A,EPAS1,CLDN3,SMAD3,BNIP3,VEGFA,ARNT2,HSP90B1,TGFB2,EP300,PDIA2,NF1,ANG,PLOD2,SMAD4,ALAS2,CXCR4,MT3,PML,CHRNA4,CREBBP,CHRNB2,CD24,PLOD1		1	0.077
MITOTIC_CELL_CYCLE_CHECKPOINT	0.6719383617193837	0	BUB1,KNTC1,CCNA2,PML,GML,MAD2L1,BUB1B,NBN,RAD17,PCBP4,ZWINT,ATM,ZW10,TRIAP1,TTK,CDKN2B,TGFB1		1	0.094
SODIUM_ION_TRANSPORT	0.6982968369829684	0	SCN9A,SCN2B,SLC17A4,SCNN1A,SCNN1G,SCN2A,SLC17A3,SLC8A1,SCN7A,SGK1,SCN1B,SLC17A2,SCNN1D,SCN4A,SCN5A		1	0.031
CELL_CYCLE_GO_0007049	0.7225556586923196	0	ACVR1B,RABGAP1,CDC7,RASSF1,RAD17,CCNG2,MFN2,CDC16,UBE2C,CDK6,KIF23,NASP,ERCC3,DCTN3,PPP6C,CCND3,ATR,CDC6,KIF2C,FOXO4,NDC80,EIF4G2,AHR,CCNG1,DCTN2,POLD1,CDC20,KIF22,ERCC2,TPX2,ABL1,CDK7,KRT7,HPGD,KNTC1,PAFAH1B1,ACVR1,CCNA1,IFNW1,CCNE2,DDB1,FOXN3,CKS2,CDK4,CDC23,HSPA2,GTF2H1,CCNA2,PML,NCAPH,CDT1,UBB,HEXIM1,MAD2L1,GSPT1,DDX11,TTN,APC,TIMELESS,INHA,BTG3,NPM1,ESPL1,CP110,KATNA1,CETN1,CITED2,CDK10,SYCP1,RAD51L3,RBBP8,TTK,CDK2,BRCA2,MCM2,PPP5C,ZBTB17,TPD52L1,ALOX15B,CHEK2,STRN3,MYO16,INHBA,APBB1,SMAD3,BMP2,SMC4,CHMP1A,CHEK1,PLAGL1,CCND2,PIM2,PRUNE2,CETN3,AIF1,CKAP5,TGFB2,RAD51L1,APBB2,TAF1,CDC37,SMC3,EREG,PA2G4,ASNS,CCND1,CDC27,NBN,SKP2,CUL4A,TGFB1,UPF1,BUB1,PTPRC,PKMYT1,UHRF2,CDK5R2,MNAT1,DIRAS3,BIRC5,RAN,ERN1,PCBP4,ANAPC5,GAS1,CCNT2,FOXC1,PIN1,ANAPC10,KIF11,CDC123,SMC1A,MAP2K6,CDKN1C,PLK1,IL8,CENPE,CENPF,CLIP1,HUS1,MYH10,NOTCH2,ZW10,BMP4,CCNT1,TP53,RAD54L,XRCC2,RAD50,RCC1,MPHOSPH6,DLG1,DMC1,MDM4,RUNX3,CDKN1B,BUB1B,CUL1,DHRS2,STMN1,CIT,RB1,PPP1R13B,FANCG,PTEN,PPP1R15A,CDKN2B,AURKA,PDS5B,E2F1,MLF1,CDKN1A,TUBG1,CDK5R1,CUL2,CKS1B,GADD45A,SSSCA1,TRIAP1,BCAT1,MAPK12,CDKN2A,CD28,KPNA2,CDC25C,SAC3D1,TARDBP,BMP7,CDKN2D,DTYMK,ATM,XPC,CUL3,PPM1G,AKAP8,MRE11A,CDC25B,NEK2,CDKN2C,POLA1,RAD9A,STK11,NUMA1,USH1C,NAE1,DBF4,CDC25A,RAD1,MADD,TP53BP2,GML,RAD51,EGF,CUL5,ZWINT,TOP3A,GAS7,PAM,GFI1,CDK2AP1,RAD21,MAP3K11,HCFC1,KHDRBS1,MPHOSPH9,RAD52,NOLC1,KIF25,MYC,CDKN3,CEP250,LIG3,POLE,RHOB,MSH4,TGFA,PFDN1		1	0.097
EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	0.6810624493106244	0	REPS2,EREG,CDH13,GRB7,GAB1,EGFR,EPS8,SHC3,EGF,EPS15,CBL,GRB2,NCK2,SHC1,TGFA,RPS6KA5		1	0.061
