Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
CELL_SUBSTRATE_ADHESION	0.5385964912280703	0	ITGA10,ADAM15,ITGA2,RASA1,THY1,ACVRL1,ITGB1BP1,CDH13,THBS3,PKD1,COL13A1,ACTN2,PPFIA2,COL17A1,ECM2,CDK6,PTEN,SGCE,NF1,TAOK2,ITGA3,PKD2,ACTN1,VWF,TSC1,PPFIA1,ACTN3,FBLN5,ITGA7,TESK2,NF2,CDKN2A		1	0.997
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.7140350877192982	0	PRKRA,COL4A3,OSM,MFN2,RARRES3,ATP8A2,NCK2,NDN,SST,CDK6,WARS,TOB1,KLF4,RBBP4,ANG,SFTPD,PTHLH,GAS8,CGRRF1,CDKN1C,ABI1,TNFRSF9,IL8,TGFB1I1,CDC6,FOXO4,CD33,BTG1,GPNMB,OPRM1,NOTCH2,TOB2,EEF1E1,ING1,CD164,UTP20,ACVRL1,MDM4,RUNX3,IGFBP7,CUL1,SPEG,ETS1,EIF2AK2,PLG,RARRES1,BTG2,KRT4,FABP3,PTEN,MXI1,GNRH1,CDKN2B,NF1,BAP1,S100A11,PDS5B,TBX5,QSOX1,IL6,IGFBP6,TM4SF4,LDOC1,CUL2,APC,BTG3,POU1F1,NPM1,CTBP1,PAWR,SSTR5,NUP62,MNT,CDKN2A,CXCL1,PRKRIR,MXD4,TP53I11,BAI1,LST1,CDK10,KLF11,SSTR4,CDKN2D,IFITM1,FTH1,CTBP2,FRK,BRCA2,HGS,TSC1,ALOX15B,FGFBP1,SCG2,CDKN2C,KLF10,COL18A1,MDM2,MYO16,CCL23,SSTR3,GLMN,NF2,MAGED1,NME1,DLEC1,GML,FABP6,CDH13,CHEK1,AIF1,SSTR2,CUL5,DLG5,IL1A,TGFB2,VHL,FABP7,ADRA1A,EREG,ODZ1,CDKN3,TNFRSF8,CNOT8,CGREF1,IL1B,PPM1D,EMP3,CUL4A,UMOD		1	0.997
NEURON_DEVELOPMENT	0.5684210526315789	0	ROBO1,BAI1,LST1,POU4F1,NRP1,YWHAH,SLIT2,NRTN,RND1,KAL1,OPHN1,RTN4,NRXN3,CYFIP1,FEZ2,PICK1,SHH,MAPT,AGRN,PARD6B,FARP2,KLK8,UNC5C,THY1,SIAH1,SEMA4F,APOE,PARD3,FEZ1,GLI2,BAIAP2,SEMA3B,NRCAM,SLIT1,PAX2,PPT1,TGFB2,LAMB1,UBB,NRP2,NTNG1,CDK5R1,NRXN1,CDK5,S100B		1	0.997
PIGMENT_BIOSYNTHETIC_PROCESS	0.6385964912280702	0	ALAS1,CPOX,DCT,FECH,ALAS2,COX10,GPR143,TSPO,NFE2L1,ALAD,PPOX,OCA2,GMPS,TYR,PAICS,AP3D1		1	0.997
PROTEIN_AUTOPROCESSING	0.6491228070175438	0	PAK2,MAP3K9,DYRK1A,STK4,MAP3K12,INSR,MAP3K3,CDKL5,MAP3K10,TAOK3,IGF1R,TAF1,MAP3K13,TNK1,PAK1,MAP3K11,TTN,LMTK2,EIF2AK1,SMG1,AKT1,CAMKK2		1	0.997
POSITIVE_REGULATION_OF_BINDING	0.5789473684210525	0	NME1,CAMK2A,EDA,BCL10,CEBPG,EP300,UBE2N,TNF,RELA,MAP3K13,PRKCQ,IKBKB,ERC1,NPM1,PRDX3		1	0.997
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.7017543859649122	0	CDC25A,PKMYT1,CDC25C,CDK5R2,CHEK1,MNAT1,CCND2,DIRAS3,CCNE2,CDKN2D,CCNT2,PTEN,CKS2,CDKN2B,CDC37,CCND3,GTF2H1,HEXIM1,CDKN1C,CCND1,CDK5R1,CDC6,CDKN2C,CKS1B,APC,CDKN3,CCNG1,GADD45A,CCNT1,CDK7,CDKN2A		1	0.997
RESPONSE_TO_BACTERIUM	0.656140350877193	0	CD1D,IL12A,IL10,TLR6,CHIT1,BCL10,SLC11A1,CAMP,DMBT1,PGLYRP1,TLR3,S100A7,SPN,CFP,AZU1,STAB1,CD24,LALBA		1	0.997
BIOSYNTHETIC_PROCESS	0.6257861635220127	0	RPS5,LDLR,RPL3,METAP1,LIPA,CDO1,RPL37,SPR,RPL38,EIF2AK1,HRSP12,STT3A,PIGF,PAIP1,IL18,HPGD,RPS3,RPL5,ALAD,RPL35,RPL22,PET112L,AP3D1,MCAT,RPL4,HAS1,EEF1A1,SERP1,EIF1,TM4SF4,GRM8,PTGS1,PIGH,RPL21,ALAS1,AARS,IL17A,EIF3B,CD37,RPL7,EIF4B,CYP11B2,DARS,FDPS,LARGE,ALAS2,RPL6,DPM2,RPS2,SPN,ALDH9A1,INHBA,GLMN,SCP2,FUT1,RPL9,APBB1,RPS6KB2,COX10,RPL39,UGDH,PCYT2,CTPS,LIPC,DPM1,ADSS,IL9,PIGK,TGFB2,INHBB,RPL27A,EIF3A,RPL8,FUT2,B3GALNT1,EREG,GCLC,IDI1,GCH1,PYCR1,MAN1A2,EIF5A,RPS4Y1,PLOD1,EIF5,RRBP1,SGMS1,GYS2,HSPB1,EIF2B5,ST8SIA3,RPL18,NDST1,WARS,RPS19,PI4K2A,EXT1,RPL28,SFTPD,RPL30,BCL3,DMD,GLCE,ST8SIA4,FDXR,ADM,CHST3,COQ2,UMPS,PTGDS,EIF1AX,TSPO,GCNT2,PEMT,PIGO,RPL41,ST8SIA1,MPDU1,CYP11A1,HSD11B2,PABPC4,GLA,CPOX,MIF,PPAT,GCNT1,IL6,SDF2,HPRT1,RPL15,RPL29,MTIF2,CNBP,BMP6,ADK,RPL14,RPL24,ADCY7,PTS,EGFR,TM4SF5,OAZ1,FNTA,RPL13,OGT,TSC1,TYMS,RPL34,EIF2B1,AKR1D1,TNIP1,IL4,PAIP2B,ADORA2A,ALK,COPS5,TSFM,PI4KB,FNTB,NR0B1,GCHFR,ST8SIA5,RPL31,BCL10,RPS17,DGKE,PIK3C2A,EIF2B2,TUFM,GPAA1,RPS27,RPS9,RPL11,AGPS,EIF2B4,KEL,DHPS,EXT2,GMPS,ABCF1,CD81,ASMT,PFKFB1,OCA2,TSPAN7,EIF4G3,NACA,EIF2S3,ANG,EIF4A3,CYP19A1,NR5A1,SOD1,BBOX1,EIF4G2,KRT7,HS6ST1,TSPAN8,AIPL1,FECH,GCLM,GPR143,XYLT1,YARS,DEGS1,LPCAT1,PGGT1B,PTGES3,HBS1L,HSP90AA1,TSTA3,GMDS,ABCA1,GUK1,INHA,COQ7,PAICS,EIF4A2,RPN1,LCAT,TUSC3,B3GALT2,AGPAT2,CHST7,NSDHL,LRP2,ATF4,FARS2,RPS12,GAL3ST1,DHCR7,RPL23A,DOLPP1,COG2,COASY,NECAB3,CD74,DYRK2,AGPAT1,NQO1,CYP7B1,RPL3L,RARS,BRCA1,B4GALT1,UAP1,FURIN,PEX7,B3GALT4,RPL19,GAMT,MRPL3,B3GALT5,RPS10,GATM,EIF1B,DDAH2,HSP90AB1,GCK,RPS11,IMPA1,POFUT1,UPF1,PTPRC,IL10,PAH,NFE2L1,EIF3E,APOA1,TYR,UGCG,FUT4,TLR1,IL12B,HSD3B1,ALG8,EIF3D,FADS1,GYG2,AZU1,LTA4H,PLCE1,GALNT2,LALBA,MAN1C1,EIF3G,TRAK1,FADS2,GALNT1,FUT6,SAMD4A,MAST2,TLR3,EIF3F,PPOX,GYPC,BCAT1,FUT5,CD28,DCT,PIGB,TLR6,EIF3I,B3GAT2,FUT8,CEBPG,ETF1,PIGA,EIF3H,FUT7,PCYT1B,DHCR24,EIF4H,DAZL,ASMTL,MRPL23,RPS3A,LTB,COG7,UROS,EIF3J,ME1,PIGC,KARS,FUT9,CYP27B1,TNFRSF8,IRF4,AKT1,MVK,CHM		1	0.997
REGULATION_OF_CELL_GROWTH	0.5894736842105263	0	APBB1,SMAD3,ACVR1B,BCL6,CDKN1B,TSPYL2,SERTAD2,NDUFS3,CDKN2D,RB1,DCBLD2,BMP10,PPT1,TGFB2,APBB2,FAM107A,SMAD4,PML,CDA,CDKN1A,ALOX12,CDKN2C,DLC1,PLCE1,INHBA,TP53,IL2,ENO1,TGFB1,CDKN2A		1	0.997
