Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	0.7017543859649122	0	CDC25A,PKMYT1,CDC25C,CDK5R2,CHEK1,MNAT1,CCND2,DIRAS3,CCNE2,CDKN2D,CCNT2,PTEN,CKS2,CDKN2B,CDC37,CCND3,GTF2H1,HEXIM1,CDKN1C,CCND1,CDK5R1,CDC6,CDKN2C,CKS1B,APC,CDKN3,CCNG1,GADD45A,CCNT1,CDK7,CDKN2A		1	0.16
POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.7789473684210526	0	VAPA,TLR6,FKBP1A,MAP3K3,GJA1,TICAM1,SECTM1,TNFSF10,SLC20A1,CASP1,FASLG,RIPK1,TRIM38,RHOA,UBE2N,RELA,PPP5C,LTBR,CASP8,RPL17,TNFRSF1A,TRAF3IP2,EEF1D,HMOX1,ATP2C1,TRADD,BST2,LGALS9,TRIM13,CD40,MYD88,PLK2,LITAF,BCL10,FADD,RHOC,PPM1A,LGALS1,TRAF5,REL,TNFRSF10B,HTR2B,ZDHHC17,ECM1,IKBKE,BIRC2,MALT1,F2R,FLNA,RIPK2,TSPAN6,CFLAR,NUP62,TRAF6		1	0.028
MITOTIC_CELL_CYCLE_CHECKPOINT	0.7157894736842104	0	BUB1,KNTC1,CCNA2,PML,GML,MAD2L1,BUB1B,NBN,RAD17,PCBP4,ZWINT,ATM,ZW10,TRIAP1,TTK,CDKN2B,TGFB1		1	0.092
TRANSCRIPTION_FROM_RNA_POLYMERASE_III_PROMOTER	0.6842105263157895	0	SNAPC3,BRF1,ZNF345,ZNF143,SNAPC2,SNAPC4,SNAPC5,TROVE2,POLR2L,ZNF76,POLR2K,IVNS1ABP,POLR3G,POLR3C,GTF3A,BRCA1		1	0.158
PHOSPHORYLATION	0.7507447864945382	0	ACVR1B,PTK6,UQCRC2,RAD17,TWF1,ILK,STK17B,KALRN,ANG,UQCRC1,CCND3,UQCRH,PINK1,CCDC88C,STK17A,BMPR1A,ABI1,LYN,BARD1,NDUFS4,EIF2AK1,CSNK1G2,MARK2,CD24,ABL1,MERTK,TESK2,SRPK2,ACVR1,EPHB2,CAMK2A,ACVRL1,CSK,TYK2,FASTK,MYLK,ABL2,JAK3,CCL2,STK3,SRPK1,PRKCZ,OXSR1,CAMK2B,MAPKAPK2,PLK4,ICK,TTN,INHA,IKBKE,JAK2,PRKD1,STK4,MAP3K3,TNK2,SNRK,PKN1,CDKL1,TRIB2,DYRK3,CDC42BPA,MATK,MKNK2,LIPE,VRK1,HCK,PGK1,AURKC,TNK1,TSSK2,ERC1,PICK1,LTK,DYRK2,PIM1,TRIB1,PIK3R1,LMTK2,MAPK6,INHBA,MKNK1,BMX,RAGE,GLMN,NF2,IKBKAP,PIM2,CCND2,DAPK1,GMFG,HCLS1,TAOK3,STK19,LIMK1,IRAK3,BCR,TAF1,UQCRB,EREG,HIPK3,MAP4K4,STK38,CCND1,PKN2,LCK,IGFBP3,PDPK1,SMG1,MAP4K5,ADAM10,ITGB2,RET,MAPK8,CAMKK2,TGFB1,DYRK1A,MAP3K12,MAPK3,PRKCD,CDKL5,FES,FYB,ERG,EPHA5,MAP4K2,BRAF,PRKAA2,ERN1,STK16,DAPK3,MAP3K13,DYRK1B,PRKCE,MAP3K8,MAP2K6,PRKAA1,MAP4K1,PRPF4B,STAT1,RPS6KA4,BMP4,CCNT1,MCM7,BCKDK,DAPK2,MAP3K9,IL12A,MYOD1,TNKS,CSNK1A1,CSNK2A1,CDKN1B,IL5,TLK2,BTK,DCLK1,CDKN2B,PRKAG1,CHUK,AURKA,MAPK4,VRK2,NEK4,MAST2,MINK1,CDKN1A,TXK,PLK3,PSEN1,GRK1,FGR,CCL11,TLK1,PTK2B,SOCS1,PRKACB,CTBP1,PRKD3,MAPK12,CAMK1,CDKN2A,ULK1,PAK2,BRSK2,INSR,GSK3B,PRKCH,EGFR,MAST1,GMFB,CDK9,ROCK1,CDKN2D,IL3,FRK,PRDX4,SRP72,PRKCI,SGK1,CSNK1E,F2,WNK1,CDKN2C,AKT3,ROCK2,ABI2,STK11,ERBB3,IL4,PMVK,PRKY,TEC,RAF1,CSNK1D,MAP3K10,STK38L,BCL10,EGF,PRKG2,BMPR1B,CAMK4,CD80,ERBB2,PRKX,IGF1R,STK10,RPS6KA5,CDK2AP1,PAK1,DMPK,MAP3K11,PRKCG,PRKG1,AKT1,F2R,CD81,TGFBR1		1	0.172
POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	0.7280701754385965	0	CYCS,COL4A3,HIP1,CASP9,EGFR,APOC2,GNAQ,CCKBR,ERN1,PMAIP1,AVPR1B,EDNRA,ANG,GNA15,APAF1,MOAP1,F2,BAX,PPP2R4,PLCB2,RGN,STAT1,TP53,VCP,SMAD3,THY1,NLRP3,CARD8,RALBP1,IFNB1,BBC3,LCK,TNNT2,F2R,AVPR1A,CDKN2A		1	0.095
NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS	0.7315789473684211	0	ACLY,ADCY7,DCK,ALDH6A1,PTH,PTHLH,NME4,CDA,ENTPD4,ERH,TYMS,PRPS1,DGUOK,ADM,ADORA2A,UMPS,CTPS,ADSS,NUDT3,NDUFS1,AMPD3,NME5,ME1,PPAT,DCTD,PGD,ABCA1,GRM8,GUK1,HPRT1,GMPS,CTNS,PAICS,TYMP,FPGS,ADK,FHIT		1	0.087
CARBOHYDRATE_TRANSPORT	0.6754385964912281	0	SLC35A3,SLC35A2,INS,SLC35A1,PPBP,SLC2A5,SLC2A4,SLC37A4,SLC2A1,SLC2A3,SLC2A2,GH1,SLC5A1,PEA15,EDNRA		1	0.179
CASPASE_ACTIVATION	0.7350877192982456	0	SMAD3,CYCS,HIP1,COL4A3,CASP9,IFNB1,PMAIP1,BBC3,APAF1,MOAP1,F2,BAX,LCK,STAT1,F2R,TP53,VCP,CDKN2A		1	0.055
CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	0.7508771929824563	0	ACLY,SDHB,GYS2,AKR1A1,GNPDA1,IRS2,PFKFB1,CHST2,ALDOA,GALT,NDST1,GUSB,GAA,EXT1,SDHC,PYGB,ME3,GLCE,GYG2,ST3GAL6,ALDOB,PYGM,CHST3,FH,LALBA,HS6ST1,GCNT2,SDHD,XYLT1,PDK2,ALDOC,PTEN,HAS1,SLC35A2,INS,MGAM,BRS3,TSTA3,EPM2A,GMDS,PDK1,CHST1,IDH1,SLC35A3,GSK3B,GALK1,CHST7,PDK4,ATF4,PFKM,GFPT2,UGP2,FBP1,ECD,LARGE,SGSH,IDUA,LECT1,DYRK2,PDK3,PDHB,GFPT1,PFKL,FBP2,GNS,ST3GAL2,UAP1,GAPDHS,UGDH,CHIT1,GAD1,ACO1,FPGT,SDHA,EXTL2,ME1,GAD2,GNE,ACO2,TREH,PGD,EXT2,NNT,TKTL1,GCK,IDH3B		1	0.107
PROTEIN_IMPORT_INTO_NUCLEUS	0.7280701754385965	0	KPNA2,PTTG1IP,SMAD3,BCL6,NCKIPSD,NLRP3,CEP57,FYB,TRIP6,RANBP2,CDH1,NFKBIL1,CBLB,MDFI,MXI1,TNPO1,MCM3AP,NF1,KPNA5,TNF,ZFYVE9,RERE,BCL3,KPNA3,KPNB1,NFKBIE,TNFSF14,KPNA1,NUP205,F2,GLI3,PPP1R10,AKT1,NFKBIL2,F2R,FLNA,KPNA6,TPR,PDIA3,TGFB1,PPIH		1	0.107
POSITIVE_REGULATION_OF_CASPASE_ACTIVITY	0.7421052631578947	0	SMAD3,CYCS,HIP1,COL4A3,CASP9,NLRP3,CARD8,IFNB1,PMAIP1,BBC3,APAF1,MOAP1,F2,BAX,LCK,STAT1,F2R,TP53,VCP,CDKN2A		1	0.044
NEGATIVE_REGULATION_OF_APOPTOSIS	0.7421052631578947	0	BRE,HSPB1,ARHGDIA,IL7,BECN1,BNIP3L,BRAF,SERPINB9,BIRC5,HRK,RTN4,KRT18,PEA15,RELA,BCL3,SON,SERPINB2,CD40LG,SOD1,BAX,BARD1,PROC,NOTCH2,BCL2A1,NAIP,ANXA4,API5,ACVR1,BCL2,BNIP3,VEGFA,GSTP1,HDAC3,PIK3R2,PRDX2,BIRC3,ANXA1,YWHAZ,GPX1,TNFAIP8,NME5,CCL2,SFRP1,PRKCZ,BNIP2,MIF,IL6,TPT1,PSEN1,ALOX12,TAX1BP1,NPM1,TRIAP1,FAS,MCL1,NUP62,SNCA,SEMA4D,RASA1,CD28,GLO1,HBXIP,HSPA9,MPO,GSK3B,FOXO1,NOL3,BNIP1,CIAPIN1,OPA1,DAD1,FAIM3,CBX4,CDKN2D,SH3GLB1,BCL2L2,IL3,HSP90B1,HDAC1,SOCS2,AATF,TNF,CD27,DFFA,ERC1,TNFRSF10D,SCG2,PIM1,CD74,DHCR24,BAG1,IL4,SOCS3,CLN3,CRYAB,CDH13,BCL10,IFI6,ERCC5,CASP3,ANXA5,NFKB1,IL1A,PPT1,IGF1R,DDAH2,ALB,HIPK3,CRYAA,GCLC,PAX7,ASNS,IL2RB,CFL1,IER3,IL2,HTATIP2,CFLAR,MAPK8,BCL2L1		1	0.142
RESPONSE_TO_ORGANIC_SUBSTANCE	0.6912280701754386	0	BCL2,GYS2,EIF2B5,CDH13,SUPT5H,AQP9,EIF2B2,BRCA2,RELA,ME1,EIF2B4,ABAT,ABCG1,SOD1,EIF2B1,NDUFS4,DGKD,CHRNA4,GCK,CHRNB2,GOT2		1	0.155
NUCLEOTIDE_METABOLIC_PROCESS	0.7526315789473684	0	ACLY,CTPS,ADCY7,DCK,ADSS,NDUFS1,AMPD3,PTH,PTHLH,ME1,PPAT,DCTD,CDA,ENTPD4,PGD,TYMS,ABCA1,GRM8,HPRT1,GUK1,ADM,CTNS,TYMP,ADORA2A,UMPS,FHIT,ADK		1	0.038
HOMEOSTASIS_OF_NUMBER_OF_CELLS	0.6789473684210526	0	ALAS2,ACVR1B,IL6,LYN,SOD1,HCLS1,BCL10,DYRK3,SPI1,ACIN1,ACVR2A,CEBPG,LDB1,AKT1,ETS1,CDK6,INHBA,FOXO3,RPS19		1	0.193
APOPTOTIC_PROGRAM	0.7175438596491228	0	VDAC1,BAK1,AIFM1,CYCS,COL4A3,HIP1,CASP9,ACIN1,PMAIP1,BAD,GZMB,APAF1,DFFA,MOAP1,TPD52L1,F2,CASP8,SOD1,BAX,STAT1,TP53,BID,GZMA,VCP,DFFB,SMAD3,BNIP3,PSEN2,IFI6,CASP7,IFNB1,CASP3,TOP2A,PPT1,GPX1,PDIA2,BBC3,DNM1L,LCK,CASP2,F2R,BIK,SFN,MCL1,BCL2L1,CDKN2A		1	0.15
MITOCHONDRIAL_TRANSPORT	0.7157894736842104	0	TOMM34,BCL2,BAK1,BNIP3,STARD3,TSPO,MIPEP,HSP90AA1,SLC25A1,MFN2,TIMM44,TIMM17B,TIMM17A,TP53,MTX2,BCL2L1		1	0.081
