Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.6912280701754386	0	UAP1,UGDH,CHIT1,GALK1,GNPDA1,HK3,GALT,GFPT2,UGP2,FPGT,HEXA,CYB5R3,GALK2,GNE,TSTA3,CYB5R1,GALE,GMDS,PMM1,PGM3,HK2,RENBP,GFPT1,GCK,GPI,PGM1,HEXB,MPI		1	0.183
KEGG_VIBRIO_CHOLERAE_INFECTION	0.543859649122807	0	SEC61A1,PDIA4,ARF1,SLC12A2,ATP6V0A1,PLCG1,TJP1,MUC2,ACTG1,ATP6V0B,ATP6V1F,KDELR3,ATP6V0E2,ATP6V1B1,ATP6V1A,PRKACG,ACTB,PLCG2,ATP6V0A2,ATP6V1C1,TJP2,TCIRG1,ATP6V0D1,ATP6V1G2,ATP6V0E1,GNAS,ATP6V1B2,ATP6V1D,ATP6V1H,PRKCB,ADCY9,SEC61B,PRKCA,KCNQ1,PRKACA,PRKX,KDELR1,ATP6AP1,CFTR,ATP6V1G1,SEC61G,PRKCG,PRKACB,ADCY3,ATP6V1E1,KDELR2,ATP6V0C		1	0.887
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.6736842105263158	0	STK4,MAP2K1,MAPK3,CASP9,EGFR,SOS2,RASSF1,RXRG,HRAS,PLCG1,PIK3CA,BRAF,KRAS,BAD,CDK6,MAP2K2,ARAF,PLCG2,PIK3R1,RXRA,AKT3,PIK3CB,E2F3,GRB2,PIK3CG,TP53,E2F2,RAF1,RXRB,MAPK1,RARB,PIK3CD,PRKCB,PIK3R3,PRKCA,EGF,PIK3R2,RB1,ERBB2,AKT2,NRAS,FOXO3,CDK4,SOS1,E2F1,PRKCG,CCND1,PDPK1,AKT1,TGFA,CDKN2A,FHIT		1	0.342
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.7070175438596491	0	TLR2,MAP3K7,MAPK3,IFNA16,CCL3,TICAM1,IRF3,TRAF3,IFNAR2,RIPK1,MAPK11,IL12B,RELA,TLR1,CTSK,IFNA8,CCL4,MAP3K8,MAP2K6,IL8,STAT1,MAP2K7,CD14,PIK3CG,MAPK10,IL12A,CXCL9,RAC1,IFNA21,PIK3R3,TAB2,LBP,IFNA1,IFNA2,PIK3R2,MAPK13,CHUK,TLR3,IL6,NFKBIA,IKBKE,MAPK12,IFNAR1,TLR6,MAP2K1,JUN,PIK3CA,IRAK1,CXCL11,IFNA4,IRF7,TNF,TLR5,MAP2K2,CASP8,PIK3R1,AKT3,PIK3CB,IFNA10,MAPK14,IKBKG,IFNA5,CD40,MAP2K3,MYD88,IFNA14,PIK3CD,MAPK1,FADD,IFNB1,MAPK9,SPP1,CD80,IRF5,AKT2,NFKB1,CCL5,IFNA6,TAB1,CD86,MAP2K4,IKBKB,LY96,FOS,AKT1,IL1B,CXCL10,MAPK8,TRAF6		1	0.263
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.6859649122807019	0	RAC3,MAP2K1,PRKCD,MAPK3,PLA2G2A,SOS2,MS4A2,HRAS,PLCG1,PIK3CA,PLA2G1B,KRAS,IL3,SYK,CSF2,MAPK11,TNF,VAV2,PRKCE,PLA2G4A,MAP2K2,RAC2,IL13,MAP2K6,LYN,PLCG2,PIK3R1,AKT3,PIK3CB,GRB2,MAP2K7,PIK3CG,IL4,MAPK14,LCP2,MAPK10,FCER1G,RAF1,RAC1,GAB2,PLA2G10,MAP2K3,PIK3CD,MAPK1,IL5,PRKCB,PLA2G5,PIK3R3,PRKCA,MAPK9,PIK3R2,INPP5D,AKT2,MAPK13,BTK,NRAS,SOS1,MAP2K4,PLA2G6,PDK1,FCER1A,AKT1,MAPK12,VAV1,FYN,MAPK8		1	0.336
KEGG_ERBB_SIGNALING_PATHWAY	0.7315789473684211	0	PAK2,EIF4EBP1,MAP2K1,MAPK3,GSK3B,EGFR,SOS2,JUN,HRAS,PLCG1,PIK3CA,HBEGF,BRAF,KRAS,ERBB4,CBL,CBLB,BAD,NCK2,PTK2,STAT5B,AREG,PAK3,MAP2K2,ARAF,PLCG2,BTC,PAK4,PIK3R1,PIK3CB,AKT3,GRB2,MAP2K7,ERBB3,PIK3CG,SHC1,STAT5A,ABL1,MAPK10,RPS6KB2,RAF1,CAMK2A,MTOR,PAK7,MAPK1,PIK3CD,CDKN1B,PRKCB,PIK3R3,PRKCA,CRK,EGF,MAPK9,PIK3R2,CRKL,ERBB2,AKT2,NRAS,ABL2,ELK1,SOS1,SRC,CAMK2B,MAP2K4,PAK1,EREG,CDKN1A,PRKCG,GAB1,RPS6KB1,NRG1,MYC,SHC3,AKT1,CAMK2G,NCK1,TGFA,MAPK8,NRG2		1	0.159
KEGG_ABC_TRANSPORTERS	0.6175438596491228	0	ABCB4,ABCB1,ABCA6,TAP1,ABCC3,ABCA4,ABCA2,ABCB6,ABCG2,ABCB8,ABCC8,ABCC10,ABCD3,ABCD1,ABCA8,ABCA12,ABCC6,ABCC4,CFTR,ABCC1,ABCB10,ABCA5,ABCA3,ABCG1,ABCB7,TAP2,ABCB9,ABCA1,ABCD4,ABCC9,ABCD2,ABCC2,ABCC5,ABCB11		1	0.545
KEGG_CALCIUM_SIGNALING_PATHWAY	0.5614035087719298	0	VDAC1,HTR7,PHKA1,ITPKA,CACNA1A,GNAQ,PLCG1,PLCB1,GNA11,ITPR1,AVPR1B,EDNRA,P2RX7,VDAC2,HTR6,ITPKB,LHCGR,BDKRB1,PTGER1,PRKACG,SLC25A6,PLCG2,P2RX1,PPP3CC,DRD5,CACNA1H,ATP2B1,PLCB2,SLC25A5,ITPR2,PLCE1,PLCD1,VDAC3,EDNRB,BDKRB2,CAMK2A,PRKCB,PRKCA,NOS2,SLC25A4,CACNA1G,PRKACA,HTR2A,GRPR,CALM3,CHP,MYLK,ADRA1D,PHKB,GRM1,CAMK2B,GRIN1,RYR3,NTSR1,CALML3,TACR3,CACNA1F,PPID,NOS3,PTK2B,AGTR1,HTR2B,TRHR,PRKACB,ADCY3,CAMK2G,CHP2,AVPR1A,CHRM3,TACR2,ADRA1B,PTAFR,PDE1A,PDGFRB,ATP2B3,SLC8A1,ATP2A3,DRD1,ADCY7,CACNA1E,PPP3R1,EGFR,P2RX6,HTR2C,RYR1,CCKBR,PTGFR,ERBB4,ADCY2,CALM1,PDE1B,ADRB3,GNA15,CCKAR,ATP2B2,CD38,TACR1,GRIN2A,ADCY8,ATP2A2,P2RX5,SLC8A2,CACNA1D,RYR2,ERBB3,TRPC1,ADCY1,ADORA2A,GRM5,PPP3CA,GNAS,TNNC2,NOS1,PLN,TBXA2R,ATP2A1,CACNA1C,P2RX4,ITPR3,ADCY9,CAMK4,ERBB2,PRKX,PTGER3,ADRB1,ADORA2B,PHKG1,PLCB3,PPP3CB,ATP2B4,GRIN2C,TNNC1,PDGFRA,BST1,HRH1,ADRA1A,CACNA1B,PRKCG,HTR4,P2RX3,PHKA2,GNAL,F2R,PHKG2,ADRB2,PLCB4,PDE1C,CACNA1S,GRIN2D		1	0.971
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.6368421052631579	0	ACAA2,OXCT1,BCAT2,AOX1,HMGCS2,AUH,PCCA,IVD,ECHS1,HADH,HIBCH,BCKDHA,ALDH6A1,ACAT1,HADHB,HSD17B10,ALDH7A1,MCCC2,HMGCS1,ABAT,ALDH1B1,ACADSB,EHHADH,DLD,MUT,BCKDHB,HMGCL,ACADS,ALDH9A1,ACAT2,PCCB,BCAT1,ALDH2,DBT,ALDH3A2,ACADM,ACAA1,HADHA		1	0.461
KEGG_GLUTATHIONE_METABOLISM	0.5736842105263158	0	RRM2,MGST3,IDH2,GSR,GPX7,GPX3,OPLAH,GSTA4,GGCT,GSS,MGST2,SMS,SRM,GPX2,ODC1,GSTM3,ANPEP,GSTT1,GCLM,GSTP1,GSTA2,GSTO1,GPX1,GSTZ1,GGT5,RRM1,GCLC,PGD,GPX4,IDH1,GSTA1,GSTM5		1	0.725
