@relation lung_data_preprocessed-weka.filters.unsupervised.attribute.Remove-R1

@attribute ARNTL numeric
@attribute NPAS2 numeric
@attribute CSNK1D numeric
@attribute CSNK1E numeric
@attribute CRY1 numeric
@attribute CLOCK numeric
@attribute Phenotype {D,A}

@data
39,-5.5,1184.7,1122.6,47,400.6,D
36.7,23.5,983.3,768,53.9,340.5,D
46.2,8.1,1900.5,1938.9,100,433.8,D
49.7,151.5,1338.3,1059,78.1,245.2,D
45,42,1626.3,907.3,36.2,354.2,D
57,99.8,1357.4,777.3,52.7,273,D
30.2,52.6,958.9,987,77.4,242,D
111.3,40.7,998.3,923.4,158,422.4,D
96.9,70.2,1697.7,1231.4,68.5,439,D
109.7,53,1004.7,946.4,102.5,447.7,D
93.6,45,1098.1,1742.7,91.3,444.6,D
90.2,-27,1008,813.1,94.7,422.2,D
62,-1.5,1472.8,2371,101.6,389.5,D
62.7,34.8,1393.4,1251.5,57,279.3,D
53.4,70.2,1642.2,443.9,55.6,413.3,D
123.5,27.2,1161.6,415.5,95.3,267.7,D
28.1,165.5,848.4,2347.4,83.2,216,D
32,11.3,2003.4,1268,44.3,314,D
101.6,88,1189.8,1249.1,37,211.7,D
42.4,-37,1690.8,1727,151.6,254.6,D
72.6,4.8,1567.8,730.3,78.4,207,D
29.6,93.6,1135.5,1507,71.1,232,D
54.9,65,1587.7,979.8,28.4,270.3,D
69.5,71.5,1474.6,381.9,38.5,775.4,D
57.9,70,1886.5,1608.5,150.5,259.7,A
57,70.2,1693.5,1006,58.3,238.5,A
94.7,-3,1106,898.9,45,400,A
76,86.2,1304,837,79,360.3,A
52.6,42.3,1266.9,840.8,91.3,189.1,A
47,57,1712.3,2357.4,69.4,365.3,A
84,-16.6,1245.2,874.1,52.8,252.6,A
67.6,5.4,1245.4,857.7,57,376.5,A
57,11.8,1842.5,1470.3,87,287.1,A
46.2,-35.2,1197.3,1099.3,53.4,289,A
69,81,1226.4,859.1,73,224.7,A
76.7,6.8,1114,200.7,63.8,284.3,A
62.3,6.6,866.4,735.5,21.6,86,A
112.4,-37.6,1622,235.6,49.4,358.5,A
5.7,-12.8,1224.5,873.1,37,302.5,A
49.4,-6.2,1533,506.9,21.6,339.1,A
47,7,1036.1,832.9,33,325.4,A
48.5,-58.5,935.2,738,65,366.5,A
110.9,-1.4,977,390.4,67.9,239.2,A
4.4,-49.1,1263.7,497,54.5,206,A
23.5,-69.6,1146.7,803.1,50,292.3,A
25.4,19.9,1319.1,1054.1,85.3,262.2,A
53.7,32,1172.1,1267.1,61.6,236,A
56.3,13.7,1483.2,693.5,28.4,393.8,A
75.5,17.8,1175.3,941.8,63.5,209.6,A
1.8,-17,1462.4,600.3,49.4,198.5,A
92.4,-34.2,1068.2,851.3,103,190.8,A
39,60,1114.6,1099.7,52.8,492.8,A
108.9,-7.4,2335.5,1109.9,96.9,601.8,A
124.5,113.5,1627.9,2055.3,123.5,141.2,A
113,-28.7,1074.2,1237.3,77.6,209.8,A
67.6,28.2,1118.8,731.2,47.6,191.7,A
41,-24.8,1083.9,1502.7,159.1,569.6,A
79,-8.2,1141.1,602.1,52.7,206,A
52,-7.7,1197.4,479.2,9,260.8,A
69,187.6,824.8,1263.8,73.8,267.8,A
79.9,12.5,1651.1,605.7,103.5,258.6,A
52,-8,1409.3,920.5,73,273.7,A
27.2,-2,1506.5,911.7,37.8,251.5,A
35.5,-5.6,861,791.1,75.5,290.2,A
26.8,-73.6,836.8,1267.7,104.4,361.5,A
93,1.8,1390.3,1077.2,136.5,209,A
28.6,54.5,1000.3,785.7,89,205.1,A
36.2,84.1,1057.3,499,73,169.6,A
73.6,4.1,1071.2,788.1,55.5,175,A
7.9,24.6,1110.9,714.5,85.3,487.2,A
65,-39.2,1459,958.9,77,551.8,A
111,25,1321.9,1434.8,115,140.5,A
49.4,-9.4,969.2,978.9,33.8,181.5,A
171.8,-40.2,953.8,118,103.8,289.1,A
54.9,5.4,802.5,1144.5,84,302.5,A
50,-25.6,1013.8,1039.7,52,188.9,A
58.1,32.9,915.8,601.5,61.6,184,A
-4.3,-4.3,998.5,1051.2,19.8,269.6,A
63.9,-27.3,1006.5,770.2,61.6,264.1,A
46,-33.7,1179.1,586,140,215.4,A
93.7,26.4,1271.9,456.6,41.3,240.1,A
47.1,33.8,1668.5,558.5,24.8,114.2,A
55.6,-16.3,1018.3,882.7,91.3,350.6,A
71.4,30.6,742.5,1007.1,129.1,165.1,A
84.7,26,854.4,551.7,70.4,492.2,A
103.3,-1,1007.3,607.6,59.7,277.3,A
