Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
SEXUAL_REPRODUCTION	0.7344827586206898	0	JAG2,PRKAG1,PPAP2B		1	0.032
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9954022988505747	0	BTG2,IL6,CUL2,FTH1		1	0.0040
NEURON_DEVELOPMENT	0.6126436781609196	0	MAPT,SLIT1		1	0.039
BIOSYNTHETIC_PROCESS	0.9781609195402299	0	IL18,ALAS2,RPL6,PCYT2,IL6,EIF2B1,LCAT,GATM,MAGT1		1	0.011
REGULATION_OF_CELL_GROWTH	0.6229885057471264	0	CDKN1A,ENO1		1	0.034
REGULATION_OF_RNA_METABOLIC_PROCESS	0.843103448275862	0	RPL6,FOXK2,ENO1		1	0.0090
TRANSPORT	0.9235632183908047	0	BAT1,KCNK3,LCAT,CRYAB,LRPAP1,AGXT,TCN2,SLC28A2,YKT6,CLNS1A,SCG5		1	0.026
BRAIN_DEVELOPMENT	0.9022988505747125	0	PHGDH,SLIT1		1	0.0020
IMMUNE_EFFECTOR_PROCESS	0.5839080459770115	0	RSAD2,KRT1		1	0.042
SYSTEM_DEVELOPMENT	0.9390804597701149	0	MSX1,JAG2,SLIT1,NPTN,SFTPB,RTN1,PHGDH,SLIT3,SHC3,MAPT,TAGLN,LYN,BPNT1,IL18,ALAS2,EIF2B1,KRT1		1	0.038
NEGATIVE_REGULATION_OF_GROWTH	0.6229885057471264	0	CDKN1A,ENO1		1	0.034
ORGANIC_ACID_METABOLIC_PROCESS	0.8586206896551726	0	CROT,BCKDHB,SLC6A6,AGXT,GATM,DDAH1		1	0.019
NEGATIVE_REGULATION_OF_TRANSCRIPTION	0.6821839080459771	0	PHB,ENO1		1	0.026
REGULATION_OF_GROWTH	0.6229885057471264	0	CDKN1A,ENO1		1	0.034
CYTOSKELETON_ORGANIZATION_AND_BIOGENESIS	0.9942528735632183	0	ARPC4,CDC42BPA,RHOJ,MAPT,YKT6,RND3		1	0.0070
CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	0.9477011494252874	0	SLIT1,PHGDH,SLIT3,EIF2B1,SHC3		1	0.0070
RESPONSE_TO_CHEMICAL_STIMULUS	0.7844827586206895	0	LYN,ENPP1,PTAFR,DUSP1,CXCL14,EIF2B1		1	0.042
NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_TRANSPORT	0.7793103448275862	0	BAT1,SLC28A2		1	0.01
IMMUNE_RESPONSE	0.9896551724137932	0	IL18,RSAD2,PTAFR,FTH1,FCGR2B,KRT1,MADCAM1,IL6		1	0.0080
POSITIVE_REGULATION_OF_CELLULAR_PROCESS	0.9505747126436782	0	LYN,IL18,NPTN,IL6,ASNS,MAPT,PPM1A,CDKN1A,CUL2,PPP2R1A		1	0.02
RESPONSE_TO_WOUNDING	0.628735632183908	0	PTAFR,KRT1		1	0.034
MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	0.6344827586206896	0	CROT,AGXT		1	0.034
AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS	0.8229885057471265	0	BCKDHB,SLC6A6,GATM,DDAH1		1	0.018
RESPONSE_TO_ENDOGENOUS_STIMULUS	0.7620689655172413	0	LYN,BTG2,EIF2B1		1	0.021
REGULATION_OF_SIGNAL_TRANSDUCTION	0.6902298850574713	0	LYN,CDC42BPA,PPM1A		1	0.041
REGULATION_OF_CELL_CYCLE	0.979310344827586	0	PIN1,CUL2,ASNS		1	0.0040
TRANSCRIPTION_DNA_DEPENDENT	0.8465517241379311	0	RPL6,FOXK2,ENO1,PTGER3		1	0.01
