Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
REGULATION_OF_MAP_KINASE_ACTIVITY	0.43218390804597695	0	MDFIC,PKN1,EGFR,RGS4,ADRA2C,ADRA2A,DBNL,CXCR4,DUSP6,SOD1,PIK3CB,MAP4K1,CD24,MAP3K9,MADD,EGF,ERBB2,CHRNA7,ADORA2B,NF1,GRM4,PAK1,HIPK3,TRIB3,GPS1,C5AR1,CD81,ADRB2,FGF2,TGFA		1	0.9957971830985914
SEXUAL_REPRODUCTION	0.7931034482758621	0	AXIN1,SPA17,FSHR,CRISP1,DNAH9,PRM2,AKAP4,RUVBL1,XRN2,SOD1,ADAM18,BAX,CD9,JAG2,PPAP2A,SYCP3,OAZ3,PRKAG1,PPAP2B,HSPA2,DYNLL1,DEDD,FSHB,TSPY1,HMGCR,PTTG1,SERPINA5,FOXJ1,SYCP1,BCL2L2,ADAM2,TSGA10,SMCP,RACGAP1,TNP1,SPAM1,ZP2,HIST1H1T,CD4,ACR,DEAF1,LIG3		1	0.9957971830985914
ANATOMICAL_STRUCTURE_DEVELOPMENT	0.6678745373076174	0	CSDE1,MSX1,TMOD2,CALCA,LRCH4,KLF4,BOC,NCL,CTF1,NDUFS4,JAG2,MARK2,PSPN,SLC40A1,GSTP1,VAMP5,COL5A2,MEF2D,CDC42BPB,MSX2,EPHB1,UBB,EIF2AK3,SNCA,NOG,JAK2,PMP22,HMGCR,RAB3D,IGF2,DPYSL4,SYK,IGF1,GREM1,DPYSL3,NEUROG1,ACHE,GLMN,PTPRZ1,PF4,ARNT2,DPYSL2,NRCAM,GHRHR,BDNF,DCN,LCK,SPP2,IGFBP3,NEUROG3,DLL3,NTF3,L1CAM,PLOD1,ATPIF1,SIRT2,MYH3,LHB,RUNX1,NEDD8,RPL10A,HAND2,GJB1,COL11A1,RPS19,GAA,SFTPD,TH,EMD,HAND1,BMP4,EMP1,ACVR2A,NPTN,SLIT1,ETS1,CRMP1,SFTPB,TWIST2,MYH6,PRDX1,MYF6,STAT3,CBY1,MYH7,PCP4,FABP5,SPARC,RTN1,CHRD,PHGDH,POSTN,GRIK1,ITM2B,SHOX2,COMP,UBE3A,MYH9,APOE,EGF,PPT1,NME2,FABP7,GNPAT,COL1A1,DRD2,CARTPT,AES,UGT8,COL1A2,F2R,PLP1,NOX4,LHX1,LAMA2,COL4A3,POU3F3,FABP1,POU6F1,GCM1,PTHLH,NR5A1,CNTFR,LHCGR,THBS4,LAMA3,GSS,SOD1,BTG1,FGF10,NR5A2,ACVR1,GCLM,TCF21,ACVRL1,AHSG,SPEG,HOXA4,SERPINF1,CDC42,TIMELESS,INHA,EGR3,NR2C2,SNRK,CITED2,PAX8,DMBT1,CMKLR1,NCKAP1,GJB5,PCDHB12,SLIT3,KLF10,AGRN,BMP2,PAX6,NPR3,CANX,SMAD2,EGR2,DEAF1,CACNB2,NPR1,SHC3,GDF11,DOC2A,FGF7,OLFM1,PAX4,NDUFV2,MYH11,UGCG,IL12B,GDF10,LSAMP,MAP4K1,MAPT,HES1,RAC1,PARD3,AGGF1,MGP,CIT,FGF5,ACCN1,NLGN1,NKX6-1,LAMC1,TNNI3,ANXA2,SART1,MRAS,GDNF,YWHAH,GMFB,KCNN3,RNH1,ELN,ATP2A2,FLOT2,KLK8,FGF1,SRGN,TAGLN,YWHAG,MAL,HNF1B,FGF2,ALDH3A2,S100B,ACVR1B,KRT31,HPCAL4,KRT18,CDX1,MOG,SRD5A2,LYN,TGFB3,KRT19,ATP2C1,BPNT1,IL18,PAFAH1B1,POU2F3,FGD4,SH3GL2,MAS1,TAGLN3,APBA1,ADORA1,SH3GL1,TTN,POU1F1,NRXN1,AQP4,APBA2,GHR,KRT14,ALAS2,KRT34,P2RX5,RORB,SPN,SVIL,INHBA,GDA,TRIM3,BTD,CAP1,TGFB2,GCLC,RET,DLG4,TGFB1,EIF2B5,IL7,KRT10,RBP2,NOTCH1,CAP2,ST8SIA4,SNAI2,CD40LG,BAX,PRPS1,PTF1A,CASR,CACNA1H,NOTCH2,ITGA7,MAFB,FGF18,DLG1,MUSK,EHF,NOTCH3,NELL1,PTN,FGF17,DYNLL1,LZTR1,ST8SIA2,CDK5R1,NOTCH4,TNFSF13,MRPL40,TLE1,CRABP2,FOXC2,CXCL1,TNFRSF11B,ACTA1,PTS,FGF16,VLDLR,PAFAH1B3,IL3,NEUROD2,NRXN3,ALX1,TCOF1,EIF2B1,STX2,SH3GL3,IL4,RACGAP1,AMIGO1,ADORA2A,NR0B1,HTT,FGF14,CAPN3,IFRD1,EIF2B2,COL12A1,GHSR,MMP9,EIF2B4,NPTX1,ROBO2,EGFL7,EIF2B3,LIG3,RHOB,IL2,CXCL10,PITX2,GATA4,ATXN3,EBP,HRAS,FSHR,LYVE1,FST,PTH,CD3D,KALRN,CCL4,PITX3,CD9,NPPB,HSD17B3,FOXE1,CSF1,GATA6,FEZ1,ACTN2,GPC3,PLG,KRT4,NF1,CCL2,NRD1,COL10A1,PDPN,DSPP,KCNQ2,ALDH5A1,CNTN4,KRT5,CDK5,FZD2,CSRP3,RASA1,SCN8A,HBEGF,SOX10,CHRNA1,MATK,FOXN1,HCK,FEZ2,DLX5,MSTN,CYR61,CD3G,SOX11,KCNH1,KL,NF2,PAPSS1,FGFR1,UTRN,LIMK1,ATN1,PRL,MOBP,CD4,TRPS1,PAPSS2,NINJ1,PTCH1,SOX13,TSHB,KRT1,PTPRC,DYRK1A,IL10,FOXG1,NRP1,CHRM2,CHRM1,CSPG5,SHH,CHRNA4,NNAT,MYOC,EFNA5,MYOD1,VEGFA,RAB26,COL2A1,COL9A1,TCF12,CHRNA7,PTEN,DCLK1,PPARD,MLF1,NRP2,NCOA4,MAPK12,ARF6,CHRM3,STS,CEBPG,DGCR6,ATP2B2,CNTN6,NRGN,SCG2,AEBP1,PDX1,THY1,RAG1,MYL6B,ERBB2,MBP,CASQ2,GATA3,IER3		1	0.9957971830985914
NEGATIVE_REGULATION_OF_CELL_PROLIFERATION	0.9356321839080459	0	NOX4,COL4A3,MFN2,NDN,SST,KLF4,SFTPD,PTHLH,CGRRF1,CDKN1C,BTG1,OPRM1,NOTCH2,ACVRL1,SPEG,ETS1,EIF2AK2,PLG,BTG2,KRT4,FABP3,PTEN,MXI1,GNRH1,CDKN2B,NF1,IL6,IGFBP6,CUL2,APC,BTG3,POU1F1,NPM1,CTBP1,PAWR,SSTR5,NUP62,CXCL1,MXD4,SSTR4,ING4,FTH1,FRK,BRCA2,HGS,SCG2,KLF10,MDM2,SSTR3,GLMN,NF2,NME1,FABP6,AIF1,SSTR2,IL1A,TGFB2,VHL,NME2,FABP7,ADRA1A,SSTR1,TNFRSF8,CGREF1,IL1B,ATPIF1,UMOD		1	0.9957971830985914
NEURON_DEVELOPMENT	0.5942528735632184	0	GDNF,NRP1,YWHAH,NRXN3,FEZ2,SHH,MAPT,AGRN,AMIGO1,KLK8,THY1,APOE,PARD3,FEZ1,NRCAM,SLIT1,PPT1,TGFB2,UBB,NRP2,ROBO2,CDK5R1,CNTN4,NRXN1,CDK5,S100B		1	0.9957971830985914
RESPONSE_TO_OTHER_ORGANISM	0.7045977011494254	0	PTPRC,IL10,IFNAR1,BNIP3L,IFNGR1,IVNS1ABP,DMBT1,IRF7,TNF,CHIA,CXCR4,PGLYRP1,CCL4,POLA1,SPN,CD24,LALBA,FOSL1,BCL2,CCL5,TLR7,RSAD2,FGR,CCL11,CFP		1	0.9957971830985914
POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER	0.5586206896551725	0	FOXO1,RUNX1,MED13,RXRA,TNFRSF1A,INHBA,TP53,ARNTL,IL4,CDK7,HIF1A,SMAD3,SQSTM1,SUPT5H,MED6,PLAGL1,FOXD3,SMAD2,MED1,SP1,HNF4A,BMP6		1	0.9957971830985914
PROTEIN_AUTOPROCESSING	0.5494252873563218	0	PAK2,MAP3K9,DYRK1A,MAP3K12,INSR,MAP3K3,UHMK1,IGF1R,TAF1,PAK1,TTN,EIF2AK1,EIF2AK3,AKT1,CAMKK2		1	0.9957971830985914
GLYCOPROTEIN_METABOLIC_PROCESS	0.667816091954023	0	LDLR,CD37,LIPA,ST8SIA3,LRP2,MAN2B1,FUT4,APOA4,OGT,ST8SIA4,DPM2,ACHE,GCNT3,MAGT1,TSPAN8,FUT1,LIPC,PSEN2,B3GALT4,APH1A,GALNT1,B3GALT5,FUT2,GCNT1,SERP1,ST8SIA2,PSEN1,RPN1		1	0.9957971830985914
ORGAN_MORPHOGENESIS	0.6367816091954023	0	MSX1,PITX2,LHX1,COL4A3,NRP1,RUNX1,IL7,HRAS,PAX4,FABP1,CDX1,GAA,NCL,PITX3,SOD1,BAX,SHH,TGFB3,BTG1,FGF10,NPPB,NOTCH2,IL18,VEGFA,ACVRL1,AGGF1,COL9A1,PLG,CHRNA7,NF1,CCL2,NKX6-1,SFTPB,SERPINF1,MYH6,NOTCH4,POU1F1,TNNI3,TLE1,MYH7,RASA1,FGF16,CEBPG,FOXN1,DGCR6,SYK,ELN,RNH1,SCG2,RORB,STX2,GLMN,PF4,PDX1,THY1,COMP,HTT,MYH9,PAX6,EGF,CANX,TGFB2,GNPAT,DCN,EGFL7,NPR1,PTCH1,AES,RHOB,FGF2,ATPIF1,TGFB1		1	0.9957971830985914
