Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_CASCADE	0.7789473684210526	0	VAPA,TLR6,FKBP1A,MAP3K3,GJA1,TICAM1,SECTM1,TNFSF10,SLC20A1,CASP1,FASLG,RIPK1,TRIM38,RHOA,UBE2N,RELA,PPP5C,LTBR,CASP8,RPL17,TNFRSF1A,TRAF3IP2,EEF1D,HMOX1,ATP2C1,TRADD,BST2,LGALS9,TRIM13,CD40,MYD88,PLK2,LITAF,BCL10,FADD,RHOC,PPM1A,LGALS1,TRAF5,REL,TNFRSF10B,HTR2B,ZDHHC17,ECM1,IKBKE,BIRC2,MALT1,F2R,FLNA,RIPK2,TSPAN6,CFLAR,NUP62,TRAF6		1	0.028
MITOTIC_CELL_CYCLE_CHECKPOINT	0.7157894736842104	0	BUB1,KNTC1,CCNA2,PML,GML,MAD2L1,BUB1B,NBN,RAD17,PCBP4,ZWINT,ATM,ZW10,TRIAP1,TTK,CDKN2B,TGFB1		1	0.092
POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	0.7280701754385965	0	CYCS,COL4A3,HIP1,CASP9,EGFR,APOC2,GNAQ,CCKBR,ERN1,PMAIP1,AVPR1B,EDNRA,ANG,GNA15,APAF1,MOAP1,F2,BAX,PPP2R4,PLCB2,RGN,STAT1,TP53,VCP,SMAD3,THY1,NLRP3,CARD8,RALBP1,IFNB1,BBC3,LCK,TNNT2,F2R,AVPR1A,CDKN2A		1	0.095
NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS	0.7315789473684211	0	ACLY,ADCY7,DCK,ALDH6A1,PTH,PTHLH,NME4,CDA,ENTPD4,ERH,TYMS,PRPS1,DGUOK,ADM,ADORA2A,UMPS,CTPS,ADSS,NUDT3,NDUFS1,AMPD3,NME5,ME1,PPAT,DCTD,PGD,ABCA1,GRM8,GUK1,HPRT1,GMPS,CTNS,PAICS,TYMP,FPGS,ADK,FHIT		1	0.087
CASPASE_ACTIVATION	0.7350877192982456	0	SMAD3,CYCS,HIP1,COL4A3,CASP9,IFNB1,PMAIP1,BBC3,APAF1,MOAP1,F2,BAX,LCK,STAT1,F2R,TP53,VCP,CDKN2A		1	0.055
POSITIVE_REGULATION_OF_CASPASE_ACTIVITY	0.7421052631578947	0	SMAD3,CYCS,HIP1,COL4A3,CASP9,NLRP3,CARD8,IFNB1,PMAIP1,BBC3,APAF1,MOAP1,F2,BAX,LCK,STAT1,F2R,TP53,VCP,CDKN2A		1	0.044
NUCLEOTIDE_METABOLIC_PROCESS	0.7526315789473684	0	ACLY,CTPS,ADCY7,DCK,ADSS,NDUFS1,AMPD3,PTH,PTHLH,ME1,PPAT,DCTD,CDA,ENTPD4,PGD,TYMS,ABCA1,GRM8,HPRT1,GUK1,ADM,CTNS,TYMP,ADORA2A,UMPS,FHIT,ADK		1	0.038
MITOCHONDRIAL_TRANSPORT	0.7157894736842104	0	TOMM34,BCL2,BAK1,BNIP3,STARD3,TSPO,MIPEP,HSP90AA1,SLC25A1,MFN2,TIMM44,TIMM17B,TIMM17A,TP53,MTX2,BCL2L1		1	0.081
CYTOKINE_PRODUCTION	0.7403508771929823	0	CD28,TLR6,MAP3K7,CALCA,CEBPG,APOA1,SFTPD,IL12B,TLR1,CADM1,SMAD4,BCL3,ATP6AP2,CD40LG,SOD1,CRTAM,AZU1,SPN,INHBA,CD24,IL4,GLMN,IL18,IL12A,HIF1A,SMAD3,NLRP3,CARD8,LTB,BCL10,IFNG,IL9,TGFB2,SRGN,INHBB,MAST2,EREG,TLR3,IL6,INS,TRAF2,ABCA1,INHA,TNFRSF8,IRF4,MALT1,TRAF6		1	0.089
UBIQUITIN_CYCLE	0.7824561403508772	0	UBE3C,UHRF2,DZIP3,RNF139,SMURF1,TRIM23,BCL10,RNF11,CBL,UBE2C,UBE2V2,USP7,ISG15,VHL,UBE2N,WWP1,ERCC8,UBB,USP33,PRKCG,PARK2,DDB2,AMFR,TSC1,UCHL1,HUWE1,RNF14,UBE2D1,MDM2,CAND1,UBE4B,TRAF6,TSG101,BRCA1		1	0.017
