% Title: Aging, Homo Sapiens Singlenet
% Creator: Vinnie Ramesh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE NEK2 NUMERIC
@ATTRIBUTE NCAPG NUMERIC
@ATTRIBUTE KIF20A NUMERIC
@ATTRIBUTE KIF23 NUMERIC
@ATTRIBUTE ASPM NUMERIC
@ATTRIBUTE TOP2A NUMERIC
@ATTRIBUTE MCM4 NUMERIC
@ATTRIBUTE SRD5A1 NUMERIC
@ATTRIBUTE BIRC5 NUMERIC
@ATTRIBUTE MELK NUMERIC
@ATTRIBUTE FERMT1 NUMERIC
@ATTRIBUTE CHEK1 NUMERIC
@ATTRIBUTE TTK NUMERIC
@ATTRIBUTE BUB1B NUMERIC
@ATTRIBUTE CENPF NUMERIC
@ATTRIBUTE CCNA2 NUMERIC
@ATTRIBUTE KIAA0101 NUMERIC
@ATTRIBUTE CCNB1 NUMERIC
@ATTRIBUTE IGF2BP3 NUMERIC
@ATTRIBUTE TYMS NUMERIC
@ATTRIBUTE SGK1 NUMERIC
@ATTRIBUTE MAD2L1 NUMERIC
@ATTRIBUTE MLF1IP NUMERIC
@ATTRIBUTE RAD51C NUMERIC
@ATTRIBUTE CDC6 NUMERIC
@ATTRIBUTE KIF2C NUMERIC
@ATTRIBUTE PRR5-ARHGAP8 NUMERIC
@ATTRIBUTE DAZAP2 NUMERIC
@ATTRIBUTE DST NUMERIC
@ATTRIBUTE FAM64A NUMERIC
@ATTRIBUTE MMP1 NUMERIC
@ATTRIBUTE STIL NUMERIC
@ATTRIBUTE CIRBP NUMERIC
@ATTRIBUTE GINS1 NUMERIC
@ATTRIBUTE ILF3 NUMERIC
@ATTRIBUTE KIF15 NUMERIC
@ATTRIBUTE ECT2 NUMERIC
@ATTRIBUTE CDC20 NUMERIC
@ATTRIBUTE KPNA2 NUMERIC
@ATTRIBUTE INTS7 NUMERIC
@ATTRIBUTE MYO1B NUMERIC
@ATTRIBUTE GTSE1 NUMERIC
@ATTRIBUTE AURKB NUMERIC
@ATTRIBUTE TMEM48 NUMERIC
@ATTRIBUTE MCM5 NUMERIC
@ATTRIBUTE CAV1 NUMERIC
@ATTRIBUTE CCNE2 NUMERIC
@ATTRIBUTE TCEAL2 NUMERIC
@ATTRIBUTE MCAM NUMERIC
@ATTRIBUTE SLC2A1 NUMERIC
@ATTRIBUTE ANP32E NUMERIC
@ATTRIBUTE SEPT10 NUMERIC
@ATTRIBUTE HIST2H4B NUMERIC
@ATTRIBUTE TGFBR3 NUMERIC
@ATTRIBUTE SPAG5 NUMERIC
@ATTRIBUTE GFPT1 NUMERIC
@ATTRIBUTE MAST2 NUMERIC
@ATTRIBUTE CDT1 NUMERIC
@ATTRIBUTE CDCA8 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE CDKN3 NUMERIC
@ATTRIBUTE ORC6L NUMERIC
@ATTRIBUTE H2AFV NUMERIC
@ATTRIBUTE CXORF57 NUMERIC
@ATTRIBUTE DOCK4 NUMERIC
@ATTRIBUTE SOBP NUMERIC
@ATTRIBUTE TRIP13 NUMERIC
@ATTRIBUTE TK1 NUMERIC
@ATTRIBUTE LARP6 NUMERIC
@ATTRIBUTE TRAK1 NUMERIC
@ATTRIBUTE FERMT2 NUMERIC
@ATTRIBUTE PPP3CB NUMERIC
@ATTRIBUTE ROR1 NUMERIC
@ATTRIBUTE FOXN3 NUMERIC
@ATTRIBUTE HELLS NUMERIC
@ATTRIBUTE HMGB3 NUMERIC
@ATTRIBUTE ANXA3 NUMERIC
@ATTRIBUTE KIAA0494 NUMERIC
@ATTRIBUTE SEMA6A NUMERIC
@ATTRIBUTE KIF4A NUMERIC
@ATTRIBUTE GINS2 NUMERIC
@ATTRIBUTE VCAN NUMERIC
@ATTRIBUTE SRPK1 NUMERIC
@ATTRIBUTE NPM1 NUMERIC
@ATTRIBUTE LMBRD1 NUMERIC
@ATTRIBUTE HN1 NUMERIC
@ATTRIBUTE FKBP11 NUMERIC
@ATTRIBUTE GTF2IRD1 NUMERIC
@ATTRIBUTE EXOSC4 NUMERIC
@ATTRIBUTE TXNIP NUMERIC
@ATTRIBUTE WHSC1 NUMERIC
@ATTRIBUTE EZH2 NUMERIC
@ATTRIBUTE PGK1 NUMERIC
@ATTRIBUTE MCM6 NUMERIC
@ATTRIBUTE SERINC2 NUMERIC
@ATTRIBUTE DNAJB4 NUMERIC
@ATTRIBUTE PPP1R12B NUMERIC
@ATTRIBUTE AK2 NUMERIC
@ATTRIBUTE KPNA1 NUMERIC
@ATTRIBUTE NLRP1 NUMERIC
@ATTRIBUTE GART NUMERIC
@ATTRIBUTE DMD NUMERIC
@ATTRIBUTE REEP5 NUMERIC

@DATA
Control,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Control,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Control,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Control,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Control,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Control,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Control,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Infected,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Infected,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Infected,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0
Infected,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
