@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 90-weka.filters.unsupervised.attribute.NumericToBinary'

@attribute GSDMD numeric
@attribute FNDC3A_binarized {0,1}
@attribute PAX4_binarized {0,1}
@attribute C2ORF34_binarized {0,1}
@attribute MUT_binarized {0,1}
@attribute OR1F2P_binarized {0,1}
@attribute ZFP36L1_binarized {0,1}
@attribute TMEM48_binarized {0,1}
@attribute C6ORF26_binarized {0,1}
@attribute ESRP2_binarized {0,1}
@attribute PFKL_binarized {0,1}
@attribute RNF103_binarized {0,1}
@attribute CEP68_binarized {0,1}
@attribute ZNF335_binarized {0,1}
@attribute APOE_binarized {0,1}
@attribute SEMA3F_binarized {0,1}
@attribute TCN2_binarized {0,1}
@attribute ENOSF1_binarized {0,1}
@attribute GOLGA1_binarized {0,1}
@attribute FCGR2C_binarized {0,1}
@attribute NCDN_binarized {0,1}
@attribute TCIRG1_binarized {0,1}
@attribute BRD7P3_binarized {0,1}
@attribute ST3GAL2_binarized {0,1}
@attribute SFI1_binarized {0,1}
@attribute FARP1_binarized {0,1}
@attribute STX6_binarized {0,1}
@attribute CTTN_binarized {0,1}
@attribute KIR3DX1_binarized {0,1}
@attribute VPS13D_binarized {0,1}
@attribute MIA3_binarized {0,1}
@attribute GPR3_binarized {0,1}
@attribute TPSB2_binarized {0,1}
@attribute CDC20_binarized {0,1}
@attribute L3MBTL_binarized {0,1}
@attribute SMARCA1_binarized {0,1}
@attribute IGL@_binarized {0,1}
@attribute RABEP2_binarized {0,1}
@attribute FRY_binarized {0,1}
@attribute IHH_binarized {0,1}
@attribute CPNE7_binarized {0,1}
@attribute PARD6B_binarized {0,1}
@attribute PHF3_binarized {0,1}
@attribute MAP3K12_binarized {0,1}
@attribute INTS3_binarized {0,1}
@attribute ICAM3_binarized {0,1}
@attribute MCFD2_binarized {0,1}
@attribute COMT_binarized {0,1}
@attribute CYHR1_binarized {0,1}
@attribute SIPA1L3_binarized {0,1}
@attribute HEY2_binarized {0,1}
@attribute WDR55_binarized {0,1}
@attribute SEZ6L_binarized {0,1}
@attribute SYDE1_binarized {0,1}
@attribute AGXT_binarized {0,1}
@attribute RUFY3_binarized {0,1}
@attribute ARF3_binarized {0,1}
@attribute RGS5_binarized {0,1}
@attribute TTF2_binarized {0,1}
@attribute MUM1_binarized {0,1}
@attribute DNPEP_binarized {0,1}
@attribute BCKDHA_binarized {0,1}
@attribute ZNF267_binarized {0,1}
@attribute SDC3_binarized {0,1}
@attribute ISG20_binarized {0,1}
@attribute DOPEY1_binarized {0,1}
@attribute PERP_binarized {0,1}
@attribute ANXA9_binarized {0,1}
@attribute APITD1_binarized {0,1}
@attribute PAR5_binarized {0,1}
@attribute INO80B_binarized {0,1}
@attribute NSDHL_binarized {0,1}
@attribute DCLRE1C_binarized {0,1}
@attribute KCNJ5_binarized {0,1}
@attribute UBE2D3_binarized {0,1}
@attribute TDRD3_binarized {0,1}
@attribute DYRK1A_binarized {0,1}
@attribute OR51E2_binarized {0,1}
@attribute SLCO2B1_binarized {0,1}
@attribute C17ORF86_binarized {0,1}
@attribute DTYMK_binarized {0,1}
@attribute DIAPH1_binarized {0,1}
@attribute LZTS1_binarized {0,1}
@attribute RCHY1_binarized {0,1}
@attribute COX15_binarized {0,1}
@attribute TNFAIP3_binarized {0,1}
@attribute LMAN2_binarized {0,1}
@attribute GPC1_binarized {0,1}
@attribute PHLDB1_binarized {0,1}
@attribute KAT2A_binarized {0,1}
@attribute class {Control,Infected}

@data
0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,Control
0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,Control
0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,Control
0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,Control
0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,Control
0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,Infected
1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,Infected
0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,Infected
1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,Infected
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,Control
