disease,experiment,threshold,features,difference,difference number
Acne_Vulgaris,GDS2478,10,10,0,0
Acne_Vulgaris,GDS2478,10,20,-1,-100
Acne_Vulgaris,GDS2478,10,30,-1,-100
Acne_Vulgaris,GDS2478,10,40,-1,-100
Acne_Vulgaris,GDS2478,10,50,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
Acne_Vulgaris,GDS3215,10,10,0,0
Acne_Vulgaris,GDS3215,10,20,0,0
Acne_Vulgaris,GDS3215,10,30,0,0
Acne_Vulgaris,GDS3215,10,40,0,0
Acne_Vulgaris,GDS3215,10,50,0,0
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
Acne_Vulgaris,GDS3218,10,10,0,0
Acne_Vulgaris,GDS3218,10,20,1,100
Acne_Vulgaris,GDS3218,10,30,1,100
Acne_Vulgaris,GDS3218,10,40,1,100
Acne_Vulgaris,GDS3218,10,50,1,100
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
Acne_Vulgaris,GDS2478,20,10,-1,-50
Acne_Vulgaris,GDS2478,20,20,-1,-50
Acne_Vulgaris,GDS2478,20,30,-1,-50
Acne_Vulgaris,GDS2478,20,40,-1,-50
Acne_Vulgaris,GDS2478,20,50,-1,-50
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
Acne_Vulgaris,GDS3215,20,10,-1,-100
Acne_Vulgaris,GDS3215,20,20,-1,-100
Acne_Vulgaris,GDS3215,20,30,-1,-100
Acne_Vulgaris,GDS3215,20,40,-1,-100
Acne_Vulgaris,GDS3215,20,50,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
Acne_Vulgaris,GDS3218,20,10,0,0
Acne_Vulgaris,GDS3218,20,20,1,100
Acne_Vulgaris,GDS3218,20,30,1,100
Acne_Vulgaris,GDS3218,20,40,1,100
Acne_Vulgaris,GDS3218,20,50,1,100
,,,,0,0
,,,,0,0
,,,,0,0
,,,,0,0
Acne_Vulgaris,GDS2478,30,10,-1,-50
Acne_Vulgaris,GDS2478,30,20,-1,-25
Acne_Vulgaris,GDS2478,30,30,-1,-25
Acne_Vulgaris,GDS2478,30,40,-1,-25
Acne_Vulgaris,GDS2478,30,50,-1,-25
,,,,-1,-75
,,,,-1,-75
,,,,-1,-75
,,,,-1,-75
Acne_Vulgaris,GDS3215,30,10,-1,-100
Acne_Vulgaris,GDS3215,30,20,-1,-100
Acne_Vulgaris,GDS3215,30,30,-1,-100
Acne_Vulgaris,GDS3215,30,40,-1,-100
Acne_Vulgaris,GDS3215,30,50,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
Acne_Vulgaris,GDS3218,30,10,-1,-33.3333
Acne_Vulgaris,GDS3218,30,20,-1,-33.3333
Acne_Vulgaris,GDS3218,30,30,-1,-33.3333
Acne_Vulgaris,GDS3218,30,40,1,66.6667
Acne_Vulgaris,GDS3218,30,50,1,66.6667
,,,,-1,-33.3333
,,,,-1,-33.3333
,,,,-1,-33.3333
,,,,-1,-33.3333
Acne_Vulgaris,GDS2478,40,10,-1,-40
Acne_Vulgaris,GDS2478,40,20,0,0
Acne_Vulgaris,GDS2478,40,30,-1,-20
Acne_Vulgaris,GDS2478,40,40,-1,-20
Acne_Vulgaris,GDS2478,40,50,-1,-20
,,,,-1,-80
,,,,-1,-80
,,,,-1,-80
,,,,-1,-80
Acne_Vulgaris,GDS3215,40,10,-1,-100
Acne_Vulgaris,GDS3215,40,20,-1,-100
Acne_Vulgaris,GDS3215,40,30,-1,-100
Acne_Vulgaris,GDS3215,40,40,-1,-100
Acne_Vulgaris,GDS3215,40,50,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
Acne_Vulgaris,GDS3218,40,10,-1,-25
Acne_Vulgaris,GDS3218,40,20,1,25
Acne_Vulgaris,GDS3218,40,30,1,25
Acne_Vulgaris,GDS3218,40,40,1,25
Acne_Vulgaris,GDS3218,40,50,1,25
,,,,-1,-50
,,,,-1,-50
,,,,-1,-50
,,,,-1,-25
Acne_Vulgaris,GDS2478,50,10,-1,-33.3333
Acne_Vulgaris,GDS2478,50,20,-1,-16.6666
Acne_Vulgaris,GDS2478,50,30,-1,-16.6666
Acne_Vulgaris,GDS2478,50,40,-1,-16.6666
Acne_Vulgaris,GDS2478,50,50,-1,-16.6666
,,,,-1,-83.3333
,,,,-1,-83.3333
,,,,-1,-83.3333
,,,,-1,-83.3333
Acne_Vulgaris,GDS3215,50,10,-1,-66.6667
Acne_Vulgaris,GDS3215,50,20,-1,-66.6667
Acne_Vulgaris,GDS3215,50,30,-1,-66.6667
Acne_Vulgaris,GDS3215,50,40,-1,-66.6667
Acne_Vulgaris,GDS3215,50,50,-1,-66.6667
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
,,,,-1,-100
Acne_Vulgaris,GDS3218,50,10,-1,-33.3333
Acne_Vulgaris,GDS3218,50,20,-1,-33.3333
Acne_Vulgaris,GDS3218,50,30,-1,-16.6667
Acne_Vulgaris,GDS3218,50,40,-1,-16.6667
