disease,integration type,experiment,threshold,features,accuracy,test instances,train instances,total_instances
HIV,single,GDS1580,10,100,42.8571,1,7,8
HIV,single,GDS1580,10,200,42.8571,1,7,8
HIV,single,GDS1580,10,300,42.8571,1,7,8
HIV,single,GDS1580,10,400,42.8571,1,7,8
HIV,single,GDS1580,10,500,42.8571,1,7,8
HIV,single,GDS1580,10,600,42.8571,1,7,8
HIV,single,GDS1580,10,700,42.8571,1,7,8
HIV,single,GDS1580,10,800,42.8571,1,7,8
HIV,single,GDS1580,10,900,42.8571,1,7,8
HIV,single,GDS1726,10,100,56,3,25,28
HIV,single,GDS1726,10,200,52,3,25,28
HIV,single,GDS1726,10,300,56,3,25,28
HIV,single,GDS1726,10,400,60,3,25,28
HIV,single,GDS1726,10,500,60,3,25,28
HIV,single,GDS1726,10,600,60,3,25,28
HIV,single,GDS1726,10,700,60,3,25,28
HIV,single,GDS1726,10,800,60,3,25,28
HIV,single,GDS1726,10,900,60,3,25,28
HIV,single,GDS2883,10,100,40,1,5,6
HIV,single,GDS2883,10,200,40,1,5,6
HIV,single,GDS2883,10,300,40,1,5,6
HIV,single,GDS2883,10,400,40,1,5,6
HIV,single,GDS2883,10,500,40,1,5,6
HIV,single,GDS2883,10,600,40,1,5,6
HIV,single,GDS2883,10,700,40,1,5,6
HIV,single,GDS2883,10,800,40,1,5,6
HIV,single,GDS2883,10,900,40,1,5,6
HIV,single,GDS1580,20,100,33.3333,2,6,8
HIV,single,GDS1580,20,200,33.3333,2,6,8
HIV,single,GDS1580,20,300,33.3333,2,6,8
HIV,single,GDS1580,20,400,33.3333,2,6,8
HIV,single,GDS1580,20,500,33.3333,2,6,8
HIV,single,GDS1580,20,600,33.3333,2,6,8
HIV,single,GDS1580,20,700,33.3333,2,6,8
HIV,single,GDS1580,20,800,33.3333,2,6,8
HIV,single,GDS1580,20,900,33.3333,2,6,8
HIV,single,GDS1726,20,100,54.5455,6,22,28
HIV,single,GDS1726,20,200,54.5455,6,22,28
HIV,single,GDS1726,20,300,54.5455,6,22,28
HIV,single,GDS1726,20,400,54.5455,6,22,28
HIV,single,GDS1726,20,500,50,6,22,28
HIV,single,GDS1726,20,600,50,6,22,28
HIV,single,GDS1726,20,700,50,6,22,28
HIV,single,GDS1726,20,800,50,6,22,28
HIV,single,GDS1726,20,900,50,6,22,28
HIV,single,GDS2883,20,100,100,2,4,6
HIV,single,GDS2883,20,200,100,2,4,6
HIV,single,GDS2883,20,300,100,2,4,6
