disease,integration type,experiment,threshold,features,accuracy,test instances,train instances,total_instances,species
Acne_Vulgaris,single,GDS2478,10,10,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,20,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,30,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,40,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,50,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,60,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,70,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,80,100,17,1,18,HS
Acne_Vulgaris,single,GDS2478,10,90,100,17,1,18,HS
Acne_Vulgaris,single,GDS3215,10,10,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,20,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,30,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,40,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,50,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,60,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,70,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,80,0,6,0,6,HS
Acne_Vulgaris,single,GDS3215,10,90,0,6,0,6,HS
Acne_Vulgaris,single,GDS3218,10,10,0,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,20,0,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,30,0,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,40,100,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,50,100,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,60,100,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,70,100,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,80,100,11,1,12,HS
Acne_Vulgaris,single,GDS3218,10,90,100,11,1,12,HS
Acne_Vulgaris,single,GDS2478,20,10,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,20,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,30,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,40,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,50,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,60,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,70,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,80,100,15,3,18,HS
Acne_Vulgaris,single,GDS2478,20,90,100,15,3,18,HS
Acne_Vulgaris,single,GDS3215,20,10,100,5,1,6,HS
Acne_Vulgaris,single,GDS3215,20,20,100,5,1,6,HS
Acne_Vulgaris,single,GDS3215,20,30,100,5,1,6,HS
Acne_Vulgaris,single,GDS3215,20,40,100,5,1,6,HS
