features,single accuracy,multi accuracy
10,90.0,63.6364
10,50.0,25.0
10,16.6667,50.0
10,72.7273,37.5
10,25.0,66.6667
10,75.0,40.0
10,87.5,70.0
10,83.3333,100.0
10,60.0,100.0
10,90.0,66.6667
10,100.0,63.6364
10,100.0,25.0
10,66.6667,52.6316
10,90.9091,46.1538
10,25.0,53.8462
10,100.0,50.0
10,46.1538,100.0
10,69.2308,100.0
10,75.0,91.6667
10,88.8889,53.8462
10,88.8889,75.0
10,100.0,50.0
20,90.0,63.6364
20,100.0,25.0
20,16.6667,50.0
20,90.9091,37.5
20,25.0,66.6667
20,75.0,30.0
20,62.5,80.0
20,83.3333,100.0
20,70.0,100.0
20,100.0,66.6667
20,100.0,36.3636
20,87.5,25.0
20,66.6667,52.6316
20,81.8182,46.1538
20,25.0,53.8462
20,94.7368,50.0
20,69.2308,100.0
20,76.9231,100.0
20,100.0,91.6667
20,88.8889,53.8462
20,88.8889,75.0
20,91.6667,50.0
30,90.0,63.6364
30,100.0,25.0
30,16.6667,50.0
30,90.9091,50.0
30,25.0,66.6667
30,75.0,30.0
30,62.5,70.0
30,83.3333,100.0
30,70.0,100.0
30,100.0,66.6667
30,100.0,27.2727
30,87.5,25.0
30,66.6667,52.6316
30,100.0,46.1538
30,25.0,53.8462
30,89.4737,50.0
30,61.5385,100.0
30,61.5385,100.0
30,100.0,91.6667
30,88.8889,69.2308
30,88.8889,75.0
30,100.0,50.0
40,90.0,63.6364
40,100.0,25.0
40,16.6667,50.0
40,90.9091,62.5
40,25.0,66.6667
40,75.0,50.0
40,62.5,70.0
40,83.3333,100.0
40,70.0,100.0
40,90.0,66.6667
40,100.0,27.2727
40,87.5,25.0
40,66.6667,52.6316
40,100.0,46.1538
40,25.0,53.8462
40,89.4737,50.0
40,61.5385,100.0
40,61.5385,100.0
40,100.0,91.6667
40,88.8889,69.2308
40,88.8889,75.0
40,100.0,50.0
50,90.0,63.6364
50,100.0,25.0
50,16.6667,50.0
50,90.9091,62.5
50,25.0,83.3333
50,75.0,30.0
50,75.0,80.0
50,83.3333,100.0
50,70.0,100.0
50,90.0,52.6316
50,100.0,46.1538
50,87.5,53.8462
50,66.6667,75.0
50,90.9091,100.0
50,25.0,100.0
50,89.4737,100.0
50,61.5385,65.3846
50,61.5385,75.0
50,100.0,50.0
60,90.0,62.5
60,100.0,83.3333
60,16.6667,50.0
60,90.9091,80.0
60,25.0,100.0
60,75.0,100.0
60,62.5,52.6316
60,83.3333,46.1538
60,70.0,53.8462
60,90.0,50.0
60,100.0,100.0
60,87.5,100.0
60,66.6667,91.6667
60,90.9091,53.8462
60,25.0,66.6667
60,89.4737,40.0
70,90.0,50.0
70,100.0,83.3333
70,16.6667,40.0
70,90.9091,80.0
70,25.0,100.0
70,75.0,100.0
70,62.5,100.0
70,83.3333,100.0
70,70.0,83.3333
70,90.0,50.0
70,100.0,66.6667
70,87.5,40.0
80,90.0,50.0
80,100.0,83.3333
80,16.6667,40.0
80,90.9091,80.0
80,25.0,100.0
80,62.5,87.5
80,62.5,100.0
80,83.3333,100.0
80,70.0,83.3333
80,90.0,53.8462
80,100.0,91.6667
80,87.5,50.0
90,100.0,50.0
90,100.0,83.3333
90,16.6667,40.0
90,90.9091,80.0
90,25.0,100.0
90,62.5,87.5
90,75.0,100.0
90,83.3333,100.0
90,70.0,83.3333
90,90.0,53.8462
90,100.0,83.3333
90,87.5,50.0
