features,thresholdtype,accuracy,,,,,,
,,,,,,,,
200,10,single,42.8571,,200,10,multi,42.8571
,,,,,,,,
200,10,single,52,,200,10,multi,52
,,,,,,,,
200,10,single,40,,200,10,multi,40
,,,,,,,,
200,10,single,87.5,,200,10,multi,87.5
,,,,,,,,
200,10,single,40,,200,10,multi,40
,,,,,,,,
200,10,single,40,,200,10,multi,40
,,,,,,,,
200,10,single,33.3333,,200,10,multi,33.3333
,,,,,,,,
200,10,single,33.3333,,200,10,multi,33.3333
,,,,,,,,
200,20,single,33.3333,,200,20,multi,33.3333
,,,,,,,,
200,20,single,54.5455,,200,20,multi,54.5455
,,,,,,,,
200,20,single,100,,200,20,multi,100
,,,,,,,,
200,20,single,78.5714,,200,20,multi,78.5714
,,,,,,,,
200,20,single,25,,200,20,multi,25
,,,,,,,,
200,20,single,33.3333,,200,20,multi,33.3333
,,,,,,,,
200,20,single,33.3333,,200,20,multi,33.3333
,,,,,,,,
200,20,single,33.3333,,200,20,multi,33.3333
,,,,,,,,
200,30,single,20,,200,30,multi,20
,,,,,,,,
200,30,single,47.3684,,200,30,multi,47.3684
,,,,,,,,
200,30,single,100,,200,30,multi,100
,,,,,,,,
200,30,single,100,,200,30,multi,100
,,,,,,,,
200,30,single,25,,200,30,multi,25
,,,,,,,,
200,30,single,37.5,,200,30,multi,37.5
,,,,,,,,
200,30,single,0,,200,30,multi,0
,,,,,,,,
200,30,single,50,,200,30,multi,50
,,,,,,,,
200,50,single,88.8889,,200,50,multi,88.8889
,,,,,,,,
200,50,single,100,,200,50,multi,100
,,,,,,,,
200,50,single,33.3333,,200,50,multi,33.3333
,,,,,,,,
200,50,single,0,,200,50,multi,0
,,,,,,,,
200,50,single,50,,200,50,multi,50
,,,,,,,,
200,40,single,100,,200,40,multi,100
,,,,,,,,
200,40,single,50,,200,40,multi,50
,,,,,,,,
200,40,single,100,,200,40,multi,100
,,,,,,,,
200,40,single,100,,200,40,multi,100
,,,,,,,,
200,40,single,0,,200,40,multi,0
,,,,,,,,
200,40,single,28.5714,,200,40,multi,28.5714
,,,,,,,,
200,40,single,0,,200,40,multi,0
,,,,,,,,
200,40,single,50,,200,40,multi,50
,,,,,,,,
200,60,single,85.7143,,200,60,multi,85.7143
,,,,,,,,
200,60,single,50,,200,60,multi,50
,,,,,,,,
200,60,single,25,,200,60,multi,25
,,,,,,,,
200,60,single,100,,200,60,multi,100
,,,,,,,,
200,60,single,0,,200,60,multi,0
,,,,,,,,
200,70,single,80,,200,70,multi,80
,,,,,,,,
200,70,single,100,,200,70,multi,100
,,,,,,,,
200,70,single,0,,200,70,multi,0
,,,,,,,,
200,70,single,100,,200,70,multi,100
,,,,,,,,
200,70,single,0,,200,70,multi,0
,,,,,,,,
200,90,single,100,,200,90,multi,100
,,,,,,,,
200,90,single,0,,200,90,multi,0
,,,,,,,,
200,90,single,0,,200,90,multi,0
,,,,,,,,
200,90,single,0,,200,90,multi,0
,,,,,,,,
200,90,single,0,,200,90,multi,0
,,,,,,,,
200,80,single,100,,200,80,multi,100
,,,,,,,,
200,80,single,100,,200,80,multi,100
,,,,,,,,
200,80,single,0,,200,80,multi,0
,,,,,,,,
200,80,single,0,,200,80,multi,0
,,,,,,,,
200,80,single,0,,200,80,multi,0
,,,,,,,,
900,10,single,42.8571,,900,10,multi,42.8571
,,,,,,,,
900,10,single,60,,900,10,multi,60
,,,,,,,,
900,10,single,40,,900,10,multi,40
,,,,,,,,
900,10,single,87.5,,900,10,multi,87.5
,,,,,,,,
900,10,single,40,,900,10,multi,40
,,,,,,,,
900,10,single,40,,900,10,multi,40
,,,,,,,,
900,10,single,33.3333,,900,10,multi,33.3333
,,,,,,,,
900,10,single,33.3333,,900,10,multi,33.3333
,,,,,,,,
900,20,single,33.3333,,900,20,multi,33.3333
,,,,,,,,
900,20,single,50,,900,20,multi,50
,,,,,,,,
900,20,single,100,,900,20,multi,100
,,,,,,,,
900,20,single,42.8571,,900,20,multi,42.8571
,,,,,,,,
900,20,single,25,,900,20,multi,25
,,,,,,,,
900,20,single,33.3333,,900,20,multi,33.3333
,,,,,,,,
900,20,single,33.3333,,900,20,multi,33.3333
,,,,,,,,
900,20,single,33.3333,,900,20,multi,33.3333
,,,,,,,,
900,30,single,20,,900,30,multi,20
,,,,,,,,
900,30,single,52.6316,,900,30,multi,52.6316
,,,,,,,,
900,30,single,100,,900,30,multi,100
,,,,,,,,
900,30,single,100,,900,30,multi,100
,,,,,,,,
900,30,single,25,,900,30,multi,25
,,,,,,,,
900,30,single,37.5,,900,30,multi,37.5
,,,,,,,,
900,30,single,100,,900,30,multi,100
,,,,,,,,
900,30,single,0,,900,30,multi,0
,,,,,,,,
900,50,single,88.8889,,900,50,multi,88.8889
,,,,,,,,
900,50,single,33.3333,,900,50,multi,33.3333
,,,,,,,,
900,50,single,33.3333,,900,50,multi,33.3333
,,,,,,,,
900,50,single,100,,900,50,multi,100
,,,,,,,,
900,50,single,0,,900,50,multi,0
,,,,,,,,
900,40,single,100,,900,40,multi,100
,,,,,,,,
900,40,single,50,,900,40,multi,50
,,,,,,,,
900,40,single,100,,900,40,multi,100
,,,,,,,,
900,40,single,100,,900,40,multi,100
,,,,,,,,
900,40,single,0,,900,40,multi,0
,,,,,,,,
900,40,single,28.5714,,900,40,multi,28.5714
,,,,,,,,
900,40,single,100,,900,40,multi,100
,,,,,,,,
900,40,single,0,,900,40,multi,0
,,,,,,,,
900,60,single,85.7143,,900,60,multi,85.7143
,,,,,,,,
900,60,single,0,,900,60,multi,0
,,,,,,,,
900,60,single,25,,900,60,multi,25
,,,,,,,,
900,60,single,100,,900,60,multi,100
,,,,,,,,
900,60,single,0,,900,60,multi,0
,,,,,,,,
900,70,single,80,,900,70,multi,80
,,,,,,,,
900,70,single,0,,900,70,multi,0
,,,,,,,,
900,70,single,0,,900,70,multi,0
,,,,,,,,
