features,train instances,type,accuracy
200,1.0,single,42.8571
200,1.0,single,40.0
200,1.0,single,40.0
200,1.0,single,33.3333
200,1.0,single,33.3333
200,1.0,single,33.3333
200,1.0,single,33.3333
200,2.0,single,33.3333
200,2.0,single,100.0
200,2.0,single,100.0
200,2.0,single,87.5
200,2.0,single,40.0
200,2.0,single,25.0
200,2.0,single,25.0
200,2.0,single,0.0
200,2.0,single,50.0
200,2.0,single,0.0
200,2.0,single,50.0
200,2.0,single,0.0
200,2.0,single,50.0
200,3.0,single,52.0
200,3.0,single,20.0
200,3.0,single,100.0
200,3.0,single,33.3333
200,3.0,single,0.0
200,3.0,single,100.0
200,3.0,single,100.0
200,3.0,single,0.0
200,3.0,single,100.0
200,3.0,single,0.0
200,4.0,single,100.0
200,4.0,single,78.5714
200,4.0,single,37.5
200,4.0,single,50.0
200,4.0,single,0.0
200,4.0,single,0.0
200,4.0,single,0.0
200,4.0,single,0.0
200,5.0,single,28.5714
200,5.0,single,100.0
200,5.0,single,100.0
200,6.0,single,54.5455
200,6.0,single,100.0
200,6.0,single,33.3333
200,6.0,single,0.0
200,8.0,single,100.0
200,8.0,single,25.0
200,9.0,single,47.3684
200,9.0,single,88.8889
200,9.0,single,0.0
200,10.0,single,0.0
200,11.0,single,85.7143
200,11.0,single,0.0
200,12.0,single,50.0
200,13.0,single,80.0
200,15.0,single,100.0
200,17.0,single,100.0
900,1.0,single,42.8571
900,1.0,single,40.0
900,1.0,single,40.0
900,1.0,single,33.3333
900,1.0,single,33.3333
900,1.0,single,33.3333
900,1.0,single,33.3333
900,2.0,single,33.3333
900,2.0,single,100.0
900,2.0,single,100.0
900,2.0,single,87.5
900,2.0,single,40.0
900,2.0,single,25.0
900,2.0,single,25.0
900,2.0,single,100.0
900,2.0,single,0.0
900,2.0,single,100.0
900,2.0,single,0.0
900,2.0,single,100.0
900,2.0,single,0.0
900,3.0,single,60.0
900,3.0,single,20.0
900,3.0,single,100.0
900,3.0,single,33.3333
900,3.0,single,0.0
900,3.0,single,33.3333
900,3.0,single,100.0
900,3.0,single,0.0
900,3.0,single,100.0
900,3.0,single,0.0
900,4.0,single,100.0
900,4.0,single,42.8571
900,4.0,single,37.5
900,4.0,single,0.0
900,4.0,single,0.0
900,4.0,single,0.0
900,4.0,single,0.0
900,4.0,single,0.0
900,5.0,single,28.5714
900,5.0,single,0.0
900,5.0,single,0.0
900,6.0,single,50.0
900,6.0,single,100.0
900,6.0,single,33.3333
900,6.0,single,0.0
900,8.0,single,100.0
900,8.0,single,25.0
900,9.0,single,52.6316
900,9.0,single,88.8889
900,9.0,single,0.0
900,10.0,single,0.0
900,11.0,single,85.7143
900,11.0,single,0.0
900,12.0,single,50.0
900,13.0,single,80.0
900,15.0,single,100.0
1400,2.0,single,100.0
1400,2.0,single,0.0
1400,2.0,single,100.0
1400,2.0,single,0.0
1400,2.0,single,100.0
1400,2.0,single,50.0
1400,3.0,single,100.0
1400,3.0,single,0.0
1400,3.0,single,100.0
1400,3.0,single,0.0
1400,1.0,single,33.3333
1400,1.0,single,33.3333
1400,1.0,single,33.3333
1400,1.0,single,33.3333
1400,4.0,single,0.0
1400,4.0,single,0.0
1400,4.0,single,0.0
