 
Annotation project is created:  C:\home\skanda\PRIMES\data\cogend-sync-data\cogend-snp-partitions\snp-partition-1b-33000-66000.wr.wga.
Reading SNPs to be annotated: snp-partition-1b-33000-66000.wr.
33000 SNPs to be annotated.
SNP rs7536086 was not found.
SNP rs4593846 was not found.
SNP rs35664265 was not found.
SNP rs2303873 was not found.
SNP rs2797415 was not found.
SNP rs12022378 was not found.
SNP rs28628360 was not found.
SNP rs28688240 was not found.
SNP rs34283893 was not found.
SNP rs35263946 was not found.
SNP rs34465310 was not found.
SNP rs9424933 was not found.
SNP rs10888390 was not found.
SNP rs3953061 was not found.
SNP rs8192284 was not found.
SNP rs3180018 was not found.
SNP rs1765278 was not found.
SNP rs4417060 was not found.
SNP rs4987310 was not found.
SNP rs3177980 was not found.
SNP rs7517376 was not found.
SNP rs3177676 was not found.
SNP rs16847681 was not found.
SNP rs4418557 was not found.
SNP rs1750074 was not found.
SNP rs4651146 was not found.
SNP rs12129883 was not found.
SNP rs35432544 was not found.
SNP rs35976751 was not found.
SNP rs10920105 was not found.
SNP rs10746422 was not found.
SNP rs4592308 was not found.
SNP rs7526425 was not found.
SNP rs10429965 was not found.
SNP rs6669367 was not found.
SNP rs8192658 was not found.
SNP rs3738372 was not found.
SNP rs2376852 was not found.
Brief annotation is done for file: snp-partition-1b-33000-66000.wr.
