Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
BRAIN_DEVELOPMENT	0.6855403777876277	358	PITPNM1,UTP3,DSCAML1,PCDH18,CLN5,MAP1S,POU6F1,ALX1,ALK,DLX2,SIX3,NNAT,LHX6,SHROOM2,SMARCA1,CNTN4	rs886128,rs4444478,rs13061928,rs1861164,rs886129,rs1033237,rs12330377,rs12328429,rs6786174,rs9845036,rs17024684,rs7626866,rs3795850,rs7252905,rs3793621,rs9847797,rs2675289,rs9852580,rs1554198,rs4603339,rs17327524,rs6787320,rs989798,rs7626135,rs9864546,rs17021477,rs2616585,rs3131272,rs11888500,rs8114231,rs7635644,rs17024492,rs3793617,rs17010936,rs4637279,rs9310890,rs3819132,rs2276549,rs12494696,rs2238884,rs1154721,rs17121246,rs2238886,rs12291974,rs7625369,rs1324149,rs2283703,rs4234555,rs7945999,rs4837949,rs4510175,rs9820464,rs4343610,rs6637604,rs6637605,rs1076167,rs6731938,rs2176262,rs2238888,rs17321218,rs10747607,rs3750486,rs9873966,rs2287860,rs17646346,rs13025743,rs13060035,rs5934722,rs12321105,rs1499139,rs1973683,rs1499130,rs2105634,rs6637612,rs12993382,rs2729287,rs3733488,rs6637615,rs17585537,rs1499133,rs10177708,rs17022164,rs9821317,rs2729289,rs1499135,rs729752,rs7611903,rs6547982,rs5977099,rs6547918,rs11604662,rs13068264,rs10415815,rs9874811,rs13020484,rs5977093,rs4830679,rs12633402,rs12795949,rs4830676,rs6580806,rs11129265,rs6580809,rs4685582,rs17007625,rs7603844,rs7637662,rs9684994,rs10818651,rs10818652,rs6634745,rs13422564,rs3118098,rs17646423,rs6766259,rs11673001,rs2673270,rs6790762,rs4685595,rs7356030,rs2675304,rs965396,rs2675301,rs17023434,rs2320957,rs2320958,rs10985568,rs4666200,rs4685592,rs6803232,rs6589622,rs1358516,rs10410487,rs642394,rs12497706,rs13406263,rs338076,rs12185589,rs17716734,rs6799919,rs10985563,rs11216534,rs10892169,rs17023926,rs9715105,rs9853379,rs11169752,rs4567890,rs6708752,rs2274093,rs17012676,rs11216527,rs7637988,rs344386,rs17595976,rs4622670,rs2073941,rs1026277,rs3851576,rs3131265,rs2073945,rs6762178,rs2073943,rs2201923,rs9310866,rs4685575,rs7649063,rs10405032,rs12638165,rs2320830,rs17025031,rs10432706,rs3749363,rs13394509,rs10432708,rs11688109,rs10818649,rs751056,rs7646097,rs7599783,rs10818647,rs7124184,rs11169748,rs9869344,rs12099841,rs9872038,rs149467,rs12328903,rs13132611,rs13095949,rs528431,rs2155387,rs7940638,rs7611703,rs9822614,rs17311045,rs168165,rs876254,rs2728024,rs767460,rs2055320,rs13031061,rs625447,rs3815016,rs6529381,rs17586876,rs17019317,rs7629924,rs6529384,rs13081043,rs3761055,rs1881417,rs1024147,rs1590395,rs7648232,rs4608676,rs4576856,rs2728030,rs6750752,rs2728034,rs12631108,rs6781913,rs6529374,rs12476676,rs2239421,rs12012202,rs2239422,rs11675197,rs13315983,rs4502372,rs2239425,rs6640557,rs2239419,rs1924476,rs4830425,rs7638622,rs6640551,rs2728047,rs6640552,rs4666196,rs7644104,rs10783419,rs11116772,rs10783418,rs9310928,rs13080275,rs3863310,rs6512218,rs7574859,rs9839494,rs10783416,rs6640569,rs4350702,rs9837045,rs13088151,rs3967317,rs7617493,rs10760213,rs9310923,rs17586083,rs12810608,rs6809399,rs7253117,rs17716681,rs6442749,rs2055318,rs10184494,rs10790208,rs1004308,rs6779663,rs2012821,rs6785817,rs1545771,rs1382871,rs1391937,rs12985015,rs12345155,rs10510248,rs10510247,rs3788949,rs4074726,rs6795508,rs11738,rs1420021,rs5018731,rs12635996,rs17018664,rs10510243,rs10735832,rs1516383,rs4666288,rs10510245,rs17023766,rs17022006,rs11608364,rs10510240,rs1391933,rs10510241,rs9842399,rs3788950,rs10510242,rs1391927,rs7648792,rs13077493,rs6442761,rs6442763,rs344405,rs344406,rs10510239,rs344403,rs11825655,rs344404,rs12715157,rs9286351,rs9815595,rs344409,rs3118104,rs17019466,rs8111532,rs9845519,rs7646667,rs7589120,rs17784025,rs11681922,rs2729046,rs13324651,rs7924993,rs12423352,rs7119911,rs12715145,rs13413749,rs13089241,rs1858884,rs340804,rs163543,rs7940750,rs6442772,rs5932625,rs12010339,rs1949342,rs9821347,rs1949343,rs10018837,rs3490,rs6789163,rs16985801,rs17023882,rs4938377,rs35678237,rs1467737,rs1400197,rs17023681,rs4349303,rs3846132,rs7431865,rs876748,rs2339469,rs7641289	1	0.014
IMMUNE_EFFECTOR_PROCESS	0.6929501730444633	127	APOA2,FCN1,APOBEC3G,CD74,CRTAM,IL12A,TLR8,BNIP3,FCN2,NCR1,TLR7,IL29,RSAD2	rs4370608,rs2278427,rs2278428,rs16865717,rs16865704,rs7862656,rs3736685,rs1731479,rs4604523,rs2243131,rs12721035,rs2159377,rs12160242,rs5744077,rs2243123,rs3747414,rs3753008,rs11103564,rs5935436,rs2177194,rs8108392,rs7126620,rs7863062,rs7247086,rs4669111,rs5744044,rs2989723,rs4612436,rs2243115,rs4669114,rs4669113,rs5750735,rs2140151,rs30461,rs2370796,rs864058,rs7722480,rs2370794,rs3107634,rs3793740,rs8108057,rs3107638,rs5744048,rs2288817,rs7247097,rs10790539,rs1433097,rs4372082,rs10427620,rs1879883,rs8177832,rs11749903,rs2305258,rs7851696,rs2413565,rs3134425,rs3796115,rs1620233,rs5743740,rs1638596,rs3012787,rs10750229,rs5743749,rs7570384,rs2989736,rs2712029,rs1548731,rs6431837,rs7024491,rs2413570,rs6431835,rs11218856,rs7037264,rs179019,rs11218863,rs568408,rs17338032,rs5741889,rs10182815,rs1013150,rs2272094,rs1071583,rs2989734,rs2989735,rs2595173,rs179010,rs8107861,rs179012,rs10495546,rs179013,rs5743720,rs179009,rs17126930,rs5757465,rs3764880,rs3124953,rs7886759,rs3124952,rs4830807,rs3133250,rs4830808,rs5757462,rs1056400,rs7941607,rs12099195,rs2302267,rs1916040,rs5757458,rs3128627,rs2070623,rs3128625,rs3128624,rs3128623,rs2070620,rs4578023,rs5744081,rs3107606,rs5744080,rs4520243,rs5744084,rs16986072,rs12270235,rs6001402,rs583911,rs5757451,rs6413453,rs7125644	1	0.016
INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS	0.7044118502997497	41	EBI3,INHBA,TLR9,TLR8,TLR7	rs5743839,rs5744044,rs352140,rs179010,rs2237435,rs179012,rs179013,rs5743720,rs352139,rs1620233,rs1731479,rs864058,rs5743740,rs179009,rs1638596,rs3764880,rs7886759,rs4830807,rs4830808,rs2159377,rs5744048,rs6958234,rs5743749,rs4905,rs4740,rs5743849,rs2302267,rs5744077,rs7614535,rs1548731,rs352162,rs13345747,rs187084,rs179019,rs3747414,rs5744081,rs5744080,rs5935436,rs5741889,rs5744084,rs1013150	1	0.04
CYTOKINE_METABOLIC_PROCESS	0.7083920968153551	83	EBI3,IL9,APOA2,INHBA,TLR9,GHRL,AZU1,SPN,TLR8,TLR7,IL6,GHSR	rs5743839,rs352140,rs2066992,rs588442,rs4144707,rs2237435,rs572169,rs565105,rs1620233,rs352139,rs1731479,rs1403637,rs5743740,rs1638596,rs27647,rs12721035,rs1524107,rs2159377,rs35683,rs5743749,rs4905,rs1554606,rs5743849,rs5744077,rs1548731,rs7614535,rs31564,rs602186,rs2069882,rs606119,rs352162,rs495225,rs13345747,rs3747414,rs179019,rs2069842,rs2069843,rs509035,rs5935436,rs5741889,rs1013150,rs2069849,rs2069885,rs1800797,rs11741137,rs5744044,rs4684677,rs179010,rs179012,rs179013,rs687077,rs1474347,rs5743720,rs2069835,rs2069832,rs2069830,rs864058,rs179009,rs3764880,rs13306435,rs7886759,rs2069838,rs4830807,rs11574552,rs4830808,rs6958234,rs2069837,rs5744048,rs12460890,rs4740,rs696217,rs2302267,rs595844,rs2066758,rs1859430,rs187084,rs5744081,rs5744080,rs5744084,rs3764275,rs3764276,rs6413453,rs4807059	1	0.0
CYTOKINE_BIOSYNTHETIC_PROCESS	0.7083920968153551	83	EBI3,IL9,APOA2,INHBA,TLR9,GHRL,AZU1,SPN,TLR8,TLR7,IL6,GHSR	rs5743839,rs352140,rs2066992,rs588442,rs4144707,rs2237435,rs572169,rs565105,rs1620233,rs352139,rs1731479,rs1403637,rs5743740,rs1638596,rs27647,rs12721035,rs1524107,rs2159377,rs35683,rs5743749,rs4905,rs1554606,rs5743849,rs5744077,rs1548731,rs7614535,rs31564,rs602186,rs2069882,rs606119,rs352162,rs495225,rs13345747,rs3747414,rs179019,rs2069842,rs2069843,rs509035,rs5935436,rs5741889,rs1013150,rs2069849,rs2069885,rs1800797,rs11741137,rs5744044,rs4684677,rs179010,rs179012,rs179013,rs687077,rs1474347,rs5743720,rs2069835,rs2069832,rs2069830,rs864058,rs179009,rs3764880,rs13306435,rs7886759,rs2069838,rs4830807,rs11574552,rs4830808,rs6958234,rs2069837,rs5744048,rs12460890,rs4740,rs696217,rs2302267,rs595844,rs2066758,rs1859430,rs187084,rs5744081,rs5744080,rs5744084,rs3764275,rs3764276,rs6413453,rs4807059	1	0.0
DEFENSE_RESPONSE_TO_VIRUS	0.7026993145379735	63	BNIP3,APOBEC3G,TLR8,TLR7,RSAD2,IL29	rs2305258,rs16865717,rs2413565,rs16865704,rs3796115,rs3736685,rs1620233,rs1731479,rs5743740,rs1638596,rs2159377,rs5743749,rs12160242,rs7570384,rs2712029,rs5744077,rs1548731,rs6431837,rs2413570,rs6431835,rs3747414,rs3753008,rs179019,rs5935436,rs5741889,rs1013150,rs10182815,rs8108392,rs7247086,rs4669111,rs5744044,rs4669114,rs4669113,rs5750735,rs2595173,rs179010,rs10495546,rs8107861,rs179012,rs179013,rs5743720,rs30461,rs864058,rs179009,rs5757465,rs3764880,rs7886759,rs4830807,rs4830808,rs3793740,rs5757462,rs5744048,rs8108057,rs7247097,rs2302267,rs5757458,rs10427620,rs5744081,rs5744080,rs5744084,rs6001402,rs8177832,rs5757451	1	0.014
INTERFERON_GAMMA_PRODUCTION	0.7048830774603431	46	EBI3,INHBA,TLR8,TLR9,TLR7,IL12A	rs5743839,rs5744044,rs2243115,rs352140,rs179010,rs2237435,rs179012,rs179013,rs5743720,rs352139,rs1620233,rs1731479,rs864058,rs5743740,rs1638596,rs179009,rs2243131,rs3764880,rs7886759,rs4830807,rs4830808,rs2159377,rs4905,rs6958234,rs5744048,rs5743749,rs4740,rs5743849,rs2302267,rs5744077,rs7614535,rs1548731,rs2243123,rs352162,rs13345747,rs187084,rs179019,rs3747414,rs568408,rs5744081,rs5744080,rs5935436,rs5741889,rs1013150,rs5744084,rs583911	1	0.034
AMINO_ACID_DERIVATIVE_METABOLIC_PROCESS	0.6971699507058332	92	SLC5A7,GATM,HPRT1,DHPS,OAZ1,SMS,SNCAIP	rs2238962,rs3759899,rs2238963,rs11748334,rs17149115,rs5904497,rs10478554,rs10414020,rs892559,rs3747277,rs3747276,rs2071136,rs2046510,rs2278461,rs10066937,rs13140,rs1049518,rs2238964,rs5951490,rs3806536,rs1009643,rs1013940,rs6753886,rs6877153,rs4395020,rs13020302,rs4774580,rs333236,rs4829768,rs333234,rs4461665,rs333235,rs7164602,rs6638254,rs7725801,rs11685873,rs2238958,rs7066303,rs2450282,rs1049508,rs11956258,rs2070888,rs7701124,rs5951670,rs17149141,rs4676169,rs732946,rs6634990,rs3891326,rs12985777,rs1478373,rs6528078,rs333226,rs333224,rs6634997,rs13422385,rs6638244,rs10425108,rs4824171,rs333227,rs6638241,rs7059727,rs3731683,rs167349,rs6638240,rs5951676,rs28758673,rs3731684,rs304379,rs13345845,rs5951678,rs12437887,rs5951487,rs13013808,rs3811909,rs13014176,rs5904605,rs3811903,rs9972498,rs437849,rs2515695,rs304383,rs1021247,rs11957590,rs2242223,rs2242224,rs12013805,rs333216,rs17324664,rs12437840,rs304388,rs304386	1	0.012
BIOGENIC_AMINE_METABOLIC_PROCESS	0.6988309984643143	83	SLC5A7,HPRT1,DHPS,OAZ1,SMS,SNCAIP	rs2238962,rs2238963,rs11748334,rs17149115,rs5904497,rs10478554,rs10414020,rs892559,rs3747277,rs3747276,rs2071136,rs2046510,rs2278461,rs10066937,rs13140,rs2238964,rs5951490,rs3806536,rs1009643,rs1013940,rs6753886,rs6877153,rs13020302,rs4829768,rs333236,rs4461665,rs333234,rs333235,rs6638254,rs7725801,rs11685873,rs2238958,rs7066303,rs2450282,rs11956258,rs2070888,rs7701124,rs5951670,rs17149141,rs4676169,rs732946,rs6634990,rs3891326,rs12985777,rs1478373,rs6528078,rs333226,rs333224,rs6634997,rs13422385,rs6638244,rs10425108,rs4824171,rs333227,rs6638241,rs7059727,rs3731683,rs167349,rs6638240,rs5951676,rs28758673,rs3731684,rs304379,rs13345845,rs5951678,rs5951487,rs13013808,rs3811909,rs13014176,rs5904605,rs3811903,rs437849,rs2515695,rs304383,rs1021247,rs11957590,rs2242223,rs2242224,rs12013805,rs333216,rs17324664,rs304388,rs304386	1	0.012
REGULATION_OF_INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS	0.7044118502997497	41	EBI3,INHBA,TLR9,TLR8,TLR7	rs5743839,rs5744044,rs352140,rs179010,rs2237435,rs179012,rs179013,rs5743720,rs352139,rs1620233,rs1731479,rs864058,rs5743740,rs179009,rs1638596,rs3764880,rs7886759,rs4830807,rs4830808,rs2159377,rs4905,rs5744048,rs6958234,rs5743749,rs4740,rs5743849,rs2302267,rs5744077,rs7614535,rs1548731,rs352162,rs13345747,rs187084,rs179019,rs3747414,rs5744081,rs5744080,rs5935436,rs5741889,rs5744084,rs1013150	1	0.04
