Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.9344444444444444	0	UAP1,UGDH,CHIT1,GALK1,GNPDA1,GMPPB,HK3,GALT,GFPT2,UGP2,FPGT,HEXA,NPL,NANS,CHIA,NAGK,CYB5R3,GALK2,GNE,TSTA3,CYB5R1,HK1,PMM2,GALE,GMDS,GMPPA,PMM1,HK2,RENBP,GFPT1,CMAS,GCK,PGM1,HEXB,MPI		1	0.103
KEGG_LEISHMANIA_INFECTION	0.9366666666666666	0	TLR2,IL10,MARCKSL1,HLA-DMB,MAP3K7,NFKBIB,HLA-DQB1,HLA-DOB,IFNGR1,IRAK1,HLA-DRA,JAK1,HLA-DRB4,MAPK11,TNF,IL12B,RELA,FCGR3B,TGFB3,STAT1,IL4,MAPK14,C3,IL12A,NCF4,ITGA4,MYD88,MAPK1,TLR4,PRKCB,PTPN6,NOS2,IFNG,FCGR2A,HLA-DPB1,NFKB1,MAPK13,IL1A,TGFB2,TAB1,ELK1,HLA-DOA,CYBA,NFKBIA,PTGS2,IFNGR2,FOS,IRAK4,CR1,MAPK12,ITGB2,IL1B,JAK2,ITGAM,NCF2,TRAF6,TGFB1		1	0.175
KEGG_NOTCH_SIGNALING_PATHWAY	0.9444444444444443	0	HES1,DVL1,DVL3,ADAM17,PSEN2,NCOR2,SNW1,RBPJ,NOTCH3,MAML1,CTBP2,NUMB,EP300,HDAC1,KAT2A,DVL2,JAG1,PSEN1,CIR1,NOTCH4,CTBP1,JAG2,DLL3,NOTCH2,CREBBP,KAT2B,RBPJL,HDAC2,MFNG		1	0.066
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.9144444444444444	0	SORD,MTMR2,PFKFB4,PFKFB1,GMPPB,ALDOC,HK3,ALDOA,PFKM,FPGT,TPI1,FBP1,PFKP,AKR1B10,MTMR7,TSTA3,PFKFB3,HK1,PMM2,GMDS,KHK,GMPPA,PFKFB2,PMM1,ALDOB,HK2,PFKL,AKR1B1,FBP2,MPI		1	0.148
KEGG_ASTHMA	0.9111111111111111	0	IL10,HLA-DMB,CD40,IL5,HLA-DQB1,EPX,HLA-DOB,MS4A2,IL9,HLA-DPB1,IL3,HLA-DRA,HLA-DRB4,HLA-DOA,TNF,IL13,CD40LG,CCL11,RNASE3,IL4,FCER1G		1	0.108
KEGG_PRION_DISEASES	0.9166666666666666	0	NCAM2,C1QA,MAP2K1,C6,MAPK1,C8A,C9,PRKACA,C8G,PRKX,IL1A,CCL5,PRNP,ELK1,NCAM1,C1QB,MAP2K2,IL6,C7,PRKACG,LAMC1,SOD1,BAX,C5,STIP1,C8B,PRKACB,EGR1,IL1B,FYN		1	0.143
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.958888888888889	0	IL10,HLA-DMB,HIST1H2AB,HIST1H2BO,H2AFZ,HIST1H2BF,HLA-DQB1,HIST1H2AK,HLA-DOB,C8G,HIST1H3F,C2,HLA-DRB4,HIST1H2BN,H2AFY,HIST1H2BE,CD40LG,HIST1H2AJ,FCGR3B,SNRPD1,HIST1H2AI,HIST1H3E,C3,HIST3H3,C1R,H2AFX,HIST1H2BM,HIST1H4A,HIST1H2AM,HIST1H4L,SSB,HIST1H2BD,ACTN2,TROVE2,IFNG,C9,HIST1H3H,HIST2H2BE,HIST1H2AC,HIST1H2BL,HIST1H4B,SNRPB,ACTN1,HIST1H2AL,HIST1H2BC,H3F3B,HIST1H3G,CD28,C1QA,HIST1H3C,GRIN2B,C6,HIST1H4C,HIST1H2BK,HIST1H2BB,ACTN4,HIST1H2BJ,HIST1H3J,CTSG,H2AFV,HLA-DRA,HIST1H4I,TNF,GRIN2A,C7,HIST1H4D,C1S,H2AFY2,ACTN3,HIST1H3I,C8B,HIST1H2BI,HIST1H2AE,HIST1H4H,HIST1H3A,HIST1H4E,CD40,HIST1H2BH,C8A,CD80,FCGR2A,HLA-DPB1,FCGR2B,HIST1H4F,HLA-DOA,HIST1H4G,HIST1H3B,CD86,C1QB,C5,TRIM21,SNRPD3,HIST1H2AG,ELANE		1	0.117
KEGG_RENAL_CELL_CARCINOMA	0.9344444444444444	0	PAK2,EPAS1,MAP2K1,EGLN1,RBX1,TCEB2,PIK3R5,SOS2,HRAS,PIK3CA,BRAF,KRAS,EP300,PAK3,MAP2K2,ARAF,PGF,PAK4,PIK3CB,TGFB3,AKT3,GRB2,PIK3CG,CREBBP,FH,FIGF,PTPN11,HIF1A,RAF1,VEGFA,RAC1,MAPK1,PIK3CD,PIK3R3,PDGFB,CRK,PIK3R2,CRKL,ETS1,ARNT,VEGFB,AKT2,TCEB1,TGFB2,MET,VHL,RAPGEF1,PAK1,RAP1A,PAK6,GAB1,CUL2,CDC42,VEGFC,SLC2A1,AKT1,TGFA,TGFB1		1	0.179
KEGG_GALACTOSE_METABOLISM	0.9866666666666667	0	LCT,GALK1,G6PC2,HK3,PFKM,GALT,UGP2,B4GALT2,GAA,GLA,PFKP,GLB1,GALK2,MGAM,HK1,GALE,HK2,GCK,PFKL,AKR1B1,PGM1,LALBA,B4GALT1		1	0.0060
KEGG_BLADDER_CANCER	0.9733333333333334	0	E2F2,RAF1,MAP2K1,VEGFA,FGFR3,MAPK1,THBS1,EGFR,MMP1,DAPK1,RASSF1,HRAS,EGF,CDH1,BRAF,MMP2,KRAS,RB1,ERBB2,VEGFB,DAPK3,CDK4,RPS6KA5,E2F1,MMP9,MAP2K2,ARAF,PGF,CDKN1A,CCND1,IL8,MYC,E2F3,VEGFC,MDM2,TP53,TYMP,FIGF,CDKN2A,DAPK2		1	0.032
KEGG_VIRAL_MYOCARDITIS	0.9555555555555556	0	ITGAL,CD28,HLA-DMB,RAC3,MYH3,LAMA2,CYCS,CAV1,CD55,CASP9,HLA-DQB1,HLA-DOB,HLA-E,PRF1,HLA-B,ACTG1,EIF4G3,SGCA,MYH11,DAG1,HLA-DRA,HLA-DRB4,MYH8,RAC2,DMD,ACTB,CD40LG,CASP8,EIF4G2,HLA-C,SGCB,ABL1,BID,CD40,SGCG,MYH9,RAC1,HLA-G,CXADR,CD80,CASP3,MYH13,HLA-DPB1,EIF4G1,ABL2,HLA-DOA,CD86,HLA-A,ICAM1,CCND1,HLA-F,MYH7B,MYH2,SGCD,ITGB2,FYN		1	0.104
