Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	61735	16149915	8424	-0.0011
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	16153497	16153925	6	-0.7731
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	16154201	16869363	305	-0.0026
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	16871278	17210652	109	-0.3806
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	17212714	17262247	57	-0.6869
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	17276241	21743013	3023	-0.002
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	21743460	21794061	16	-0.3573
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	21797892	22320515	313	-0.0086
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	22323157	22338125	7	-1.1581
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	22342389	25583341	1916	-0.0196
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	25593128	25646946	27	0.2714
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	25646986	28504168	1224	-0.0278
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	28508518	28509805	2	-1.1806
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	28512505	46382895	10035	-0.0093
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	46383002	46383019	2	-0.9608
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	46386319	76050844	19595	0.0047
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	76054763	76054854	2	1.2584
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	76059509	104155643	18163	-0.0069
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	104155731	104268222	35	-0.6636
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	104303403	106021219	927	0.0242
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	106021381	106022375	10	0.5187
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	106024055	108729759	1944	0.0052
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	108734235	108737496	3	-1.0746
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	108739104	110227515	725	-0.0381
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	110232974	110240178	17	0.2908
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	110242953	112690326	1959	-0.0473
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	112695965	112706205	36	0.2767
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	112706213	113652648	609	-0.0131
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	113654647	113657538	4	0.6574
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	113658887	120118304	4121	-0.013
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	120121803	120121938	2	0.9471
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	120122143	145151728	650	-0.0079
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	145151959	145152757	5	1.1201
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	145156301	149242663	1093	-0.0021
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	149242725	149246030	9	0.6518
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	149246275	149545372	47	0.1462
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	149545386	149548726	3	1.0671
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	149578722	149692388	14	0.1392
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	149701234	152555527	1479	-0.0364
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	152555706	152560541	9	-1.6161
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	152560868	152579825	19	-2.4133
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	152585718	152586594	7	-1.5822
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	152590494	152759678	171	-0.0157
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	152761923	152773905	38	-0.274
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	152776755	158866573	3624	-0.014
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	158868501	158869759	2	-1.7769
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	158874818	162864623	2701	-0.0242
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	162866194	162867776	13	-0.9078
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	162872112	165835364	2421	0.0248
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	165835548	165835690	3	0.9205
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	165837978	174796556	6123	-0.0264
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	174796699	174801840	15	-0.7892
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	174801854	196714873	14675	0.0066
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	196727850	196801655	87	-0.4609
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	196801784	198481651	971	-0.0381
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	198481669	198482356	9	-0.448
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	198482733	219399794	14379	-0.0034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	219402427	219402765	3	-1.073
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	219405066	223020504	2443	0.0037
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	223022923	223026717	4	-0.9956
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	223027548	240391740	12241	-0.0053
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	240394015	240394139	6	0.8118
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	240396105	248753216	5762	0.0181
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A08_771552	1	248753364	248809109	33	0.2915
