Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	61735	404171	30	-0.1335
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	534551	625470	4	-1.3158
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	707099	16869363	8701	-0.2107
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	16871278	17262232	165	-0.4799
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	17262247	34656303	9938	-0.2291
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	34656384	34657303	3	-1.0776
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	34661652	35091674	336	-0.2271
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	35102654	35103036	6	-3.0213
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	35103142	35103827	5	-0.8787
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	35103864	35104491	9	-3.4458
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	35114268	72750353	23874	-0.0591
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	72756113	72763370	9	-1.0109
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	72768418	75269284	1556	-0.059
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	75271072	75273866	2	-1.549
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	75273987	104163499	18597	-0.0588
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	104163787	104239986	15	-0.9398
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	104256880	106001606	927	-0.031
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	106002144	106022344	19	-0.4245
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	106022360	110224384	2660	-0.0573
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	110224427	110233571	21	-0.6057
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	110234231	110234628	4	-1.9996
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	110235032	110242953	7	-0.9283
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	110244998	112690326	1958	-0.0578
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	112695965	112706205	36	-0.3846
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	112706213	121089508	5095	-0.047
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	121120602	121127900	2	-1.2655
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	121129349	152555527	2939	0.1029
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	152555706	152586594	35	1.3504
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	152590494	153325130	653	0.2123
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	153325156	153371085	37	0.4406
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	153371601	158959575	3207	0.1885
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	158962039	158962796	2	-0.8586
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	158966864	169216937	7661	0.1962
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	169233974	169241766	7	1.2097
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	169242401	175575592	4106	0.2064
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	175576828	175596902	25	0.4774
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	175600532	179439630	2572	0.2043
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	179446133	179447543	3	-0.6539
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	179450913	189307394	6532	0.2022
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	189310205	189311245	3	-0.7083
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	189313245	193156279	2571	0.2083
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	193156317	193156332	2	-0.9321
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	193156348	194448234	948	0.2135
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	194451411	194455018	2	-1.1629
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	194457016	196714873	1455	0.2338
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	196727850	196771280	47	0.614
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	196783626	196812507	47	0.2858
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	196812530	196815791	2	1.6924
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	196816730	199111521	1383	0.2171
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	199111690	199113840	6	-0.4348
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	199114238	199542563	304	0.2064
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	199542956	199545705	5	-0.5939
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	199546187	202042364	1725	0.1919
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	202042872	202051984	3	-0.6796
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	202052013	222366668	14030	0.1468
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	222374834	222377004	2	-4.2034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	222382134	239466051	11835	0.0196
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	239466136	239466287	2	-1.237
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	239466347	240391740	746	0.0107
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	240394015	240394124	5	-0.7593
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	240394139	248163188	5463	0.1585
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	248165702	248171576	2	-1.2691
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	1	248173453	249224388	472	0.2347
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	2	12784	10140995	7720	0.035
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	2	10141191	10154972	4	1.1029
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	2	10157774	11032320	670	0.0395
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	2	11033225	11033567	2	1.1916
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B04_771540	2	11033580	34520473	15641	0.0278
