Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	1	3208470	228860509	118135	0.104
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	1	228860849	228860985	2	-0.9835
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	1	228862264	245880329	11008	0.1716
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	2	474222	52450481	30836	0.018
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	2	52452864	52453472	2	-1.1441
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	2	52513140	242124735	100531	0.1316
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	526235	175115585	94132	-0.1282
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	175120085	175933692	543	0.2093
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	175935935	185775132	4585	-0.127
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	185776463	185777635	2	-1.1807
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	185780999	196445500	6680	-0.1317
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	196446138	196455081	3	-0.9641
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	3	196456360	199023074	489	-0.1212
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	4	1043934	9520970	4434	0.017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	4	9521199	9524948	4	0.6669
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	4	9525278	83496785	40896	0.0398
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	4	83497817	83498427	2	-1.1371
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	4	83503184	189836143	57453	0.0414
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	5	967233	51591197	26706	0.1804
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	5	51598167	162076427	62966	-0.1323
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	5	162082070	180293075	10881	0.1733
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	959281	31251490	19206	-0.1357
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	31251561	31251879	3	-1.4648
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	31253899	51000687	10704	-0.1389
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	51001210	51001250	2	0.9933
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	51007232	112206227	31825	-0.1279
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	112208468	112208700	2	-1.2025
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	6	112210335	170745844	34788	-0.1296
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	7	671810	158077879	81362	0.034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	607667	9493798	3896	-0.1407
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	9496549	9806983	159	0.1706
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	9811609	11633846	982	-0.15
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	11634455	11686478	42	0.1454
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	12606826	36804601	16198	-0.135
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	36805271	37031434	137	0.1832
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	37037594	40365711	1724	-0.1447
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	40372717	40435848	47	0.1722
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	40436036	42373214	1300	-0.161
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	42373537	57624394	5617	0.1794
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	57629413	57816124	120	-0.1046
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	8	57816930	145304484	51352	0.1821
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	9	779932	21365182	13145	-0.1347
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	9	21369466	21545226	129	-0.5652
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	9	21552757	21616573	52	-0.1311
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	9	21692086	22455257	489	-0.5067
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	9	22502435	140058573	54231	-0.1397
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	10	405240	30279385	20771	0.393
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	10	30279489	115737987	47595	0.1227
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	10	115738323	115738602	2	1.0643
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	10	115738651	135075077	12541	0.1025
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	11	446120	133647740	77300	0.0931
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B03_771640	12	760163	1004525	121	0.4331
