Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	3208470	4451539	761	0.0865
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	4451919	4452162	2	-1.1434
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	4453951	29214171	12824	0.0862
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	29226760	29378200	54	1.2549
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	29380234	32971859	1956	0.3606
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	32971954	33707069	324	0.7026
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	33707411	33916795	152	0.3003
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	33921661	45793303	6621	0.073
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	45794143	45794217	2	-1.0538
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	45799324	48315929	1281	0.0722
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	48317666	48317924	2	-1.1733
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	48318003	97209114	30315	0.1309
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	97211811	97211867	2	-1.2457
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	97218637	102634894	3261	0.1838
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	102635102	102691081	43	-0.0429
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	102693114	102694088	3	-1.1606
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	102694219	120325425	10165	-0.0458
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	120325478	184761964	22714	0.3618
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	184762110	184769317	4	-0.6464
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	184772097	185261554	319	0.4358
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	185264223	185865524	393	0.21
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	185865619	185866060	4	-0.6887
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	185866241	186564908	477	0.211
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	186568594	186568757	2	-1.1539
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	186576055	192440420	3478	0.2862
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	192440767	192440771	2	-0.8566
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	192447756	197590887	2739	0.4117
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	197592725	197592893	2	-0.6551
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	197594576	198727186	752	0.4293
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	198729068	205907399	4497	0.1946
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	205910591	205910965	2	-1.7947
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	205916348	208776966	2224	0.198
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	208779921	208780237	2	-1.5379
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	208783911	237320229	18795	0.2353
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	237321033	237322010	2	-2.3596
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	1	237325023	245880329	4969	0.2934
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	474222	18379680	11477	0.1969
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	18379907	18392376	11	-0.212
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	18392563	26226628	4657	0.2233
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	26230008	26232251	4	-0.673
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	26234122	57540813	17330	0.2192
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	57541830	57542035	3	1.1644
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	57543461	77127591	11392	0.2116
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	77127761	77142734	8	-0.2247
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	77144058	78136278	556	0.1885
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	78137860	78145174	2	1.3578
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	78145670	113560781	14016	0.2232
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	113560852	113560946	2	-0.8373
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	113561202	119468337	2936	0.223
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	119480423	135813272	8048	-0.1519
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	135815880	135818276	2	-1.3701
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	135819235	146704494	6054	-0.1603
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	146710500	193001888	26449	0.2367
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	193004644	194574347	511	0.4979
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	194577045	194729017	38	0.1762
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	194735393	198242953	1566	-0.16
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	198243067	198243811	2	-1.5274
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	2	198246916	242124735	26305	-0.1479
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	526235	7578194	2802	-0.0842
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	7578694	7578708	2	-1.7569
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	7587700	41011651	20430	-0.0822
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	41012476	41012621	2	-1.3177
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	41012673	54904672	7067	-0.0762
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	54905633	54905834	4	-0.8813
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	54905881	66850384	7454	-0.0701
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	66850749	66851054	3	-1.5572
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	66851555	78537287	7287	-0.0891
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	78564774	78564883	6	-1.2021
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	78573340	102751728	9761	-0.0455
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	102756697	102756822	2	-1.1915
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	102760760	119553984	9889	0.0055
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	119554296	119554514	2	-1.5567
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	119555169	126494752	3982	0.0069
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	126499031	126499117	2	-2.3327
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	126499381	164645432	20368	-0.0281
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	164648951	164649632	2	-1.6632
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	164651094	165081191	198	0.0297
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	165087514	165087792	2	1.2573
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	165089450	165990676	453	0.0016
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	165991875	165992001	2	-1.1855
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	165998004	187074740	10182	0.0182
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	187078142	187080518	3	-1.1264
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	187081246	193829251	4572	0.0084
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	193830246	193830391	2	-1.1116
PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A10_932506	3	193832314	199023074	1955	0.0083
