Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	1	3218610	73442783	39768	0.0018
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	1	73451190	73455580	4	1.3852
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	1	73459777	218149466	70656	3e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	1	218149483	218149498	2	-1.1271
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	1	218152351	247813706	18771	0.0021
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	484222	24417344	15286	-3e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	24422130	24423879	2	-1.1961
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	24425620	31949412	4143	-0.0038
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	31956992	31958351	2	0.9924
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	31959279	77352685	25477	-8e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	77358496	77367844	5	-0.7446
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	77368799	235208663	82061	-4e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	235209416	235209534	2	-1.3612
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	2	235209795	242476062	4383	-0.0018
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	3	2212571	31890213	17731	-4e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	3	31890725	31891030	3	-0.9902
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	3	31892428	143512737	61123	0.0016
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	3	143515679	143520872	4	0.7831
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	3	143529714	197538677	27567	0.0029
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	4	1053934	77087769	41559	0.0022
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	4	77091998	77092287	2	-1.0697
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	4	77093622	81624215	2741	-0.002
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	4	81624801	81630797	3	-0.7816
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_A05_771534	4	81631203	88072503	3889	3e-04
