Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	61735	16806925	8719	0.0706
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	16807224	17114634	115	0.3489
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	17114712	21805048	3111	0.0587
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	21805814	21809752	2	1.7424
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	21810508	25532074	2210	0.0753
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	25532484	25646986	47	0.4903
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	25661501	35103510	4983	0.0626
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	35103827	35114268	11	-0.5854
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	35115542	41021036	3189	0.0586
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	41022076	41027850	2	-1.5176
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	41027928	54432019	7479	0.0618
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	54434610	54448089	5	-0.9997
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	54450660	55723441	848	0.0717
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	55724023	55724299	6	-0.6009
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	55729368	62442018	5227	0.0598
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	62442378	62442475	6	0.8525
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	62442491	62765461	248	0.0874
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	62765602	62765893	3	1.0694
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G09_771498	1	62766001	72779080	6881	0.0682
