Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	1	3218610	54578100	26988	0.0092
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	1	54580012	54593256	12	0.5199
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	1	54594263	247813706	102201	0.0072
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	484222	17388272	10696	0.0059
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	17396067	17396229	2	1.1803
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	17396548	29613214	7069	0.0037
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	29615411	29615419	2	-1.0942
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	29616013	53673923	13663	-0.0038
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	53674075	53674699	2	-1.3068
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	53674840	71908317	10594	0.0045
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	71909822	71912005	2	-1.2633
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	71914438	183053658	55935	0.0018
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	183054995	183059200	5	-0.8735
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	183065934	197697735	6678	-0.0126
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	197700961	197704048	2	-1.7343
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	2	197708712	242476062	26711	-0.0043
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	2212571	136132282	75008	0.0038
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	136132705	136132723	2	-2.4338
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	136142419	140388063	2392	0.0129
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	140388410	140391824	2	-1.7745
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	140392934	162762902	11472	0.0034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	162763868	162767796	4	0.7921
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	3	162770842	197538677	17548	-0.0062
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	4	1053934	188763651	102794	-0.0023
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	5	914233	2303782	415	0.0331
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	5	2304432	2304446	2	-1.1078
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	5	2304811	180360469	100136	0.0021
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_D04_771512	6	1014281	170903919	96539	0.0012
