Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	3208470	106496699	59265	0.0011
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	106497994	106498070	2	1.3394
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	106499594	216216089	51102	0.0027
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	216216106	216216121	2	-1.1016
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	216218974	219645097	2272	-0.0068
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	219646681	219647028	2	-0.9259
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	219647493	221359173	1052	-0.002
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	221361433	221361877	3	-0.7912
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	1	221362960	245880329	15445	0.0017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	474222	17130538	10615	-0.0055
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	17132507	17135476	6	-0.6154
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	17140488	103348033	43782	-0.0014
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	103351342	103351809	2	-1.2464
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	103357649	143904464	20591	0.0011
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	143929627	143934628	4	-0.9687
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	143939886	179660438	21025	3e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	179661283	179671520	5	-0.6755
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	179673722	187940682	4175	5e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	187946346	187946651	3	-1.046
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	187950198	215003595	14569	0.0034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	215003767	215003972	2	-1.018
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	2	215004592	242124735	16590	-0.004
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	526235	78652487	45105	0.0034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	78652509	78652650	2	-1.1677
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	78652911	124096910	21952	0.0048
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	124101982	124103802	2	1.166
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	124112752	131613874	4286	-1e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	131614892	131615321	3	-0.9338
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	131617253	137614972	3663	-0.0011
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	137615395	137615413	2	-1.0969
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	3	137625109	199023074	31419	0.0043
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	1043934	43138729	25844	0.0023
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	43139654	43139769	2	-1.0411
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	43154665	56849244	5248	0.0032
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	56849274	56849494	2	-1.1017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	56849711	58217567	876	0.0115
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	58221366	58222040	3	-1.2317
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	58222214	86370227	15027	0.0093
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	86370942	86373422	3	-0.9681
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	86374730	177995005	50519	0.0035
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	178003563	178003922	2	1.0614
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	4	178004063	189836143	5263	0.0022
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	5	967233	11537458	7569	-0.008
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	5	11540585	11571163	37	-1.0697
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	5	11573615	180293075	92947	0.0025
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	6	959281	170745844	96530	0.003
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	7	671810	52696385	30947	0.0028
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	7	52704221	52710239	4	1.016
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	7	52717266	158077879	50411	0.0028
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	8	607667	39069141	22410	0.0032
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	8	39072152	39072524	2	-1.1005
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	8	39074374	132743249	51866	0.0054
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	8	132744224	132748803	3	-0.837
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	8	132749244	145304484	7293	-0.0029
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	9	779932	21094379	12953	0.0017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	9	21094437	21096901	3	-0.8662
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	9	21097326	140058573	55090	5e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	10	405240	113243950	66576	0.0027
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	10	113247429	113247706	2	-1.1355
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	10	113252767	135075077	14331	-0.0012
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	11	446120	30378644	19111	0.0034
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	11	30378825	30378988	2	-1.244
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	11	30382231	133647740	58187	3e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	12	760163	40774511	21608	2e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	12	40776742	40776976	2	1.57
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	12	40777218	98335179	33793	0.0015
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	12	98335189	98335690	2	-1.0648
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F07_771596	12	98340573	131671419	18579	-0.0019
