Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	3218610	247813706	129201	0.0017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	2	484222	34145042	20280	-9e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	2	34145674	34147527	4	-0.9313
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	2	34147838	145886584	55613	7e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	2	145887577	145888233	2	-1.5898
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	2	145888853	242476062	55462	-0.0011
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	3	2212571	23157067	12078	-7e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	3	23160752	23160893	2	-1.2296
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	3	23161187	61126821	21448	0.0023
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	3	61127205	61127304	2	-6.7098
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	3	61128017	197538677	72898	0.0037
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	4	1053934	188763651	102794	0.0028
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	5	914233	180360469	100553	0.0028
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	6	1014281	124691424	68573	0.0044
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	6	124691506	124698088	2	-1.4973
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	6	124698568	143539833	11530	0.0081
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	6	143548281	143548577	3	0.9996
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	6	143549921	160071844	10902	0.0066
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	6	160074418	160074445	2	-1.2756
