Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	61735	16909609	8743	0.007
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	16921719	17082591	76	0.4386
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	17087292	17190004	20	0.0527
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	17190862	17262247	62	-0.5803
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	17276241	25583341	5275	0.003
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	25593128	25646744	26	-0.4822
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	25646946	72763370	28878	0.0088
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	72768418	72811148	48	-1.3359
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	72811904	75190782	1448	0.0115
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	75193035	75199290	3	0.9099
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	75199784	76050844	482	0.0317
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	76054763	76054854	2	1.1443
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	76059509	81888456	3857	0.0102
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	81888602	81888667	3	1.1127
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	81888681	104157317	14307	0.0064
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	104157336	104256981	24	0.3858
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	104257096	106019205	928	0.0103
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	106019236	106022375	16	-2.6006
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	106024055	110227500	2671	0.0104
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	110227515	110234410	10	0.5048
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	110234555	112696193	1970	0.0089
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	112696273	112697241	20	0.3691
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	112697376	145151728	5399	0.0067
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	145151959	145156398	10	0.5685
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	145156462	149243072	1090	0.0502
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	149243241	149249447	17	0.6327
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	149254329	152555527	1533	0.0232
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	152555706	152586576	34	1.0294
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	152586594	152762257	178	0.028
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	152762285	152767864	21	-0.4678
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	152767884	155180466	1355	0.0025
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	155189160	155201064	11	1.2472
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	155211667	158959575	2333	0.0097
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	158962039	158962796	2	-1.0421
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	158966864	160937020	1333	0.0126
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	160937964	160939521	2	-1.5588
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	160940032	169216937	6326	0.0072
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	169233974	169241766	7	0.8317
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	169242401	172759179	2430	0.0124
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	172761750	172761841	2	-1.3461
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	172764582	179323738	4194	0.0022
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	179330528	179333315	4	-0.9933
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	179339206	193155792	9181	0.0093
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	193156279	193156332	3	1.0635
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	193156348	194448234	948	0.0241
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	194451411	194455018	2	1.4361
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	194457016	196731035	1457	0.0176
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196731610	196732086	2	-1.7046
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196738623	196758120	33	0.5366
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196758149	196759288	4	-0.882
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196761820	196812507	53	0.2166
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196812530	196815791	2	3.0627
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196816730	196845668	35	0.0563
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196847411	196864527	9	-0.5193
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	196865094	207697830	6848	0.0097
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	207712848	207734866	4	1.0317
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	207746653	211653066	3006	0.0013
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	211656238	211656269	2	-1.1466
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	211657467	218204746	4642	0.01
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	218208942	218208961	2	-1.3538
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	218209077	218418252	150	0.0058
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	218418334	218423061	5	-0.8735
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	218423480	242085297	16698	0.01
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	242085600	242086088	2	-1.3573
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	242087019	247819987	3858	0.0166
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	247827968	248163188	248	0.6429
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	248165702	248171576	2	-0.6815
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	248173453	248279484	65	0.5614
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	248286835	248635140	202	0.0026
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	248637264	248805339	61	0.3126
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	248808557	248809109	3	-0.8665
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	1	248809369	249224388	141	0.0204
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	12784	13795458	10395	0.0029
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	13795628	13795760	2	-1.1799
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	13796873	17334181	2574	0.0056
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	17341974	17342788	4	-0.8711
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	17344317	26373124	5868	0.0017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	26376504	26384667	6	-0.8202
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	26385627	34691069	5285	0.0072
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	34699315	34737556	48	0.4981
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	34738032	37978120	2449	0.0218
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	37978208	38002338	27	-0.3114
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	38002857	38954495	728	0.0324
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	38955866	38981047	12	0.5751
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	38981562	52539568	9682	0.011
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	52539908	52540726	3	-1.2637
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	52549542	52754561	156	0.0558
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	52754728	52754865	2	-2.1338
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	52754881	60000720	5106	0.005
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	60000902	60007778	2	-1.1791
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	60011926	71346563	7205	0.0036
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	71346617	71347392	6	-0.9779
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	71350043	89959761	10626	0.0071
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	89966824	89995037	4	0.9489
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	89999062	98118212	1191	0.0049
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	98140747	98162189	9	-0.7996
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	98166878	106874497	5580	0.0064
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	106874649	106887255	15	-0.4415
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	106887408	107211045	131	-0.0407
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	107211681	107214192	2	-1.0503
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	107214400	113844310	3466	0.0027
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	113844381	113844475	2	-1.2511
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	113844731	114362015	245	2e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	114362414	114362416	2	-2.1893
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	114380821	130793856	10511	0.015
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	130793883	130826342	11	-0.5254
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	130849237	146864583	9606	0.0077
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	146865079	146866934	19	0.8652
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	146877806	159958620	7804	0.0096
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	159960343	159960973	2	1.2847
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	159963287	186106044	16373	0.0062
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	186106064	186108058	2	1.2363
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	186110516	192579892	3643	0.0118
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	192580929	192581129	2	-1.422
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	192581534	195314270	1419	0.0225
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	195314722	195325844	8	-0.8641
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	195330252	200205503	2866	0.0113
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	200209435	200212537	3	-1.1452
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	2	200213667	243089456	27089	0.0047
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	60345	1913098	1682	0.0559
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	1913371	1925851	17	-1.0476
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	1926105	173204265	107767	0.0098
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	173209692	173215734	11	-0.9641
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	173218792	173240635	14	0.1804
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	173247479	173289680	23	0.6735
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	173300193	185592046	7366	0.0133
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	185595448	185597824	3	-1.0305
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	185598552	186405945	700	0.0049
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	186406123	186406138	2	-1.1664
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	186412861	189360754	2234	0.0125
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	189363678	189364638	11	-0.9802
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	189370988	192803259	2435	0.009
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	192803962	192811405	5	-0.7847
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	192812221	192877902	60	-0.1226
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	192877962	192879006	6	1.9135
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	192880473	192882903	13	0.9772
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	192886435	195429608	1498	0.0081
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	195429701	195478694	37	-0.3507
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	195478861	197683938	1053	0.0182
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	197684650	197685556	3	-1.0559
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	3	197686322	197896118	117	0.0694
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	12281	7405367	4292	0.0116
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	7405599	7407412	2	-1.1838
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	7409886	8226488	610	0.0133
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	8227639	8227825	3	-2.3357
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	8228434	9370690	286	0.0125
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	9372303	9461230	62	0.4726
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	9464537	10214160	555	0.0067
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C05_771576	4	10223416	10234214	29	0.414
