Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	51598	52800	6	-0.403
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	62567	12768450	6528	0.1695
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	12775335	13304239	62	0.5596
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	13317089	16026512	1834	0.1638
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	16026788	16027597	4	1.1004
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	16038248	16687581	289	0.1197
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	16688117	16878565	57	0.6446
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	16884037	17120314	91	0.2029
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	17120432	17120985	3	-1.4284
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	17125962	22019664	3287	0.1475
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	22019866	22024781	3	1.4177
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	22032698	25477053	2025	0.143
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	25477645	25484039	3	-1.4245
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	25488883	34875303	4990	-0.0669
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	34875431	34876822	12	0.6316
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	34876833	38901188	2202	-0.0562
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	38905017	38905020	4	1.2832
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	38905049	54212816	8476	-0.0696
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	54220677	54231454	9	0.6173
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	54234249	55007871	484	-0.0882
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	55008179	55047240	23	0.4337
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	55047398	65715295	8128	-0.0587
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	65717527	65718709	3	-1.3549
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	65719094	72541504	4482	-0.0891
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	72541524	72551668	9	-2.0183
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	72551679	72561313	9	0.3311
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	72561432	72570000	9	-1.3579
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	72571182	75013408	1498	-0.0897
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	75014559	75015169	4	-1.2709
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	75015311	75822485	446	-0.0468
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	75822762	75827442	5	-1.229
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	75832097	103840042	18148	-0.0636
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	103900175	103958684	27	0.5522
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	103958840	105814277	951	-0.0873
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F10_771526	1	105814899	105825613	21	0.4692
