Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	3218610	63606631	33517	-0.2968
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	63611326	63640514	25	-0.9145
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	63642406	64055570	230	0.697
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	64062229	64132876	63	0.2462
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	64133314	64141924	6	-3.0894
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	64146482	68729584	3395	0.1817
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	68729726	69477662	425	0.6257
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	69480158	76472027	3765	0.0913
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	76485133	76576837	110	-0.2662
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	76577063	76579970	2	0.7178
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	76580230	77831512	817	-0.2697
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	77833083	79310772	797	0.4817
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	79319633	89397860	6342	0.0012
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	89399403	95825030	3902	-0.3132
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	95827736	95830430	7	0.2518
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	95831496	95845618	8	-0.4272
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	95849089	95956363	70	0.1252
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	95959539	96715836	463	-0.3414
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	96718961	96719458	3	-1.5756
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	96723370	97696437	554	-0.3618
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	97696711	98173284	285	0.096
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	98178315	101482538	1982	-0.3459
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	101483512	105305757	1904	0.0739
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	105394215	120527361	9159	-0.3267
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	149879545	206173925	34487	0.3451
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	206174681	206183489	4	-0.3334
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	206185294	206994855	352	0.2855
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	206997328	206998706	3	-0.5554
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	207001827	211920560	3574	0.2697
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	211923435	211923450	2	-1.7085
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	211925594	245894318	22276	0.2715
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	245898111	245943995	55	0.5664
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	245944439	246136870	156	0.2811
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	246142620	246149378	8	0.8474
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	246149686	246173205	17	0.4978
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	1	246174220	247813706	436	0.2539
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	2	484222	8729025	4944	0.4205
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_C04_771582	2	8731158	8731220	2	-0.5565
