Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	3218610	85979932	47288	-0.1017
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	85980350	86003166	11	0.7347
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	86006009	115868382	17645	-0.0849
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	115868426	115868433	2	-1.334
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	115869021	120523955	2884	-0.0275
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	120527361	166937872	10249	0.503
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	166939145	221585278	34632	0.1585
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	221587450	221588015	2	-1.4081
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	1	221590000	247813706	16488	0.1771
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	2	484222	242476062	131361	0.1227
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	2212571	55660500	30918	-0.1511
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	55663504	55755790	92	-0.6466
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	55759505	73732382	11613	-0.2222
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	73733397	73733491	2	-1.793
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	73733578	98397508	10703	-0.1663
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	98407304	98407314	2	1.7445
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	98407386	112472140	7782	0.1055
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	112474885	112474891	2	-1.289
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	3	112475530	197538677	45314	0.0592
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	4	1053934	46767009	27430	-0.1195
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	4	46767212	58413486	4447	0.1744
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	4	58413744	188763651	70917	-0.1444
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	5	914233	29076472	16606	0.2471
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	5	29076767	29076829	2	-0.8782
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	5	29076871	50124856	9343	0.4447
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	5	50133344	180360469	74602	-0.1051
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	6	1014281	50892728	29915	0.4713
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	6	50893251	50893291	2	2.1167
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	6	50899273	57206294	4002	0.5012
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G10_771622	6	57206485	64126397	862	-0.0561
