Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	61735	3026260	675	0.2671
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	3035119	10367130	4525	0.0108
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	10367209	10381879	24	0.5447
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	10382170	12838744	1307	-0.0209
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	12839576	13715453	87	0.5527
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	13715762	16814994	2105	0.0023
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	16815530	16963269	37	0.832
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	16963313	17114712	75	0.4541
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	17177045	17295212	75	0.931
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	17297698	21687757	2978	-7e-04
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	21687854	21743013	36	0.3377
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	21743460	22142226	234	0.0361
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	22147077	22152194	4	0.9465
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	22160111	22293825	79	0.018
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	22296307	22409156	62	0.3052
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	22409360	25415121	1750	-0.0032
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	25415682	25418699	3	1.1598
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	25423401	25582629	116	0.0885
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	25582679	25678084	39	0.7047
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	25678362	26804477	541	0.0035
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	26805583	26865485	24	0.3128
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	26865688	27378312	165	-0.031
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	27378432	27381440	6	0.9522
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	27382298	27828223	166	0.0085
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	27828579	27838650	4	0.7767
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	27844993	28500340	307	-0.0166
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	28503037	28504168	3	0.8862
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	28508518	30522300	988	-0.0142
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	30523069	30523407	2	-1.0214
DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_H01_771642	1	30523923	30714253	161	0.0243
